# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5086] MANCHESTER-2
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5086
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     1     0     5        0     0     7     5     0    12
 1952     2    12    15     4     7    40        7    42    68     6    21   144
 1953     3     7     6    10     5    31       13    35    18    59    36   161
 1954     0    14    15     4     6    39        0    54    54     9    25   142
 1955     1     2    20    19     8    50        3     6   121   134    43   307
 1956     1    13     9     8     1    32        5    51    36    29     1   122
 1957     0     2    15     9     1    27        0     4    70    26     1   101
 1958     0     2     0    14     1    17        0     2     0    53     3    58
 1959     2     7     7    15     3    34        4    20    18    53    17   112
 1960     0     0     9     7     8    24        0     0    23    18    47    88
 1961     1     6     3     5     5    20        1    35     7    11     7    61
 1962     4     3     1     5     1    14        7     9     2    13     1    32
 1963     1    14    12     5     0    32        1    63    42    14     0   120
 1964     3     7    16     4     4    34        6    25    96    20    10   157
 1965     1     1     6     8     0    16        1     6    30    33     0    70
 1966     1     6    14     3     1    25        2    19    70    10     1   102
 1967     3     0     9     1     0    13        9     0    18     1     0    28
 1968     0     9     6     9     0    24        0    34    21    40     0    95
 1969     1     0     5     5     0    11        2     0    14    16     0    32
 1970     2     1    14     8     1    26        4     9    54    19     2    88
 1971     0    12     1     3     5    21        0    45     1     9    14    69
 1972     5     4     8     8     0    25       10    10    27    33     0    80
 1973     0     5     8     7     2    22        0    16    27    26     4    73
 1974     0     1    14     0     0    15        0     4    74     0     0    78
 1975     4     5    15     8     0    32       12    12    48    30     0   102
 1976     0     8    22    12     4    46        0    22    91    23     6   142
 1977     6    12    16     5     0    39       10    58    95     9     0   172
 1978     3     7     7    10     8    35       14    18    14    36    44   126
 1979     1     4     3    10     1    19        1     9     6    26     2    44
 1980     5     7    18     9     1    40        9    22    73    28     5   137
 1981     0     3    11     2     1    17        0     5    36     3     1    45
 1982     0     0     6     5     0    11        0     0    23    15     0    38
 1983     0     6    21    20     5    52        0    30   102   123    20   275
 1984     0     3     8    12     5    28        0     7    22    67    23   119
 1985     1     4    13     6     8    32        5    20    58    20    33   136
 1986     0     5    11     0     1    17        0    17    41     0     1    59
 1987     3    11    14     8     0    36        6    54    69    45     0   174
 1988     2    16    18    17     2    55        5    99   119   150     8   381
 1989     1     6    13     4     0    24        1     9    83    17     0   110
 1990     0     2     5     3     3    13        0     5    28     9    17    59
 1991     4     8    14     8     1    35       10    29    70    28     1   138
 1992     0     3     1     2     0     6        0    10     2     5     0    17
 1993     0     1     2     3     0     6        0     1     4     5     0    10
 1994     1     8     3     2     3    17        2    30     5     2     7    46
 1995     0     9    11    16     0    36        0    36    53    75     0   164
 1996     1     5     1     2     0     9        2    20     4     7     0    33
 1997     0     5     8     2     0    15        0    10    27     8     0    45
 1998     5     5     8     4     5    27       14    20    17     5    15    71
 1999     0     6    20     2     3    31        0    12    89     4    11   116
 2000     0     3     2     1     8    14        0     8     4     3    34    49
 2001     2     4    12    10     0    28        4    13    37    42     0    96
 2002     1     7    16     4     5    33        1    20    56    12    15   104
 2003     0     3     5    12     2    22        0    11    13    56     6    86
 2004     0     2     2     0     1     5        0     4     5     0     1    10
 2005     0    12    16     0     0    28        0    44    62     0     0   106
 **************************************************************************************
MEANS   1.3   5.6   9.8   6.6   2.3  25.5      3.1  20.8  41.0  27.1   8.8 100.8
