# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7669
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     4    18    15     1    39        3     7    81    80     3   174
 1952     4    25    22    10    14    75        9   196   142    31    41   419
 1953     6    21    23    15     9    74       40   135   182   117    61   535
 1954     0    17    29    19    12    77        0    95   282    81    60   518
 1955     9     7    29    24    14    83       26    26   242   206   115   615
 1956     7    19    19    22    16    83       35   124   112   138    87   496
 1957     0     6    27    17     1    51        0    18   201   109     2   330
 1958     2     8     6    21     6    43        4    37    27   101    17   186
 1959     3    15    14    20     5    57        8    55    55    93    21   232
 1960     0     7    17    15     9    48        0    28    77    44    37   186
 1961     1     7    16    14     6    44        2    30    79    41    17   169
 1962    10    10    14    18     3    55       28    25    52    61    12   178
 1963     3    18    21    16     3    61        9   113   109    72     8   311
 1964     9     6    26    11     7    59       27    15   167    83    28   320
 1965     5     3     9    18     1    36       12     4    43   103     3   165
 1966     7    10    24     8     0    49       39    37   163    37     0   276
 1967     5     2    17    20     1    45       43     3   105    58     2   211
 1968     3    21    27    17     1    69       14   139   135    92     3   383
 1969     4    11    18    15     4    52        8    57    95    49    13   222
 1970     6    16    24    26    10    82       22    61   214   180    73   550
 1971     0    22    22    26    18    88        0   189    90   173   131   583
 1972     3    15    16    15    11    60        3    95    69   132    45   344
 1973     2    19    17    22     1    61        5    89    62    81     1   238
 1974     2    10    31    11     4    58        2    82   362    58    12   516
 1975     5    11    26    26     3    71       21    33   164   239    40   497
 1976     0    10    21    22    12    65        0    51   151   151    53   406
 1977     5    14    28    11     1    59       10   113   259    43     1   426
 1978     3    18    19    17    16    73        8   100   102   104    77   391
 1979     3    13    16    17    12    61       10    71    61    88    29   259
 1980     5    15    29    22    14    85        9    98   303   170    69   649
 1981     0    22    15    10     4    51        0    88   100    25    14   227
 1982     0     5    25    11     1    42        0     9    95    62     1   167
 1983     1    10    26    25    13    75        2    27   205   175    82   491
 1984     0     8    15    24     8    55        0    22    75   158    58   313
 1985     2    11    18     7    10    48        4    71   119    20    52   266
 1986     0    18    22     5     4    49        0    89   105     9    10   213
 1987    11    15    24     9     3    62       48    56   149    69     8   330
 1988     5    22    20    25    14    86       10   204   119   225    54   612
 1989     6     8    18    12     2    46       47    37   110    41     6   241
 1990     0    12    13    10    16    51        0    51    90    61    85   287
 1991     5    15    16    13     8    57       10    66    93    75    30   274
 1992     2     2     6     3     2    15        5     5    16     9     2    37
 1993     0     5     7    13     1    26        0    14    17    73     6   110
 1994     4     8    12    12     3    39       10    35    33    62    11   151
 1995     0     8    22    22     3    55        0    27   151   135     4   317
 1996     3    12     6     6     1    28        9    45    25    11     1    91
 1997     2     9    20    10     6    47        4    46   114    60    23   247
 1998     4     7    10    13    13    47       15    32    58    77    69   251
 1999     0     6    17     8     7    38        0    12   116    24    22   174
 2000     5     9     9    17    11    51       38    45    32    87    95   297
 2001     5     8    18    13     5    49       14    28    76    63    14   195
 2002     1    16    24    12    10    63        4    82   199    61    44   390
 2003     1     2    17    15     3    38        3     4   107   143     4   261
 2004     2     2     6     5     4    19        7     4    23    16    10    60
 2005     2    11    15     0     0    28        4    43    86     0     0   133
 **************************************************************************************
MEANS   3.2  11.5  18.7  15.1   6.7  55.1     11.5  59.4 118.2  86.5  32.1 307.6
