# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0241] ANKENY-3-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   7   9  12  12  12  10   8   5  12   4   5  99
1952     6   4  11   6   7  10   8  11   2   0   4   4  73
1953     4   7   7  12   5  11   8   5   3   2   2   5  71
1954     1   3   9   8   6  10   6  15   6  13   0   4  81
1955     5   4   2   8   7   7   8   4   8   8   1   3  65
1956     0   2   3   7   8   7  10  11   5   3   7   4  67
1957     5   5   8  11  10  11   7   7  10   7   8   6  95
1958     4   5   5   8   8  11  13   5   8   2   5   3  77
1959     6   6  11   8  15   5   5   7  10  13   6   9 101
1960     7   8  11  10  12  13   6  11   8   6   5   3 100
1961     5   8  13  13   9  11  13   7  12   5   6   8 110
1962     4   8   8   8   9   8  10   6   7   8   4   5  85
1963     9   8   8  12   9   8   6   8   8   6   4   3  89
1964     4   6   7  12  12  10   9  11  11   3   4   4  93
1965    10   6   9   9   8   9  10   7  15   3   5   6  97
1966     5   2   8   5  10  12   7   4   6   3   4   5  71
1967     3   3   5   8   9  19   5   6   6   6   1   5  76
1968     2   0   4  10   6  10   8  11   9   8   6   8  82
1969     7   3   5  10  11  14   9   4   8  10   3   6  90
1970     3   1   8   9   9   8   8   8  10   9   7   5  85
1971     2   7   3   4  11   5  11   4   5   9   7   5  73
1972     4   6   8  10  12  11   7  11  10   8   7   3  97
1973     0   5  14   0   0   0   0   0  16   7   8   7  57
1974     7   2   8   8  16   8   3  11   7   8   6  10  94
1975     7   6   7   8  10  13   2  11   7   2  10   3  86
1976     5   5   8   7   7   9   8   3   4   6   0   0  62
1977     9   5  12   8  12   6   8  14  10   9   6   4 103
1978     2   7   6  17   9   8  11   7   7   8   7   4  93
1979     2   0   0   0   0  13  10   8   6   8   8   5  60
1980    10   7   8   7   9  11  11  11   8   6   2   5  95
1981     3   8   5   8  10  10  12  17   5  11   8  11 108
1982    14   9  14  12  18   9  12  11   4   9   8   8 128
1983     8   9  16  13  19  12   5   6   7  14  16  12 137
1984     6   6  10  16  13  17  12   4   9  14   6  10 123
1985     8  10   9   7  12  12   8  10  10  12  14   7 119
1986     1   7   7  16  15  12  12   6  15  10   8   3 112
1987     5   3   8   8  13  10  10  16  10   6   8   9 106
1988     3   9   4  11   7   5   7   7   9   4   9   5  80
1989     5   6   8   7   8   9   9  13   1   8   0   3  77
1990     4   3  12   9  10  13  12   8   6   8   6   3  94
1991     5   1  14  14  15   6  10  10  11   8  14   8 116
1992     6   6   8  13   5   7  15   8  11   3  11  10 103
1993     7   9  11  14  18  13  18  17  13   4   5   9 138
1994     7   6   3  10   7  14   7  10   8   6   9   8  95
1995     6   6  10  12  12  12   7   7  13   9   6   4 104
1996    10   2   5   4  15  15   5   6   6   6   9   6  89
1997     5   5   5   8   9   7   6   5   6   7   5  11  79
1998     5  13  12  12  10  17   8  10   5  12   5   2 111
1999     6   5   6  10  14  11   9   7   5   2   4   6  85
2000     5   8   6   8  11  14  10   8   5   8   5  12 100
2001    12   7   7  12  19  12   7   7   6   9   5   7 110
2002     9   8   9  16  13   9  12   8   7  16   3   4 114
2003     9   5  10  13  13   9  12   5   8   6   8   7 105
2004    10  10  13   6  15  14  14  10   5  11  12   7 127
2005    13  11  12  10   9  12   7   0   0   0   0   0  74
STDDEV   3   3   3   4   4   3   3   4   3   4   3   3  19
AVG      6   6   8  10  11  10   9   8   8   7   6   6  94
