# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7726] SIOUX-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7726 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     13      0      0      0    191    102     84     72
 1952     45     21     17     15    374    243    220    199
 1953    119     54     42     30    190     86     69     56
 1954     36      8      5      3    409    265    234    205
 1955     99     48     39     30    500    341    308    276
 1956     82     32     24     19    268    164    141    120
 1957     76     24     18     13    358    235    211    188
 1958     60     17     10      6    317    184    155    127
 1959     96     38     28     20    357    222    195    170
 1960     16      2      1      0    349    210    182    159
 1961     77     27     20     15    229    124    103     83
 1962     20      9      7      5    324    196    171    152
 1963    182    113    101     89    394    242    210    180
 1964     63     22     16     11    343    210    186    163
 1965      4      0      0      0    265    150    130    111
 1966    206    116     95     79    212    113     95     79
 1967    195    124    110     97    343    208    177    150
 1968    272    172    150    131    394    254    225    196
 1969     14      3      2      1    333    194    166    142
 1970     15      0      0      0    341    220    195    173
 1971     67     32     27     22    392    254    224    194
 1972     92     38     28     20    278    156    132    111
 1973    122     41     29     21    315    191    166    142
 1974    116     44     34     26    368    227    197    168
 1975     34      9      6      4    208     96     78     60
 1976    125     71     59     48    401    261    230    199
 1977    144     68     53     39    462    306    273    242
 1978     91     49     40     33    256    139    115     93
 1979     18      4      3      2    214    116     97     80
 1980     57     18     14     11    342    214    185    159
 1981    207    108     89     71    413    267    237    209
 1982     71     18     11      7    267    167    143    122
 1983     72     33     27     21    157     88     76     65
 1984     22      5      2      1    214    103     83     67
 1985    138     65     52     40    442    286    256    227
 1986    172    101     90     80    362    211    180    152
 1987    151     79     66     54    444    296    267    240
 1988    181     95     77     61    310    190    164    140
 1989     98     48     40     34    337    208    179    154
 1990    143     65     52     40    363    221    193    168
 1991    136     65     52     41    355    217    189    162
 1992    130     63     50     40    241    138    120    104
 1993     26      7      3      2    224    121    102     85
 1994    155     85     71     59    341    226    200    175
 1995    116     48     37     28    205    100     79     63
 1996     72     28     21     17    265    156    134    114
 1997    119     62     51     40    255    145    124    103
 1998     94     49     42     35    332    198    168    140
 1999    140     66     54     44    301    169    142    117
 2000    231    133    114     97    360    229    203    180
 2001     15      3      2      1    389    242    210    183
 2002     39     14     11      8    379    246    217    188
 2003    170     98     86     75    373    245    222    200
 2004    161     76     60     47    385    248    219    190
 2005    124     61     51     43    438    270    233    199
     ****************************  ****************************
 MEAN  100.7   48.7   39.8   32.3  325.1  198.4  172.6  149.0
 STDV   63.6   39.7   34.6   30.0   78.7   61.0   56.8   52.3

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    660    448    400    354    701    470    415    365
 1952    566    366    324    285    958    721    664    607
 1953    599    403    362    323    946    709    650    592
 1954    509    345    306    274    919    682    624    568
 1955    714    502    457    417    810    581    529    480
 1956    640    440    397    357    985    748    691    635
 1957    555    352    311    275    849    613    555    501
 1958    691    492    449    408    746    515    465    420
 1959    673    462    413    366    935    696    639    585
 1960    615    408    361    321    787    554    499    447
 1961    531    345    305    269    847    617    564    515
 1962    779    549    496    446    833    596    539    484
 1963    614    409    365    324    957    717    658    602
 1964    749    529    479    433    879    649    595    541
 1965    740    517    463    414    866    629    574    519
 1966    561    395    358    324    876    643    589    537
 1967    504    328    290    257    850    612    555    501
 1968    509    336    298    262    875    648    596    544
 1969    655    442    396    356    738    523    474    426
 1970    716    506    458    413    884    650    594    542
 1971    580    389    351    314    972    732    673    614
 1972    633    425    377    332    846    614    558    508
 1973    567    372    329    292    905    665    606    548
 1974    546    356    316    277    820    591    538    487
 1975    735    510    462    417    870    632    575    519
 1976    546    364    325    288    860    625    570    517
 1977    811    575    521    470    879    639    579    521
 1978    612    409    366    325    835    606    553    502
 1979    506    327    292    259    816    582    525    469
 1980    666    465    422    380    847    608    550    494
 1981    540    357    317    279    870    631    572    515
 1982    639    412    361    313    699    474    424    377
 1983    463    306    272    239    814    589    536    484
 1984    507    326    288    252    874    635    576    519
 1985    728    495    445    398    774    540    485    433
 1986    641    420    373    328    918    678    619    560
 1987    783    553    503    457    927    691    636    581
 1988    822    588    537    490    961    721    663    606
 1989    592    398    357    318    743    519    468    418
 1990    538    339    295    254    888    656    599    543
 1991    714    499    449    400    954    714    654    594
 1992    641    444    401    359    827    591    534    480
 1993    547    346    303    261    755    524    471    418
 1994    699    491    445    402    902    664    605    547
 1995    494    297    257    222    860    624    567    512
 1996    493    295    255    220    874    639    582    526
 1997    472    296    260    225    924    684    624    566
 1998    769    533    480    432    781    553    499    446
 1999    631    408    360    313    829    592    535    480
 2000    687    467    420    377    809    575    522    471
 2001    603    378    328    285    853    616    562    508
 2002    544    373    334    297    947    707    648    591
 2003    542    335    294    259    803    564    505    449
 2004    621    413    367    323    755    528    476    425
 2005    568    364    320    280    931    691    631    572
     ****************************  ****************************
 MEAN  619.3  416.3  372.2  331.2  857.5  623.0  567.1  512.9
 STDV   93.3   77.7   73.6   69.6   70.2   66.6   64.7   62.3

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    936    688    626    565    922    675    614    553
 1952    993    747    687    627    904    659    600    543
 1953   1026    778    717    657    966    718    657    597
 1954   1051    803    741    680    949    701    639    578
 1955   1130    882    820    758   1063    815    753    693
 1956    957    709    647    586    972    733    676    620
 1957   1111    863    801    739    969    723    662    602
 1958    904    659    599    540    992    749    690    632
 1959    983    735    674    616   1052    804    742    682
 1960    981    734    675    618    998    750    688    626
 1961    989    741    679    617    965    717    655    594
 1962    951    704    644    585    948    702    643    584
 1963   1050    802    740    678    921    677    618    560
 1964   1052    804    742    680    867    626    570    515
 1965   1013    765    703    642    928    683    623    566
 1966   1075    827    765    703    870    624    565    511
 1967    986    740    683    626    908    671    616    563
 1968    969    723    664    606    904    660    602    548
 1969   1025    777    716    655    966    718    656    594
 1970    990    745    686    627    939    695    637    579
 1971    912    668    608    552    913    667    610    555
 1972    931    687    628    569    903    658    599    542
 1973   1008    760    698    637   1008    760    698    638
 1974   1060    812    751    691    859    616    558    503
 1975   1040    792    731    672   1011    763    701    639
 1976   1016    768    706    645    934    689    630    574
 1977   1008    760    698    638    826    584    529    475
 1978    964    716    654    593    926    680    621    564
 1979    977    729    667    605    888    640    579    521
 1980   1012    764    702    640    936    688    626    564
 1981    979    731    669    607    892    644    584    528
 1982   1020    772    710    648    908    661    603    545
 1983   1085    837    775    713   1090    842    780    718
 1984    975    727    665    604   1012    765    705    645
 1985    944    696    634    573    828    581    524    468
 1986   1044    796    734    672    857    614    555    498
 1987   1043    795    733    671    912    664    602    544
 1988    989    741    679    619    980    742    684    626
 1989    961    713    651    590    906    662    602    543
 1990    961    713    652    592    939    692    631    573
 1991    975    727    666    605    929    681    619    558
 1992    811    564    504    445    772    532    477    425
 1993    923    675    613    552    908    660    601    542
 1994    890    642    581    521    840    597    539    484
 1995    983    737    676    615   1062    814    752    690
 1996    913    665    604    544    882    634    572    512
 1997   1003    755    694    635    897    651    591    532
 1998   1009    761    699    638    982    734    672    610
 1999   1058    810    748    687    915    668    607    546
 2000    958    711    650    590    942    694    632    570
 2001   1043    795    733    671    945    697    637    578
 2002   1075    827    765    703    901    656    597    539
 2003    963    715    654    593    982    734    672    610
 2004    921    674    613    553    784    553    501    449
 2005   1012    764    703    642      0      0      0      0
     ****************************  ****************************
 MEAN  993.4  745.9  684.7  624.2  914.0  673.0  614.5  557.2
 STDV   58.2   57.8   57.4   56.7  141.2  111.9  104.5   97.1

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    547    350    307    269    369    224    197    173
 1952    700    505    461    419    335    214    188    164
 1953    707    514    471    431    552    385    348    314
 1954    705    486    437    390    315    171    142    115
 1955    739    536    491    449    465    310    274    241
 1956    679    485    445    408    584    396    359    323
 1957    593    392    351    311    334    174    143    117
 1958    745    534    488    445    517    354    318    283
 1959    672    471    430    390    285    157    133    112
 1960    694    483    437    394    453    305    273    241
 1961    637    433    387    345    453    295    261    229
 1962    600    405    366    328    481    306    270    237
 1963    750    527    473    422    655    454    412    372
 1964    664    458    411    366    425    274    242    211
 1965    502    303    264    227    461    300    264    229
 1966    647    454    411    370    443    292    258    226
 1967    658    455    413    374    387    237    212    189
 1968    612    407    366    326    418    266    234    202
 1969    676    462    416    375    300    174    152    130
 1970    688    486    442    400    362    215    182    153
 1971    688    491    445    403    478    303    268    236
 1972    643    439    394    351    314    178    155    136
 1973    641    427    379    332    506    327    288    250
 1974    624    431    390    349    484    310    273    238
 1975    603    407    364    322    519    356    319    286
 1976    636    440    399    363    285    184    164    147
 1977    670    454    406    362    308    173    144    118
 1978    779    558    510    462    336    200    171    145
 1979    709    503    459    415    349    211    182    155
 1980    665    459    412    371    310    192    169    147
 1981    660    456    411    370    287    159    133    108
 1982    621    417    370    327    367    217    188    161
 1983    692    486    441    400    342    200    171    145
 1984    637    435    391    352    372    204    168    138
 1985    607    405    360    319    326    180    148    120
 1986    673    450    398    348    362    203    170    141
 1987    658    439    394    354    288    160    133    110
 1988    637    428    383    342    260    140    117     97
 1989    588    405    364    324    388    248    218    189
 1990    757    539    488    440    376    240    211    183
 1991    674    477    431    387    367    226    198    173
 1992    641    443    398    354    365    218    195    173
 1993    473    288    251    218    331    204    175    149
 1994    725    502    450    400    418    242    206    173
 1995    589    401    358    318    345    206    177    152
 1996    594    394    351    313    414    263    231    200
 1997    737    516    467    421    465    314    281    248
 1998    814    587    534    482    401    238    205    174
 1999    639    450    409    370    403    263    233    207
 2000    705    504    459    418    459    278    243    210
 2001    632    418    370    326    378    227    196    167
 2002    712    500    450    403    240    139    119    100
 2003    628    432    389    348    440    293    264    237
 2004    778    554    502    451    384    221    186    155
 2005      0      0      0      0      0      0      0      0
     ****************************  ****************************
 MEAN  649.9  448.7  404.4  362.8  386.6  240.4  210.2  182.3
 STDV  110.0   84.4   78.4   72.7   99.7   75.8   70.6   65.3
