# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7669] SIDNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia7669
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.42  2.04  3.30  6.21  6.34  7.76  5.54  6.55  3.66  2.49  1.03  0.71 46.05
 1952  0.40  1.02  3.79  3.40  3.40  4.97  5.11  6.67  1.45  0.00  3.15  1.26 34.62
 1953  0.00  0.00  0.00  1.56  0.00  4.10  0.00  2.91  1.17  0.00  0.00  0.88 10.62
 1954  0.00  3.14  0.00  2.71  4.83  2.26  0.26  8.92  2.93  3.17  0.10  0.31 28.63
 1955  1.35  1.00  0.00  2.55  2.62  3.97  2.19  2.08  3.08  0.68  0.10  0.15 19.77
 1956  0.24  0.51  0.07  1.46  1.44  4.25  3.03  3.50  0.88  4.34  0.00  0.00 19.72
 1957  0.00  0.00  0.00  0.00  1.02  4.97  2.05  5.46  2.77  4.87  2.68  0.73 24.55
 1958  1.31  0.91  1.46  1.86  2.09  2.02 12.58  4.05  6.25  0.00  1.08  0.18 33.79
 1959  0.71  1.15  4.65  2.01  8.71  5.11  1.45  4.19  5.53  3.46  0.22  1.48 38.67
 1960  2.06  1.11  1.78  2.79  3.83  5.79  2.23  9.32  3.95  2.26  0.11  0.60 35.83
 1961  0.06  0.40  3.38  2.21  3.53  4.25  5.04  3.39  0.00  3.26  2.45  1.36 29.33
 1962  0.67  1.44  0.50  1.00  8.00  2.07  7.44  3.85  0.00  3.07  1.16  0.47 29.67
 1963  0.32  0.06  2.47  2.69  4.54  1.85  5.40  4.90  5.97  0.88  0.59  0.40 30.07
 1964  0.21  0.23  1.67  5.31  4.42  7.88  2.92  2.56  3.80  0.18  3.15  0.77 33.10
 1965  0.50  1.03  2.37  2.33  6.24  7.44 16.18  2.69  6.58  1.06  1.17  1.63 49.22
 1966  0.49  0.50  0.62  0.82  1.94  6.52  2.80  6.89  3.90  0.66  0.50  0.94 26.58
 1967  0.95  0.35  2.17  3.53  4.09  9.99  1.07  1.89  3.24  3.36  0.50  1.12 32.26
 1968  0.38  0.08  0.37  2.97  3.45  1.64  3.75  3.74  2.32  6.12  1.63  2.01 28.46
 1969  0.74  0.97  1.46  4.74  5.80  5.62  7.63  3.90  2.12  6.19  0.10  1.40 40.67
 1970  0.06  0.41  1.59  2.20  2.30  3.89  3.62  2.71  3.87  4.23  1.34  0.67 26.89
 1971  1.49  1.57  0.76  1.34  3.66  2.29  3.20  1.52  1.47  4.60  5.01  0.69 27.60
 1972  0.35  0.26  1.03  3.89  2.99  4.06  6.87  2.14  3.14  5.20  2.91  1.95 34.79
 1973  2.26  2.19  7.26  2.60  4.26  2.55  6.27  3.58  8.19  4.03  2.19  3.60 48.98
 1974  0.44  0.67  0.68  3.12  4.45  1.66  0.22  5.22  0.78  4.75  1.28  0.92 24.19
 1975  1.43  1.19  1.74  2.55  5.35  3.45  0.96  3.14  4.59  0.00  2.66  0.56 27.62
 1976  0.51  1.76  2.15  7.24  4.49  2.73  2.93  1.24  2.52  0.82  0.00  0.05 26.44
 1977  0.69  0.04  3.44  2.09  3.95  4.99  4.44 16.63  6.10  4.66  2.64  0.46 50.13
 1978  0.38  1.81  1.14  7.81  3.46  3.00  9.93  1.59  7.10  1.10  2.04  0.49 39.85
 1979  1.55  0.28  6.64  2.69  1.95  4.59  4.86  2.56  2.34  4.27  1.64  0.62 33.99
 1980  1.26  0.97  2.58  2.51  1.26  2.08  1.46  6.15  1.55  2.24  0.19  0.00 22.25
 1981  0.73  0.26  1.69  2.01  3.32  3.24  5.65  4.82  2.42  1.44  3.61  1.60 30.79
