# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8266] TIPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia8266
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.00  0.00  0.00  2.68  7.43  4.46  3.91  3.05  1.26  3.95  2.38  2.16 31.28
 1952  1.30  0.60  4.20  1.79  6.18  5.20  2.89  3.53  0.57  0.00  5.84  0.00 32.10
 1953  0.46  1.97  3.93  2.40  3.30  4.64  4.24  1.64  1.67  0.47  0.66  2.75 28.13
 1954  0.14  1.24  2.19  2.53  5.75  6.83  0.92  6.84  2.55  5.74  0.32  1.22 36.27
 1955  0.58  1.26  1.62  3.98  2.70  2.44  1.50  1.29  3.78  3.29  0.28  0.42 23.14
 1956  0.28  0.53  0.81  4.61  7.99  1.57  4.38  7.57  1.04  0.92  1.16  1.05 31.91
 1957  0.37  0.22  2.28  3.60  4.85  2.57  2.41  6.54  2.72  3.13  3.08  1.59 33.36
 1958  0.67  0.41  0.45  2.60  3.65  3.71  3.36  3.46  2.25  3.34  3.11  0.48 27.49
 1959  1.73  1.69  4.26  4.33  5.70  3.79  4.40  4.01  3.99  5.47  2.40  3.07 44.84
 1960  3.04  1.76  0.99  4.70  4.84  4.76  6.87  2.59  2.08  7.70  2.18  0.62 42.13
 1961  0.40  1.19  4.40  1.62  1.02  7.60  5.24  3.34  9.31  2.42  6.14  1.50 44.18
 1962  1.51  2.00  2.85  2.35  5.15  3.75  8.40  0.89  2.05  3.09  1.12  0.69 33.85
 1963  0.51  0.51  2.81  3.48  1.02  0.65  9.29  2.72  2.73  0.31  3.35  0.77 28.15
 1964  0.37  0.93  2.07  5.41  2.62  6.13  3.49  2.60  3.04  0.05  1.55  1.39 29.65
 1965  2.62  0.72  2.37  6.65  5.96  3.51  5.15  9.17  9.80  0.86  2.06  3.61 52.48
 1966  1.47  0.86  2.47  3.83  5.71  5.87  3.40  0.69  1.63  2.69  1.91  1.57 32.10
 1967  0.99  0.94  2.56  5.33  2.04  7.96  3.96  6.58  4.57  6.27  2.19  1.29 44.68
 1968  0.43  0.34  1.48  3.31  3.56  5.23  2.70  4.41  7.52  2.35  1.21  2.70 35.24
 1969  2.25  0.30  1.26  4.50  3.21  6.89  6.30  3.18  3.27  3.77  0.40  1.40 36.73
 1970  0.46  0.15  3.83  2.91  8.36  7.95  7.23  1.74 10.17  2.50  2.75  1.80 49.85
 1971  1.22  4.37  0.55  2.14  2.99  4.58  5.83  2.07  4.58  1.72  2.88  6.10 39.03
 1972  2.10  4.29  2.55  6.65  5.60  3.84  7.09  6.43  2.57  4.39  3.78  2.41 51.70
 1973  2.70  2.70  5.13  8.01  7.53  2.79  4.27  2.38  7.65  1.80  2.12  4.99 52.07
 1974  4.19  0.90  2.15  5.43  9.30  4.75  3.61  5.48  1.95  3.16  3.00  2.95 46.87
 1975  1.17  2.35  2.85  5.35  4.45  6.44  1.31  3.36  2.83  0.25  4.04  1.14 35.54
 1976  0.40  1.90  4.45  4.78  3.28  4.42  2.67  2.41  0.96  3.46  0.10  0.30 29.13
 1977  0.95  0.66  4.93  3.67  4.06  0.00  4.23 11.61  7.38  4.85  3.84  2.05 48.23
 1978  0.91  1.03  0.80  6.16  4.95  3.88  4.49  2.17  5.60  2.25  2.83  2.67 37.74
 1979  1.28  0.27  3.01  3.37  2.09  4.38  5.79  7.37  0.19  3.67  1.80  1.34 34.56
 1980  1.29  1.19  0.67  1.69  4.17  4.76  3.31  7.88  5.67  1.61  0.86  1.95 35.05
 1981  0.00  2.64  0.27  4.39  2.12  3.40  4.07  6.96  5.47  2.98  2.59  1.18 36.07
 1982  1.36  0.28  3.08  1.57  5.64  4.51  5.07  5.14  2.91  3.59  2.46  5.40 41.01
 1983  0.63  1.79  1.11  2.17  3.75  2.08  2.67  1.10  3.52  1.57  4.48  1.69 26.56
 1984  0.55  0.96  1.66  3.22  3.99  4.40  4.19  0.72  2.56  7.11  2.72  2.19 34.27
 1985  1.20  2.14  3.02  1.01  2.25  1.81  3.50  2.48  3.72  6.35  4.43  2.33 34.24
 1986  0.20  1.19  1.65  3.26  8.95  8.11  4.09  4.24  6.45  2.93  0.98  1.21 43.26
 1987  0.30  0.02  3.17  1.57  1.77  1.95  1.95 10.04  3.04  0.71  3.11  2.90 30.53
 1988  1.18  0.64  1.86  3.50  1.63  1.03  0.88  3.94  0.48  1.73  3.38  1.78 22.03
 1989  0.99  0.67  1.55  2.69  1.90  2.74  5.40  6.82  3.97  1.30  0.24  0.57 28.84
 1990  1.53  1.25  5.68  2.33  6.32 12.27  3.84  8.70  1.22  1.46  3.73  1.26 49.59
 1991  0.98  0.13  4.72  2.05  3.62  1.65  0.73  4.05  1.69  4.25  5.19  1.12 30.18
 1992  1.00  1.18  1.61  4.67  0.61  0.57 12.90  2.22  7.37  0.65  6.95  2.11 41.84
 1993  1.91  0.51  3.01  4.05  5.88  7.42  8.82  6.76  4.57  0.55  0.99  1.04 45.51
 1994  0.73  1.47  0.95  2.49  1.65  6.42  3.35  4.11  2.22  0.88  3.48  0.98 28.73
 1995  0.65  0.01  1.74  7.06  5.96  3.19  3.44  3.93  2.30  1.64  1.99  0.34 32.25
 1996  1.66  0.28  0.52  2.11 11.29  3.98  1.68  1.43  2.04  4.29  1.31  0.95 31.54
 1997  1.19  2.84  1.52  1.44  5.90  3.42  1.39  3.94  2.95  2.85  0.92  0.91 29.27
 1998  1.04  2.42  2.99  4.40  3.44  7.20  1.13  4.89  3.63  5.70  1.13  0.61 38.58
 1999  1.63  0.83  1.08  5.34  4.13  4.41  3.38  3.22  2.25  1.28  0.38  0.80 28.73
 2000  0.75  1.33  1.05  3.16  5.46  7.18  3.06  2.03  4.82  1.50  1.27  1.55 33.16
 2001  1.38  4.42  1.41  2.43  6.11  3.79  3.17  3.21  4.35  4.84  1.80  1.83 38.74
 2002  0.62  0.86  1.59  4.62  4.90  4.18 10.43  4.16  1.71  5.25  0.43  0.63 39.38
 2003  0.55  0.28  0.91  2.27  2.56  3.40  3.99  1.08  4.04  1.70  5.03  1.95 27.76
 2004  0.56  1.30  4.44  1.25  7.18  5.88  4.13  4.93  0.56  4.36  2.55  1.10 38.24
 2005  2.40  1.09  1.19  2.11  2.73  1.91  1.48 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  1.11  1.23  2.29  3.55  4.53  4.40  4.21  4.21  3.58  2.87  2.42  1.71 35.60
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
