# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8755] WAUKON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia8755
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  1.10  0.99  4.00  7.35  2.90  5.24  6.59  9.10  2.16  3.24  1.31  0.34 44.32
 1952  1.92  0.26  2.12  1.57  4.34  3.97  4.96  3.07  0.65  0.00  1.75  0.88 25.49
 1953  0.44  2.16  1.27  3.41  2.32  5.01  3.70  2.16  1.02  0.68  1.40  1.09 24.66
 1954  0.22  0.46  0.54  5.49  4.42  2.86  3.86  3.28  2.54  3.47  0.18  0.60 27.92
 1955  0.00  0.36  0.82  4.02  5.12  2.50  5.60  1.62  1.59  1.84  0.50  0.21 24.18
 1956  0.40  0.20  3.22  2.60  4.91  1.52  5.27  2.72  2.08  1.63  2.54  0.52 27.61
 1957  0.00  0.00  0.87  1.85  4.66  4.80  5.51  3.35  2.00  1.24  2.01  0.20 26.49
 1958  0.14  0.00  0.00  1.79  0.70  3.53  2.20  3.65  3.14  0.62  2.17  0.20 18.14
 1959  0.70  1.07  2.22  1.45  8.41  5.90  2.40  6.36  5.41  1.87  2.61  1.24 39.64
 1960  0.97  0.12  0.62  3.99  5.89  3.98  3.00  5.70  2.68  2.55  1.29  0.20 30.99
 1961  0.00  0.76  3.56  2.28  2.01  2.01  4.65  2.44  5.50  2.89  2.52  0.83 29.45
 1962  0.00  1.26  1.40  1.76  3.72  2.96  5.39  5.48  2.01  2.44  0.12  0.25 26.79
 1963  0.04  0.62  1.26  2.45  1.75  1.16  4.54  2.17  2.49  0.47  1.07  0.42 18.44
 1964  0.36  0.10  1.42  3.22  7.07  2.99  0.78  3.67  3.09  0.28  1.22  0.58 24.78
 1965  0.28  0.96  1.59  5.20  4.00  3.00  2.15  4.89  9.20  2.15  2.05  2.19 37.66
 1966  0.62  1.03  2.61  1.26  2.10  3.52  3.45  0.95  1.60  0.95  0.54  1.31 19.94
 1967  1.44  0.37  1.76  1.65  1.54  4.32  0.78  1.34  1.65  2.67  0.74  1.10 19.36
 1968  0.78  0.12  1.02  5.84  1.72  5.73  4.99  1.41  3.48  3.16  0.76  1.43 30.44
 1969  0.47  0.00  0.28  3.28  3.23  7.06  4.30  0.99  3.26  3.21  0.33  1.36 27.77
 1970  0.12  0.24  1.15  1.94  4.74  6.71  7.14  1.16  5.63  2.92  1.19  0.56 33.50
 1971  1.20  1.83  1.67  1.79  4.21  5.43  2.56  0.84  2.29  2.07  3.05  1.84 28.78
 1972  0.21  0.52  1.27  1.35  3.28  4.02  5.47  3.22  6.70  4.04  0.27  1.12 31.47
 1973  0.60  0.49  2.01  6.07  6.37  3.70  3.21  6.35  3.96  1.51  1.87  0.84 36.98
 1974  0.28  0.78  1.06  1.84  4.15  7.17  3.47  4.78  1.46  2.61  1.34  1.09 30.03
 1975  0.63  0.78  1.58  4.26  1.83  4.34  1.14  5.16  0.92  0.54  2.95  0.36 24.49
 1976  0.04  0.78  2.52  5.78  3.30  1.73  1.44  3.28  1.20  1.25  0.00  0.44 21.76
 1977  0.48  0.49  3.48  2.46  2.50  2.61  9.98  2.92  2.69  2.45  2.66  0.99 33.71
 1978  0.52  0.63  0.32  3.81  3.87  6.92  4.82  2.57  3.73  1.57  1.52  0.00 30.28
 1979  0.00  0.58  2.07  2.64  4.34  4.17  4.10  7.09  0.19  3.38  1.17  0.37 30.10
 1980  1.08  0.28  0.27  2.19  4.88  2.51  2.48 10.51  4.54  2.02  0.38  0.30 31.44
 1981  0.05  0.96  0.61  8.55  1.75  5.81  4.05  7.62  2.03  2.42  1.17  0.73 35.75
 1982  1.12  0.05  1.93  2.33  7.26  2.69  3.65  5.58  1.55  2.33  4.19  1.43 34.11
 1983  0.58  0.00  1.27  2.15  7.23  8.39  4.12  6.04  4.48  3.31  3.74  0.89 42.20
 1984  0.09  0.58  0.68  5.20  4.32  3.04  2.52  2.15  1.30  4.95  2.83  1.82 29.48
 1985  0.05  0.50  1.80  3.58  1.84  1.34  2.28  3.90  9.45  1.78  2.40  0.00 28.92
 1986  0.12  0.60  1.94  3.12  4.08  4.37  4.00  2.11  8.97  2.79  1.65  0.29 34.04
 1987  0.33  0.00  1.04  2.53  2.27  5.16  7.87  5.00  1.92  0.33  2.30  1.57 30.32
 1988  0.33  0.00  0.84  2.61  1.39  0.99  2.58  3.15  6.72  0.72  2.85  0.75 22.93
 1989  0.48  0.48  1.37  2.48  2.11  1.70  1.67  5.09  3.13  2.71  0.81  0.10 22.13
 1990  0.94  0.00  4.22  2.50  4.00  9.91  4.52  7.36  0.83  1.72  0.75  0.74 37.49
 1991  0.67  0.16  2.35  6.90  4.84  3.37  2.67  4.07  6.60  2.88  5.63  1.48 41.62
 1992  0.90  0.74  1.98  3.78  1.81  2.42  5.26  2.70  6.22  0.85  4.32  1.52 32.50
 1993  0.98  1.28  1.85  5.43  3.44  8.83  6.78  7.82  3.58  1.89  0.90  0.72 43.50
 1994  1.90  1.26  0.19  2.51  1.32  3.37  3.98  4.70  3.10  1.88  1.81  0.74 26.76
 1995  0.63  0.03  3.22  4.44  4.45  2.42  5.96  4.92  1.44  3.05  2.52  0.52 33.60
 1996  2.93  0.22  1.96  1.46  2.82  7.44  1.02  2.65  1.90  2.63  3.47  1.02 29.52
 1997  1.44  1.17  2.13  2.43  4.44  2.73  8.30  2.55  1.86  3.70  0.16  0.58 31.49
 1998  1.21  2.23  2.92  4.52  4.03  8.01  2.40  6.37  1.36  4.56  1.43  0.16 39.20
 1999  1.81  1.04  0.70  5.94  3.56  2.46 12.17  3.03  1.97  1.16  1.74  0.89 36.47
 2000  1.20  0.89  1.28  1.70  5.71 12.77  3.99  6.03  1.97  1.11  2.95  2.33 41.93
 2001  1.20  1.43  0.91  3.95  5.83  4.51  4.13  3.68  6.76  2.29  1.87  0.97 37.53
 2002  0.30  1.67  1.13  4.49  5.91  3.83  6.93  4.20  1.67  2.69  0.42  0.41 33.65
 2003  0.54  0.42  1.45  2.91  5.34  4.06  2.17  0.89  2.68  0.65  3.59  1.08 25.78
 2004  0.52  1.43  3.80  1.93 10.85  6.94  5.87  3.17  1.10  2.81  2.11  0.62 41.15
 2005  2.15  1.65  1.00  1.73  3.68  5.23  5.16 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  0.68  0.67  1.65  3.34  3.97  4.42  4.25  4.02  3.18  2.13  1.80  0.82 30.34
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
