# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1277] CASTANA-EXP-FARM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia1277
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.46  3.15  3.25  5.19  4.78  8.07  2.54  7.63  4.16  2.85  0.31  0.46 42.85
 1952  1.10  0.87  2.83  2.66  4.92  4.68  6.92  3.60  0.83  0.00  1.23  0.93 30.57
 1953  0.84  1.51  2.84  3.27  3.06  4.56  1.43  2.05  0.15  0.28  2.51  1.30 23.80
 1954  0.19  3.11  1.97  5.40  5.71  5.47  1.95  4.80  2.26  2.98  0.07  0.07 33.98
 1955  0.38  0.59  1.76  2.44  0.75  2.76  2.18  3.05  2.26  0.40  0.08  0.28 16.93
 1956  0.29  0.20  0.27  1.68  3.12  2.69  5.50  2.62  0.79  1.94  2.23  0.26 21.59
 1957  0.44  0.35  1.81  0.96  3.59  5.00  7.12  3.08  4.97  3.37  3.11  0.77 34.57
 1958  0.54  0.94  0.66  3.07  1.92  2.77  8.95  1.88  1.09  0.17  0.74  0.10 22.83
 1959  0.45  0.98  4.37  3.58  9.29  3.14  0.81  4.94  1.32  3.34  1.77  2.40 36.39
 1960  1.71  0.90  1.10  2.02  7.20  5.20  3.05  4.57  4.28  0.67  0.31  0.31 31.32
 1961  0.18  1.33  4.29  1.49  3.41  4.04  2.91  5.67  5.26  3.16  1.90  0.90 34.54
 1962  0.23  1.42  1.54  0.93  6.85  5.05  6.46  6.09  2.82  1.24  0.31  0.24 33.18
 1963  0.93  0.27  2.35  1.96  3.20  8.75  4.75  6.76  1.96  1.68  0.18  0.21 33.00
 1964  0.39  0.37  1.17  4.40  5.25  5.91  4.06  4.12  3.50  0.44  0.78  0.84 31.23
 1965  0.53  1.21  1.90  4.31  5.76  3.94  3.75  1.68  9.41  1.45  0.53  1.17 35.64
 1966  0.40  0.58  1.86  0.79  1.93  6.91  2.78  2.77  1.60  0.45  0.07  0.63 20.77
 1967  0.64  0.05  0.45  1.93  2.00 13.62  0.92  1.37  1.45  2.13  0.05  0.52 25.13
 1968  0.64  0.12  0.77  3.18  2.65  7.07  3.01  4.26  4.39  5.18  0.90  1.40 33.57
 1969  0.99  1.87  0.58  1.63  2.15  4.79  2.65  5.37  1.16  2.72  0.04  0.91 24.86
 1970  0.15  0.03  2.25  1.51  4.59  1.86  1.84  0.84  4.35  5.27  1.93  0.23 24.85
 1971  0.32  2.48  0.34  0.94  3.67  2.46  2.56  1.71  2.21  4.39  1.31  0.65 23.04
 1972  0.53  0.41  1.07  4.07  5.38  1.73  6.47  3.31  5.37  2.91  2.49  1.63 35.37
 1973  1.37  0.67  4.15  2.83  5.05  2.60  4.88  2.54  6.06  4.83  1.65  0.57 37.20
 1974  0.47  0.08  0.92  2.22  7.10  1.93  0.75  8.46  0.88  1.11  0.31  0.33 24.56
 1975  1.85  0.56  1.47  6.65  2.92  4.50  1.25  2.63  2.04  0.23  3.40  0.93 28.43
 1976  0.07  0.56  3.03  2.06  4.50  0.34  0.43  0.30  1.62  0.52  0.01  0.28 13.72
 1977  0.11  0.30  4.29  2.93  3.39  3.34  5.02  6.47  3.02  2.73  2.20  1.07 34.87
 1978  0.15  0.92  0.57  4.40  4.63  1.29  4.06  3.52  8.40  0.90  1.15  1.04 31.03
 1979  1.03  0.32  4.46  1.54  2.41  2.39  1.30  3.41  4.01  4.58  2.25  0.06 27.76
 1980  1.19  0.32  1.19  1.19  2.24  4.00  0.87  5.78  0.97  3.38  0.17  0.19 21.49
 1981  0.10  0.24  0.78  0.92  2.17  3.61  2.94  2.13  1.64  1.89  1.42  0.59 18.43
 1982  0.86  0.24  1.93  1.93  9.51  4.59  5.26  5.29  5.73  2.18  2.07  2.40 41.99
 1983  1.07  0.83  4.66  2.90  4.32  6.86  2.27  0.81  3.90  2.63  4.11  0.36 34.72
 1984  0.06  0.61  2.50  6.93  7.01  9.53  3.11  0.98  1.00  6.51  1.74  3.21 43.19
 1985  0.21  0.32  2.53  3.65  4.65  1.13  0.88  3.87  5.60  1.74  0.74  0.64 25.96
 1986  0.00  1.19  3.52  9.00  2.77  4.61  2.45  1.51  4.16  4.11  1.06  0.71 35.09
 1987  0.04  0.46  5.47  2.04  5.84  4.31  6.69  7.71  2.77  0.68  1.31  0.90 38.22
 1988  0.55  0.27  0.02  1.93  1.95  0.66  4.12  3.08  5.07  0.04  1.69  0.95 20.33
 1989  1.24  0.29  0.49  0.81  1.77  4.11  4.55  1.68  4.67  0.79  0.17  0.31 20.88
 1990  0.25  0.31  3.47  1.23  6.21  8.12  5.77  2.20  1.23  1.62  0.94  1.10 32.45
 1991  0.77  0.48  4.18  4.67  5.11  5.82  1.01  1.81  1.93  2.21  3.33  1.37 32.69
 1992  1.13  0.84  2.70  3.33  2.14  3.98  7.92  3.01  3.59  5.14  2.70  0.98 37.46
 1993  0.72  0.97  2.05  3.59  5.35  6.96 11.43  7.71  3.65  1.73  0.81  0.85 45.82
 1994  0.71  0.26  0.00  2.04  1.39  7.76  4.54  7.43  3.95  1.64  1.99  0.59 32.30
 1995  0.45  0.15  1.81  3.49  6.21  2.15  6.02  1.40  4.38  3.36  0.51  0.17 30.10
 1996  0.90  0.08  1.02  1.56  7.08  4.77 12.75  5.44  2.00  1.21  2.04  0.73 39.58
 1997  0.58  0.50  1.02  4.96  2.17  4.82  0.93  1.47  3.75  2.17  0.45  0.26 23.08
 1998  0.79  0.72  2.71  6.37  4.08  9.96  4.56  6.33  0.73  3.90  1.06  0.14 41.35
 1999  0.79  0.76  0.76  6.60  3.08  4.71  5.42  4.40  2.37  0.18  0.83  0.79 30.69
 2000  0.42  1.14  0.98  2.27  2.27  6.24  3.22  0.66  0.71  2.58  2.87  1.09 24.45
 2001  1.79  1.01  0.92  3.05  8.13  4.47  1.95  4.06  3.56  1.88  2.28  0.57 33.67
 2002  0.10  0.51  1.99  3.08  5.13  2.55  2.70  4.14  2.00  4.58  0.18  0.05 27.01
 2003  0.20  1.22  1.14  2.93  4.70  3.30  4.41  0.66  2.58  0.70  1.61  0.62 24.07
 2004  1.05  0.60  4.19  1.94  4.38  3.36  2.74  0.99  3.95  0.61  2.71  0.26 26.78
 2005  0.48  1.51  0.57  4.39  3.59  7.31  1.39 -9.99 -9.99 -9.99 -9.99 -9.99      
 MEAN  0.62  0.76  2.02  3.03  4.26  4.66  3.82  3.59  3.10  2.21  1.34  0.75 29.63
 PRECIPITATION MEANS AND TOTALS ARE BASED ON DATA AVAILABLE
 NO ATTEMPT WAS MADE TO ESTIMATE MISSING PRECIPITATION DATA
 *****************************************************************************************
 *****************************************************************************************
