# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6200] OELWEIN-2-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.05   0.24   66(69)   14(15)   15(16)    1( 1)    0( 0)    0       96
  2 3/8-->3/14       1.40   0.26   66(68)   17(18)   11(11)    3( 3)    0( 0)    0       97
  3 3/15-->3/21      0.63   0.21   65(71)   19(21)    7( 8)    0( 0)    0( 0)    0       91
  4 3/22-->3/28      1.31   0.29   52(58)   22(24)   14(16)    2( 2)    0( 0)    0       90
  5 3/29-->4/4       2.01   0.32   60(55)   24(22)   22(20)    2( 2)    1( 1)    0      109
  6 4/5-->4/11       1.80   0.27   67(64)   23(22)   11(11)    3( 3)    0( 0)    0      104
  7 4/12-->4/18      2.38   0.38   66(55)   23(19)   21(18)    8( 7)    2( 2)    0      120
  8 4/19-->4/25      2.23   0.35   73(54)   31(23)   24(18)    7( 5)    1( 1)    0      136
  9 4/26-->5/2       2.01   0.35   76(55)   29(21)   22(16)   10( 7)    1( 1)    0      138
 10 5/3-->5/9        3.10   0.38   82(56)   31(21)   18(12)   14(10)    1( 1)    0      146
 11 5/10-->5/16      4.38   0.40   84(58)   21(15)   26(18)   11( 8)    2( 1)    0      144
 12 5/17-->5/23      2.27   0.35   77(58)   26(20)   21(16)    6( 5)    3( 2)    0      133
 13 5/24-->5/30      1.97   0.33   97(61)   28(18)   22(14)   11( 7)    0( 0)    0      158
 14 5/31-->6/6       3.11   0.36   71(56)   25(20)   23(18)    5( 4)    3( 2)    0      127
 15 6/7-->6/13       3.52   0.49   64(46)   28(20)   27(20)   16(12)    3( 2)    0      138
 16 6/14-->6/20      2.82   0.42   65(49)   32(24)   25(19)   10( 7)    2( 1)    0      134
 17 6/21-->6/27      2.90   0.51   62(48)   26(20)   17(13)   19(15)    5( 4)    0      129
 18 6/28-->7/4       2.20   0.40   70(58)   19(16)   15(12)   15(12)    2( 2)    0      121
 19 7/5-->7/11       3.60   0.49   59(50)   14(12)   29(25)   13(11)    3( 3)    0      118
 20 7/12-->7/18      1.96   0.46   50(45)   17(15)   31(28)   12(11)    0( 0)    0      110
 21 7/19-->7/25      4.63   0.42   65(54)   21(18)   23(19)    9( 8)    2( 2)    0      120
 22 7/26-->8/1       3.30   0.49   52(50)   20(19)   20(19)    8( 8)    5( 5)    0      105
 23 8/2-->8/8        2.60   0.47   68(53)   21(16)   20(16)   14(11)    5( 4)    0      128
 24 8/9-->8/15       2.64   0.40   51(60)   12(14)   11(13)    9(11)    2( 2)    0       85
 25 8/16-->8/22      4.44   0.49   63(52)   17(14)   22(18)   17(14)    2( 2)    0      121
 26 8/23-->8/29      3.34   0.54   51(46)   20(18)   21(19)   14(13)    6( 5)    0      112
 27 8/30-->9/5       6.38   0.51   41(48)   18(21)   16(19)    8( 9)    3( 3)    0       86
 28 9/6-->9/12       7.19   0.47   48(59)   16(20)    9(11)    7( 9)    2( 2)    0       82
 29 9/13-->9/19      2.56   0.43   49(48)   23(22)   21(20)    8( 8)    2( 2)    0      103
 30 9/20-->9/26      3.22   0.42   63(53)   22(18)   21(18)   13(11)    1( 1)    0      120
 31 9/27-->10/3      3.35   0.34   51(59)   16(18)   15(17)    4( 5)    1( 1)    0       87
 32 10/4-->10/10     1.79   0.33   58(61)   16(17)   13(14)    8( 8)    0( 0)    0       95
