# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1354] CENTERVILLE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.02   0.33   56(62)   17(19)   10(11)    6( 7)    1( 1)    0       90
  2 3/8-->3/14       1.53   0.29   53(60)   17(19)   15(17)    3( 3)    0( 0)    0       88
  3 3/15-->3/21      1.74   0.33   38(50)   23(30)   13(17)    2( 3)    0( 0)    0       76
  4 3/22-->3/28      1.47   0.33   54(59)   16(18)   13(14)    8( 9)    0( 0)    0       91
  5 3/29-->4/4       2.08   0.35   62(57)   20(18)   19(17)    7( 6)    1( 1)    0      109
  6 4/5-->4/11       3.96   0.39   49(54)   17(19)   18(20)    4( 4)    2( 2)    0       90
  7 4/12-->4/18      1.46   0.39   45(40)   33(29)   28(25)    6( 5)    0( 0)    0      112
  8 4/19-->4/25      2.97   0.46   62(47)   34(26)   23(17)   11( 8)    3( 2)    0      133
  9 4/26-->5/2       2.48   0.42   51(47)   24(22)   22(20)    9( 8)    2( 2)    0      108
 10 5/3-->5/9        2.00   0.43   58(47)   27(22)   24(20)   14(11)    0( 0)    0      123
 11 5/10-->5/16      1.82   0.45   51(43)   26(22)   26(22)   15(13)    0( 0)    0      118
 12 5/17-->5/23      1.87   0.35   55(48)   33(29)   20(18)    6( 5)    0( 0)    0      114
 13 5/24-->5/30      3.67   0.47   69(49)   34(24)   18(13)   16(11)    4( 3)    0      141
 14 5/31-->6/6       2.83   0.51   50(47)   24(22)   17(16)   12(11)    4( 4)    0      107
 15 6/7-->6/13       2.03   0.53   53(42)   23(18)   25(20)   25(20)    1( 1)    0      127
 16 6/14-->6/20      2.57   0.44   62(54)   22(19)   13(11)   15(13)    2( 2)    0      114
 17 6/21-->6/27      3.33   0.60   44(48)   12(13)   17(19)   12(13)    6( 7)    0       91
 18 6/28-->7/4       4.37   0.54   44(44)   22(22)   22(22)    8( 8)    4( 4)    0      100
 19 7/5-->7/11       4.26   0.51   47(48)   11(11)   26(27)   12(12)    2( 2)    0       98
 20 7/12-->7/18      2.80   0.55   42(44)   17(18)   21(22)   10(11)    5( 5)    0       95
 21 7/19-->7/25      3.10   0.52   50(45)   30(27)   16(15)    6( 5)    8( 7)    0      110
 22 7/26-->8/1       3.90   0.54   45(49)   12(13)   18(20)   14(15)    3( 3)    0       92
 23 8/2-->8/8        4.49   0.61   45(47)   17(18)   14(15)   14(15)    6( 6)    0       96
 24 8/9-->8/15       2.25   0.50   36(39)   26(28)   18(19)   11(12)    2( 2)    0       93
 25 8/16-->8/22      2.51   0.50   44(46)   24(25)   16(17)    8( 8)    4( 4)    0       96
 26 8/23-->8/29      4.00   0.58   29(39)   14(19)   15(20)   14(19)    3( 4)    0       75
 27 8/30-->9/5       4.19   0.52   28(41)   15(22)   18(26)    6( 9)    2( 3)    0       69
 28 9/6-->9/12       2.97   0.60   30(39)   12(16)   23(30)    8(10)    4( 5)    0       77
 29 9/13-->9/19      3.00   0.59   39(43)   13(14)   23(25)   12(13)    4( 4)    0       91
 30 9/20-->9/26      2.77   0.57   28(31)   27(30)   16(18)   15(17)    3( 3)    0       89
 31 9/27-->10/3      2.74   0.51   28(39)   13(18)   21(30)    8(11)    1( 1)    0       71
 32 10/4-->10/10     4.25   0.56   39(47)   17(20)   15(18)    7( 8)    5( 6)    0       83
 33 10/11-->10/17    2.52   0.47   30(43)   19(28)   11(16)    7(10)    2( 3)    0       69
 34 10/18-->10/24    2.43   0.38   39(50)   18(23)   16(21)    3( 4)    2( 3)    0       78
