# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5493] MILFORD-4-NW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5493 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      7      0      0      0    164     78     66     57
 1952     23      8      5      3    342    216    192    171
 1953     96     34     26     19    156     65     52     43
 1954     22      5      3      1    354    224    197    171
 1955     86     39     30     22    442    289    257    228
 1956     32      8      5      2    216    118     97     77
 1957     69     16     11      7    318    207    185    163
 1958     56     14      8      4    291    171    144    120
 1959     73     25     18     13    328    202    179    157
 1960     14      1      0      0    308    181    155    134
 1961     59     20     14     10    185     90     71     55
 1962     11      1      0      0    264    156    137    121
 1963    157    103     92     82    376    239    208    180
 1964     61     20     14      9    332    200    173    148
 1965      2      0      0      0    227    128    108     93
 1966    184     98     80     66    187     95     76     63
 1967    172    106     92     79    321    184    154    127
 1968    264    168    147    128    386    246    216    187
 1969      6      0      0      0    305    180    155    130
 1970      7      0      0      0    300    193    171    149
 1971     51     24     19     16    350    222    194    167
 1972     74     30     21     13    236    127    107     89
 1973    126     49     35     23    285    165    139    115
 1974     89     36     29     22    335    200    172    145
 1975     27      7      4      2    139     56     41     27
 1976    122     64     53     45    412    263    229    196
 1977    127     51     39     29    471    314    281    250
 1978    106     61     52     44    220    110     87     67
 1979     10      0      0      0    187     93     77     63
 1980     45     14     10      6    340    209    183    162
 1981    193     95     77     60    421    266    236    207
 1982     32      3      1      0    249    144    124    104
 1983     48     15     10      8    131     65     54     44
 1984     12      0      0      0    209     92     73     57
 1985    124     59     47     37    429    283    252    222
 1986    155     86     76     68    347    195    162    135
 1987    140     69     55     42    470    312    282    253
 1988    141     60     46     37    325    204    177    153
 1989    106     54     46     39    340    204    174    149
 1990    117     44     32     23    366    221    191    166
 1991    107     50     41     32    336    195    167    141
 1992    107     45     33     24    220    117     99     82
 1993     21      3      2      1    196    100     83     67
 1994    103     44     35     27    319    208    183    159
 1995    101     40     30     22    180     83     66     50
 1996     58     22     16     13    237    134    113     94
 1997     89     45     37     30    228    127    106     86
 1998     74     42     36     30    317    185    156    130
 1999    122     55     44     34    277    145    121     99
 2000    212    119    100     83    320    187    163    143
 2001      8      0      0      0    349    208    181    154
 2002     25      9      6      4    361    228    201    177
 2003    156     88     76     64    351    226    202    180
 2004    154     71     57     45    393    260    231    203
 2005    109     56     48     40    424    254    216    183
     ****************************  ****************************
 MEAN   85.3   39.6   32.0   25.6  301.3  179.3  154.8  132.6
 STDV   60.8   36.8   31.8   27.4   86.2   65.9   60.8   55.6

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    621    411    366    323    672    446    396    349
 1952    537    340    298    258    909    671    614    557
 1953    549    362    322    288    870    634    577    522
