# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5796 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     81     34     25     17    321    191    165    140
 1952    113     53     42     35    421    273    242    216
 1953    183     88     69     53    280    154    128    105
 1954    126     48     36     26    532    342    300    261
 1955    184    101     83     67    565    375    333    292
 1956    178     91     75     61    387    254    227    200
 1957    147     62     46     34    426    258    224    193
 1958     97     32     22     15    391    238    205    172
 1959    147     71     58     49    385    231    200    170
 1960     43     21     17     13    457    298    263    229
 1961    151     68     55     43    282    150    126    104
 1962    106     56     45     37    398    248    216    188
 1963    238    135    118    103    500    323    284    245
 1964    128     66     54     42    437    272    239    207
 1965     23      5      3      1    355    208    180    154
 1966    249    136    111     90    323    188    160    134
 1967    220    137    119    102    425    259    224    191
 1968    278    164    143    126    400    254    225    196
 1969    100     51     43     36    444    278    240    202
 1970     59     13      7      4    453    299    265    234
 1971    122     57     47     41    470    315    282    250
 1972    167     86     75     64    381    224    192    163
 1973    251    114     88     65    369    214    182    153
 1974    224    127    109     93    494    321    285    252
 1975    101     55     46     37    324    188    161    138
 1976    225    114     94     78    481    312    275    239
 1977    272    147    125    105    576    390    347    307
 1978    104     51     41     34    384    227    195    167
 1979    149     82     70     58    294    162    136    111
 1980    118     45     34     26    386    239    208    180
 1981    243    132    110     92    558    368    327    288
 1982    140     56     41     30    337    210    184    158
 1983    185    105     87     71    259    135    115     99
 1984     58     16     11      6    340    190    161    134
 1985    236    120     95     75    563    380    342    308
 1986    277    171    150    130    496    323    289    256
 1987    230    126    107     92    480    309    274    241
 1988    179     94     76     62    346    217    189    161
 1989    173    102     89     76    372    225    193    164
 1990    227    123    103     85    349    215    186    160
 1991    221    119    100     81    431    258    225    193
 1992    228    126    105     86    336    196    172    150
 1993    100     48     39     32    323    182    154    131
 1994    192     99     82     66    415    265    232    201
 1995    236    150    131    114    306    169    142    117
 1996    119     50     38     28    352    206    179    154
 1997    215    111     90     73    310    185    158    132
 1998    177    105     92     82    380    207    176    146
 1999    164     80     65     51    439    262    226    192
 2000    301    175    150    127    419    257    226    197
 2001     90     27     17     11    578    387    346    306
 2002    165     76     60     47    434    270    238    209
 2003    216    121    103     87    477    319    284    251
 2004    239    116     94     75    470    295    256    222
 2005    180     94     78     65    520    341    300    259
     ****************************  ****************************
 MEAN  170.5   88.2   73.0   60.0  411.5  255.6  223.3  193.1
 STDV   66.2   42.5   37.6   33.0   82.0   65.0   60.2   55.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    734    514    462    412    813    577    519    464
 1952    651    435    390    347   1022    782    723    664
 1953    644    435    389    345    991    751    691    632
 1954    575    378    335    294    993    755    697    639
 1955    746    515    465    418    836    598    542    488
 1956    792    571    521    474    996    764    706    649
 1957    678    454    405    359    913    675    618    561
 1958    714    500    455    413    820    580    521    464
 1959    793    565    513    461    967    727    667    609
 1960    641    430    380    334    870    632    574    516
 1961    589    389    346    307    902    670    616    564
 1962    905    662    604    549    931    691    632    576
 1963    681    457    407    362    997    757    699    642
 1964    837    595    542    491    922    688    631    574
 1965    822    599    547    496    888    650    593    540
 1966    560    372    334    299    871    639    583    529
 1967    522    341    302    269    884    649    593    539
 1968    575    383    342    303    965    726    667    609
 1969    690    476    428    382    796    570    518    468
 1970    798    568    513    464    915    675    615    556
 1971    616    414    368    328   1054    814    754    694
 1972    717    494    443    394    875    642    585    531
 1973    609    388    336    289    956    716    656    596
 1974    653    434    385    339    829    590    533    477
 1975    782    544    489    438    946    706    646    586
 1976    613    404    358    316    922    682    622    562
 1977    891    651    593    536    968    729    671    613
 1978    662    445    397    351    938    698    640    583
 1979    703    491    444    399    957    717    658    599
 1980    753    526    473    423    916    676    618    560
 1981    608    400    354    311    975    735    675    615
 1982    804    561    503    447    810    571    512    459
 1983    604    388    343    300    960    722    664    606
 1984    601    393    351    311    999    759    700    641
 1985    772    531    474    422    870    631    573    516
 1986    710    476    422    370    976    736    678    620
 1987    861    624    569    518    988    749    690    631
 1988    737    515    466    421    921    688    634    581
 1989    579    387    346    307    800    565    509    453
 1990    512    301    260    222    889    650    592    535
 1991    807    576    521    469    986    746    686    626
 1992    649    444    396    354    847    610    551    496
 1993    683    453    403    354    866    633    576    520
 1994    651    442    397    355    941    702    644    586
 1995    577    351    302    256    930    690    630    570
