# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4101] IOWA-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4101
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     4     8     0    12        0     0     7    22     0    29
 1952     1    17    22     7     8    55        2    79    93    16    26   216
 1953     4    10    15    16     7    52       17    60    70   105    58   310
 1954     0    20    21    11     8    60        0   103   128    26    35   292
 1955     2     3    27    25    10    67        4     9   189   175    59   436
 1956     7    19    14     9     4    53       22   117    77    42     8   266
 1957     0     7    22    16     1    46        0    19   137    91     5   252
 1958     0     2     1    16     0    19        0     4     2    58     0    64
 1959     4    11     9    21     4    49        8    29    27    83    11   158
 1960     0     0    14    16     8    38        0     0    48    59    73   180
 1961     1     8    11    15     9    44        2    38    32    41    32   145
 1962     6     6     8    13     2    35       16    21    26    43     7   113
 1963     3    17    15     6     4    45        8   107    55    27     8   205
 1964     6     7    20    10     7    50       20    33   111    54    24   242
 1965     2     4    11    13     1    31        3    15    52    78     4   152
 1966     5    12    21    10     3    51        9    38   153    35     8   243
 1967     6     3    16     4     0    29       29    13    60     8     0   110
 1968     2    16    15    17     2    52        3    70    62   112     6   253
 1969     4     5    17    17     0    43        7    19    63    54     0   143
 1970     5     9    20    16     4    54        9    31   123    66    11   240
 1971     0    24    12    13    12    61        0   122    26    48    52   248
 1972     8    10    12    13     6    49       22    37    53    86    21   219
 1973     0     9    17    19     2    47        0    40    78    69     7   194
 1974     0     6    22     8     0    36        0    14   168    17     0   199
 1975     5    15    24    16     3    63       18    65   136   102     8   329
 1976     0    11    21    11     6    49        0    37    96    32     7   172
 1977    10    14    25    10     0    59       32    70   174    27     0   303
 1978     4    12    13    11    11    51       17    35    36    40    48   176
 1979     6     9    19    14     7    55       11    32    52    68    19   182
 1980     6     7    25    22     6    66       15    30   200   108    24   377
 1981     0     7    13     8     5    33        0    22    51    20    14   107
 1982     0     1    20    10     3    34        0     1    63    45     4   113
 1983     0    18    28    27     7    80        0    82   209   268    45   604
 1984     2     7    13    18     9    49        4    21    72    98    53   248
 1985     2     6    21     9    12    50       15    37    89    38    73   252
 1986     0    11    23     3     4    41        0    43    89    11     7   150
 1987     8    17    26    14     1    66       19   102   201   103     2   427
 1988     7    21    28    18     7    81       20   173   251   211    24   679
 1989     3     9    19    11     0    42        7    28   135    40     0   210
 1990     0     9    12     9    10    40        0    22    65    42    42   171
 1991     7    16    18    17    10    68       23    61   125    80    38   327
 1992     1     8     4     5     0    18        1    27    12    17     0    57
 1993     0     5     8    13     2    28        0    16    18    38     4    76
 1994     4    13    13    10     6    46        6    69    55    34    16   180
 1995     0    12    19    26     4    61        0    61   124   162     6   353
 1996     3    12    12     8     2    37        8    60    40    33     2   143
 1997     1    10    18     8     4    41        2    35   107    32     4   180
 1998     7     6    17    10     9    49       24    40    68    31    34   197
 1999     0    11    26     7     5    49        0    40   207    21    23   291
 2000     0     5    10    10    13    38        0    18    25    30    68   141
 2001     3    13    22    13     0    51       10    34   105    72     0   221
 2002     2    15    24     7    10    58        4    71   160    27    46   308
 2003     2     6    15    16     3    42        5    24    64   120    13   226
 2004     2     7     7     5     7    28        3    17    23    12    13    68
 2005     0    17    20     0     0    37        0    89   148     0     0   237
 **************************************************************************************
MEANS   2.7  10.1  16.9  12.5   4.9  47.1      7.7  45.1  91.6  61.4  19.9 225.7
