# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0576] BEDFORD-1-NNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0576
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     1    16     9     0    27        3     4    92    58     0   157
 1952     3    20    21     6    11    61       12   118   109    19    33   291
 1953     6    22    22    16    12    78       29   108   169   122    83   511
 1954     0    17    28    15    11    71        0   120   332    88    59   599
 1955     3     8    30    26    16    83        5    19   245   275   115   659
 1956     9    20    19    23    17    88       35   104   114   115   104   472
 1957     0     7    29    23     1    60        0    26   252   179     1   458
 1958     1     6     7    22     5    41        2    27    16   108    13   166
 1959     2    11    15    22     5    55        3    43    57    96    16   215
 1960     0     4    16    15     8    43        0    11    66    54    44   175
 1961     0     6    12     9     4    31        0    21    66    33    11   131
 1962    10    12    12    14     2    50       17    24    55    57     7   160
 1963     2    18    23    19     5    67        8    98   116    89    12   323
 1964    10    10    27    17     8    72       28    24   191   117    32   392
 1965     5     6    15    18     0    44       11     7    74    88     0   180
 1966     3     6    21     5     0    35        8    20   140    13     0   181
 1967     5     2    16    14     0    37       36     3    87    26     0   152
 1968     3    18    18    15     0    54       11    58    75    67     0   211
 1969     1     7    20    14     3    45        1    37   101    35     3   177
 1970     1    11    22    20     7    61        2    36   155   128    28   349
 1971     0    19    12    10    14    55        0   106    36    47    49   238
 1972     0    11    13    14     8    46        0    65    53    70    19   207
 1973     0    10    13    11     0    34        0    40    33    29     0   102
 1974     0     9    30    10     1    50        0    47   283    33     2   365
 1975     5     7    26    24     3    65        8    19   116   128    30   301
 1976     0     6    21    17     3    47        0    25   120    60     9   214
 1977     0    16    24    11     0    51        0    89   179    32     0   300
 1978     0     8    16    14    12    50        0    22    59    54    39   174
 1979     0     7     8    11     2    28        0    14    29    43     3    89
 1980     1    12    26    23     9    71        1    65   268   140    34   508
 1981     0    10    11     5     1    27        0    28    69    11     2   110
 1982     0     1    17     7     0    25        0     5    70    41     0   116
 1983     0     7    22    29    13    71        0    14   142   262    65   483
 1984     0     3    12    24     8    47        0     6    59   145    40   250
 1985     0     7    17     3     8    35        0    31    79     8    32   150
 1986     0    13    19     1     1    34        0    47    81     4     1   133
 1987     7    16    24    11     2    60       17    86   134    69     4   310
 1988     4    21    21    20     3    69        9   174   139   194     5   521
 1989     2     5    18     6     0    31        5    11   128    20     0   164
 1990     0     8    10    11    13    42        0    35    75    59    70   239
 1991     3    14    14    16    10    57        6    56    83    78    33   256
 1992     0     2     4     3     0     9        0     3    11     6     0    20
 1993     0     3     6     9     2    20        0     3    18    50     5    76
 1994     1     9     8     9     3    30        2    20    23    28     9    82
 1995     0     8    20    24     1    53        0    18   104   133     1   256
 1996     3     7     4     1     0    15        5    20    17     4     0    46
 1997     1     9    15    11     5    41        2    30    95    46    15   188
 1998     3     6     9    10    10    38        8    27    41    56    47   179
 1999     0     6    17     7     4    34        0    11   120    22    17   170
 2000     5     5     5    14    10    39       17    18    20    56    65   176
 2001     3     7    16    11     3    40        4    15    90    73     7   189
 2002     0    10    21     7    10    48        0    38   120    40    45   243
 2003     0     1    16    14     1    32        0     4    93   132     2   231
 2004     3     0     4     4     0    11        6     0    11     9     0    26
 2005     2    12    21     0     0    35        6    64   113     0     0   183
 **************************************************************************************
MEANS   2.0   9.2  16.9  13.2   5.0  46.2      5.6  39.3 102.2  71.8  22.0 241.0
