# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6327] OSKALOOSA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4  12  12  12  13  18  10  10   6  13   8   8 126
1952     7   6  14   7  12   8   8  10   4   1   6   6  89
1953     6   6  12  12   9   9   5   6   4   3   4   7  83
1954     5   5   9  11   9  10   7  13   6  11   4   6  96
1955    12   7   4  10  11  10   4   5   9   8   4   5  89
1956     6   6   5   6   7   8  11  13   2   3   6   6  79
1957     6   2   7  17   9  14   8  11   7   4   6   6  97
1958     7   4   5  11   7  12  15   9  10   2   6   2  90
1959     7   7   9  10  11   4   6   9  13  12   8   8 104
1960     7   6   9  12  12  14   8   5  10   6   4   4  97
1961     5   6  11   8   8  10  10   8  12   6   7   8  99
1962     6  10   8  10   8   9  10   6   5   9   2   3  86
1963    10   6  10   7   8   8   9   8   7   8   7   4  92
1964     4   6   9  12   9   8  10   7  10   0   4   5  84
1965     6   6  13  13  10   9   6  10  18   4   5   7 107
1966     4   3   7   9  12   9   7   6   4   5   4   8  78
1967     3   2   6  12   8  18   5   6   6  12   4  14  96
1968     6   3   4  10   7  10   8   6  14   7   6   8  89
1969    12   4   6   9  10  14  15   5  12  10   2   6 105
1970     4   2   9  11   7  10   7   5  13   7   5   6  86
1971     3   7   3   4  11   8  10   1   7   9   7   8  78
1972     3   8   9  13  14   8   9  10  11   8   7   6 106
1973     5   6  11   9   0   9  11  12   9   0   0   7  79
1974     4   4  10   8  12  11   6  13   4   7   8   9  96
1975     4   6   7   7  11  10   4   0  11   2  13   2  77
1976     1   5   6   5  10   6   6   5   0   4   2   3  53
1977     8   0   9   5  11   8   6  12  10   9   9   9  96
1978     8   8   5  14  11  12   8   8   7  12   9   9 111
1979     3   2  10  12   7  13   7   8   3   8   5   4  82
1980     6   7   6   5   6   8   6   9   8   5   4   3  73
1981     1   6   2  12   7  10   8  10   4   8  13   1  82
1982     1   1   7   7  21   7  12   7   9  10   7   5  94
1983     4   2  10  11  19  10   5   7   8  11  16   4 107
1984     5   7  12  13  13  14  10   5  13  16   6  11 125
1985     6   7   9   5  13   9  12   9  10  10  12   4 106
1986     1   7   8  13  15   8  10   8  15  11   6   4 106
1987     3   2  10   9   8  10   9  12  11   4   9   9  96
1988     5   5   3   7   5   4   5  10   7   6  10   3  70
1989     5   7   3   8   9   8   4   9  11   7   0   4  75
1990     5   4  12   7  13  11  15   9   5   9   7   8 105
1991     7   1  10  11  10   8   3  11   7  10  13   6  97
1992     6   7  12  11   6   5  19   9  11   5  11  10 112
1993     8   8  10  14  15  14  17  16  11   3   5   6 127
1994     7   5   1   8   7  13   6   7   5   6  11   5  81
1995     6   4   4  14  13  11   8   8  10   8   5   4  95
1996    10   4   7   5  18  11   6   8   7   8   8   6  98
1997    10   8   4   7  14   9   6  10  12   7   7  10 104
1998     9  12  14  18  16  18   9  11   6  13   7   2 135
1999     8   5   6  11  14  12   9   9   7   3   3   6  93
2000     8   5   4   8   9  14  10  10   8   8   6  11 101
2001    10   9   9  15  19  13   8   8   8  11   5   8 123
2002     7   8  12  14  13  11   8   7   6  13   5   4 108
2003     8   8   8  14  14   9   8   5   7   7  12  10 110
2004     7   9  14   5  16  15  14  12   4  14  15   8 133
2005    10  10   9  10   7  10   8   0   0   0   0   0  64
STDDEV   3   3   3   3   4   3   3   3   4   4   4   3  17
AVG      6   6   8  10  11  10   9   8   8   7   7   6  96
