# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5769] MOUNT-AYR
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia5769
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    11     7     0    18        0     0    29    29     0    58
 1952     3    17    15     5     8    48        4    73    74     8    19   178
 1953     5    13    18    15    10    61       17    60   111   103    62   353
 1954     0    12    28    12     8    60        0    73   251    60    48   432
 1955     0     6    22    21    10    59        0    17   139   171    71   398
 1956     5    19    13    11    11    59       20    76    59    43    49   247
 1957     0     4    18    17     1    40        0    11   129   100     2   242
 1958     0     5     3    18     2    28        0    14     6    58     6    84
 1959     0     5     8    18     5    36        0    16    30    58    14   118
 1960     0     3    12    11     8    34        0     8    42    39    33   122
 1961     0     5    10     6     1    22        0    20    35    23     5    83
 1962     4     5    12    10     2    33        6     6    35    48     4    99
 1963     2    13    17    12     1    45        3    69    58    46     3   179
 1964     1     1    18     8     2    30        1     1    91    43     6   142
 1965     1     1     7    15     1    25        1     1    24    55     2    83
 1966     2     4    17     5     0    28        6     9    89     7     0   111
 1967     5     1    10     6     1    23       20     1    34    11     1    67
 1968     2    11    10    12     0    35        2    16    34    37     0    89
 1969     0     4    14    14     2    34        0    12    49    29     2    92
 1970     1     5    16    13     4    39        2    17    93    65    13   190
 1971     0    14    11     9     7    41        0    65    31    45    26   167
 1972     0     7    13    10     2    32        0    22    39    65     6   132
 1973     0     9    14    11     1    35        0    27    44    40     2   113
 1974     0     5    25     6     1    37        0    18   207    22     2   249
 1975     3     6    23    17     2    51        4    13    88   100    14   219
 1976     0     3    18    11     5    37        0    10   107    38     9   164
 1977     0    13    25     8     0    46        0    56   169    21     0   246
 1978     1    10    17    15    11    54        1    56    70    67    40   234
 1979     1     4    10    15     4    34        1    13    39    59     6   118
 1980     1    10    25    21     9    66        2    63   245   130    39   479
 1981     0    11    11     5     3    30        0    35    76    16     6   133
 1982     0     1    19     8     1    29        0     7    72    53     4   136
 1983     0     8    27    26    10    71        0    27   216   236    49   528
 1984     0     2    16    22    11    51        0     4    72   141    59   276
 1985     1     6    17     7    10    41        1    32    94    27    43   197
 1986     0     8    16     1     0    25        0    21    44     1     0    66
 1987     1    11    14     7     0    33        1    33    87    45     0   166
 1988     2    16    23    20     1    62        4   150   158   176     2   490
 1989     1     4    15     5     0    25        1    10   118    23     0   152
 1990     0     4     9     8     9    30        0    14    48    35    34   131
 1991     0     5    13    10     6    34        0    18    65    31    13   127
 1992     0     2     1     3     0     6        0     2     5     3     0    10
 1993     0     1     5     8     1    15        0     1    12    40     4    57
 1994     0     6     6    10     2    24        0    15    15    37     4    71
 1995     0     5    12    18     2    37        0     8    61    99     4   172
 1996     0     4     4     2     0    10        0     9    14     3     0    26
 1997     0     7    16    10     4    37        0    14    93    50    11   168
 1998     1     4     7    11    11    34        2    10    32    53    32   129
 1999     0     3    18     7     4    32        0     3    96    20    12   131
 2000     3     3     7    16    11    40       13     9    20    65    67   174
 2001     0     1    13    16     1    31        0     3    48    62     4   117
 2002     0     9    18     5     8    40        0    24    85    34    35   178
 2003     1     1    14    15     1    32        1     2    77   134     1   215
 2004     1     0     6     3     1    11        1     0    24    12     1    38
 2005     0    10    19     0     0    29        0    44   109     0     0   153
 **************************************************************************************
MEANS   0.9   6.3  14.3  10.9   3.9  36.3      2.1  24.3  76.2  54.8  15.8 173.3
