# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0576] BEDFORD-1-NNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0576 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    117     59     48     41    298    167    143    120
 1952    122     60     47     36    425    278    248    218
 1953    225    121    100     81    338    199    169    142
 1954    144     62     47     36    553    370    329    291
 1955    207    123    105     89    599    407    370    335
 1956    232    133    113     95    424    287    258    232
 1957    181     87     72     61    399    243    211    185
 1958     89     32     22     13    411    253    219    188
 1959    190     97     79     65    380    227    198    176
 1960     43     22     18     14    448    282    247    215
 1961    144     63     47     37    312    178    153    132
 1962    127     65     53     43    417    265    234    203
 1963    272    148    129    112    479    313    275    239
 1964    185     98     81     67    510    341    307    276
 1965     45     12      9      7    441    284    253    224
 1966    297    184    159    135    350    220    192    167
 1967    311    203    180    158    489    309    269    234
 1968    362    236    210    186    482    319    283    249
 1969    129     67     58     51    434    278    245    214
 1970    139     71     59     49    470    313    278    246
 1971    175     96     81     69    481    322    289    257
 1972    241    141    120    101    404    253    221    193
 1973    203     78     58     40    364    220    189    161
 1974    266    154    132    113    468    307    273    239
 1975    118     65     54     44    378    229    196    167
 1976    205    109     90     73    507    335    297    262
 1977    275    152    126    103    554    365    323    286
 1978    150     93     80     67    384    238    206    178
 1979    139     65     51     38    325    192    165    139
 1980    117     58     47     36    409    262    229    202
 1981    263    145    122    101    605    411    369    329
 1982    161     72     55     43    373    234    206    179
 1983    171     94     80     68    239    132    113     98
 1984     60     12      9      6    313    158    132    109
 1985    264    151    126    102    554    369    327    291
 1986    319    198    173    150    505    338    300    265
 1987    267    158    134    112    561    382    344    309
 1988    255    161    139    117    405    271    240    209
 1989    227    139    122    105    499    334    298    263
 1990    225    116     95     76    387    236    203    172
 1991    286    171    148    126    448    272    235    204
 1992    292    158    132    108    377    230    201    177
 1993    124     57     44     35    317    186    159    134
 1994    257    153    132    112    458    313    282    252
 1995    264    157    137    118    340    205    176    149
 1996    149     69     55     44    398    256    225    198
 1997    254    140    117     97    308    177    152    128
 1998    119     66     57     49    329    184    157    132
 1999    157     81     65     51    339    190    161    135
 2000    254    140    118     97    367    225    197    171
 2001     49     11      5      2    466    301    265    231
 2002    145     70     56     42    384    240    210    183
 2003    219    132    115    100    415    268    239    211
 2004    223    116     93     74    432    265    230    200
 2005    176     91     72     55    449    284    246    211
     ****************************  ****************************
 MEAN  193.3  105.7   88.7   73.6  421.8  267.6  235.2  205.6
 STDV   75.2   51.4   46.0   40.7   80.6   64.8   60.5   56.3

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    690    473    425    379    765    532    475    420
 1952    695    472    424    376   1061    821    761    702
 1953    665    458    411    368   1025    785    725    666
 1954    592    400    360    321   1005    766    707    650
 1955    771    533    480    431    839    602    547    494
 1956    815    589    538    489   1004    767    709    652
 1957    676    454    405    361    915    676    619    562
 1958    757    529    478    431    864    624    567    515
 1959    752    523    469    418    947    707    648    590
 1960    683    472    425    379    854    614    555    498
 1961    604    396    351    309    877    640    584    532
 1962    915    673    615    559    903    663    604    547
 1963    693    467    414    363   1000    760    701    643
 1964    860    621    567    514    910    677    621    565
 1965    862    638    585    533    935    695    635    579
 1966    624    433    391    351    876    642    586    530
 1967    603    407    364    322    884    648    591    535
 1968    613    411    368    328    979    739    680    623
 1969    738    512    461    413    832    605    553    501
 1970    812    585    532    479    946    706    646    586
 1971    616    421    377    334   1028    788    728    668
 1972    660    441    391    349    892    662    607    554
 1973    615    407    359    317    935    695    637    581
 1974    702    489    442    397    824    593    541    490
 1975    757    538    488    441    909    673    616    561
 1976    620    421    377    335    883    652    597    543
 1977    854    617    560    505    965    727    669    612
 1978    653    448    403    360    920    684    626    571
 1979    680    469    422    377    909    671    613    557
 1980    705    491    442    400    930    692    634    577
 1981    604    396    352    311    955    715    656    598
 1982    737    498    442    388    810    575    518    463
 1983    592    380    335    293    919    681    624    568
 1984    598    387    341    297    969    729    670    612
 1985    754    510    456    403    850    612    555    500
 1986    752    512    458    406   1022    782    722    663
 1987    864    621    564    508   1014    774    715    657
 1988    869    627    570    516   1086    846    786    726
 1989    676    468    421    376    865    630    575    521
 1990    575    360    312    268    954    718    659    600
 1991    836    605    549    494   1007    767    707    647
 1992    696    479    430    385    874    636    577    519
 1993    693    459    408    360    889    653    595    539
 1994    726    507    459    414    961    721    661    602
 1995    564    344    300    259    894    654    595    537
 1996    648    422    371    322    934    698    640    583
 1997    558    358    315    278    970    730    670    611
 1998    783    543    488    433    830    592    536    484
 1999    599    372    325    281    873    635    577    520
 2000    732    506    454    405    859    621    563    505
 2001    696    461    409    359    848    614    557    501
 2002    560    367    325    286    997    757    697    637
 2003    592    372    326    284    832    592    534    479
 2004    711    491    438    388    817    579    521    464
 2005    630    420    375    331    979    739    679    619
     ****************************  ****************************
 MEAN  696.9  477.3  428.1  381.5  920.4  682.8  624.9  568.3
 STDV   92.1   81.6   77.9   73.7   70.4   68.8   67.6   66.0

               JULY                        AUGUST      
     ****************************  *************************** 
