# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6151] OAKLAND-2-E
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia6151
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     9     1    22        0     0    40    36     1    77
 1952     3    20    17     3     5    48        7   127    81     4    10   229
 1953     3    19    18    14     8    62        9    85    91    70    52   307
 1954     0    15    28    14     9    66        0    87   242    63    41   433
 1955     3     5    26    22    14    70        5    15   207   191    96   514
 1956     5    20    16    18    11    70       17   124    78    96    46   361
 1957     0     4    24    15     1    44        0    10   159    69     1   239
 1958     2     8     3    15     2    30        4    37    11    58     5   115
 1959     1    12     9    20     4    46        4    40    31    70    13   158
 1960     0     4    15    11     7    37        0    11    44    33    25   113
 1961     0     5    14    14     3    36        0    16    69    42     8   135
 1962    13    10    14    12     2    51       33    21    53    31     3   141
 1963     3    19    25    13     3    63       11   103   125    49     6   294
 1964     4     2    23     6     5    40        6     3   130    39    13   191
 1965     4     2     9     9     0    24       10     2    37    34     0    83
 1966     6     9    17     6     0    38       30    26   103    14     0   173
 1967     5     1    12     9     1    28       47     1    45    27     1   121
 1968     2    20    17    15     0    54        7    79    66    69     0   221
 1969     3     5    16     6     0    30        7    35    58     8     0   108
 1970     6    11    17    12     6    52       15    41    79    45    23   203
 1971     0    20     7    10    14    51        0    98    28    26    56   208
 1972     3    10     8    12     6    39        4    57    24    58    17   160
 1973     1    14    13     6     1    35        3    69    34    13     1   120
 1974     1    10    28     6     0    45        1    75   254    19     0   349
 1975     5     6    21    20     3    55       24    14    99   111    17   265
 1976     1     7    16    12     4    40        1    28    70    40    15   154
 1977     4    13    20     5     0    42        7    93   120    11     0   231
 1978     2    15    16    11     9    53        6    77    61    38    31   213
 1979     2    11     8    10     2    33        4    37    21    30     3    95
 1980     5    11    22    15     7    60       11    57   147    52    25   292
 1981     0    13    12     5     3    33        0    53    53     6     9   121
 1982     0     4    17     7     0    28        0    10    66    29     0   105
 1983     1     7    26    27    14    75        3    28   140   179    59   409
 1984     0     6    17    19     8    50        0    16    68   110    50   244
 1985     0    11    15     4     8    38        0    49    85    15    35   184
 1986     0    11    16     1     2    30        0    38    44     1     2    85
 1987     5    14    16     6     0    41        9    65    70    29     0   173
 1988     2    16    18    20     5    61        7   134    69   133    16   359
 1989     3     3    12     4     2    24       21    12    60    13     8   114
 1990     0     8     9     9    13    39        0    35    67    34    58   194
 1991     4     9    13    12     4    42       11    26    48    38    11   134
 1992     3     3     2     2     0    10        6     8     4     5     0    23
 1993     0     7     3    12     1    23        0    15     9    43     4    71
 1994     3    11     8    10     4    36       13    41    19    40    16   129
 1995     0    11    18    20     1    50        0    50   122    93     1   266
 1996     3    11     5     2     0    21       15    49    21     4     0    89
 1997     2    11    18    11     7    49        5    39    87    48    23   202
 1998     4     7    13     9     9    42       10    24    41    26    35   136
 1999     0     7    18     4     3    32        0    12    86     8     5   111
 2000     4     6     8    12    11    41       20    22    20    44    68   174
 2001     4     5    15    13     4    41        9    14    60    63    10   156
 2002     1    16    23     6     6    52        5    54   127    27    17   230
 2003     0     2    15    18     2    37        0     4    69   121     2   196
 2004     2     2     4     1     6    15        3     4    10     3    10    30
 2005     1    12    16     0     0    29        2    47    72     0     0   121
 **************************************************************************************
MEANS   2.3   9.5  15.1  10.6   4.4  41.9      7.5  42.1  75.0  46.5  17.2 188.3
