# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0157] ALLISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0157
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     9     2     0    11        0     0    17     7     0    24
 1952     1    12    15     4     9    41        4    52    62    10    34   162
 1953     3     8     8    11     3    33       13    42    38    58    19   170
 1954     0     8    17     3     4    32        0    39    79     8    21   147
 1955     3     2    22    21     8    56        7    13   174   171    51   416
 1956     4    18     8     8     2    40       11   113    32    50     5   211
 1957     0     6    19    10     1    36        0    14   109    36     2   161
 1958     0     4     1    17     1    23        0    12     5    70     3    90
 1959     2    11     7    19     4    43        6    42    23    78    16   165
 1960     0     3    12     9     7    31        0     3    58    37    48   146
 1961     2    11     8    14     5    40        5    56    24    54    14   153
 1962     6     6     5     7     1    25       15    19    15    23     3    75
 1963     2    14     8     6     2    32        5    73    33    17     3   131
 1964     5    12    23    10     4    54       20    48   152    57    12   289
 1965     2     3     6     8     0    19        4     7    36    56     0   103
 1966     2     9    16     9     1    37        7    27    94    26     2   156
 1967     4     1    11     2     0    18       25     4    33     3     0    65
 1968     1    12     8    13     0    34        1    61    28    67     0   157
 1969     2     3    11    13     0    29        6     8    43    42     0    99
 1970     3     7    18    11     5    44        9    43    90    50    16   208
 1971     1    21     7    13    10    52        2    97    21    61    44   225
 1972     8     8     9    13     3    41       25    25    36    85    12   183
 1973     0    12    12    13     0    37        0    52    49    51     0   152
 1974     0     6    22     5     0    33        0    12   138    12     0   162
 1975     6    10    20    17     1    54       19    34    99    65     1   218
 1976     0     8    22    13     5    48        0    22   118    47    16   203
 1977     9    10    17     4     0    40       23    79   109     6     0   217
 1978     3     6    10     7     8    34       16    18    32    25    42   133
 1979     0     3     0     7     0    10        0     6     0    22     0    28
 1980     5     7    13     6     4    35       14    21    66    21    11   133
 1981     0     4    13     1     1    19        0    10    47     2     4    63
 1982     0     1     8     5     0    14        0     1    28    19     0    48
 1983     0     6    18    20     5    49        0    23    85   106    15   229
 1984     0     3     7    12     4    26        0    10    19    60    12   101
 1985     2     5     8     5     5    25        6    41    30    19    18   114
 1986     1     8    13     3     1    26        1    33    43     5     2    84
 1987     4    16    21     6     0    47       11    80   107    33     0   231
 1988     5    21    20    19     3    68       16   138   114   170    15   453
 1989     3     6    14    11     0    34        7    17   114    42     0   180
 1990     0     6     5     7     6    24        0    22    30    19    21    92
 1991     5    12    13     7     0    37       14    65    59    17     0   155
 1992     1     5     1     3     0    10        4    15     2     7     0    28
 1993     0     5     1     5     0    11        0     7     4    10     0    21
 1994     0     8     3     2     3    16        0    24     5     7    10    46
 1995     0     8    11    17     0    36        0    40    66    61     0   167
 1996     2    11     4     2     0    19        4    42    18     5     0    69
 1997     0     8    10     3     0    21        0    17    35    10     0    62
 1998     6     6     9     2     5    28       18    21    23     5    18    85
 1999     0     6    20     3     2    31        0    15    99     7     4   125
 2000     0     2     6     4     9    21        0     7    10    14    37    68
 2001     3     9    10     9     0    31        9    36    32    27     0   104
 2002     2    11    21     1     5    40       10    40    72     1    13   136
 2003     0     4     6    12     2    24        0    10    33    62     7   112
 2004     0     3     6     0     0     9        0     7     7     0     0    14
 2005     0     9    13     0     0    22        0    30    51     0     0    81
 **************************************************************************************
MEANS   2.0   7.7  11.4   8.3   2.5  31.8      6.1  32.6  53.6  36.8  10.0 139.1
