# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1833] CORNING
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1833 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     78     33     25     20    255    137    115     94
 1952     98     49     40     33    380    240    212    184
 1953    167     83     66     51    281    149    122    100
 1954    119     44     31     21    524    340    300    263
 1955    162     89     74     61    556    365    327    292
 1956    184     96     80     67    368    237    211    186
 1957    139     64     53     45    367    216    187    163
 1958     71     23     15      8    365    210    179    150
 1959    164     83     69     58    351    211    184    159
 1960     30     13      9      6    407    254    222    191
 1961    120     47     37     28    278    154    132    112
 1962    100     51     42     33    385    239    207    177
 1963    219    126    111     98    462    282    244    207
 1964    128     63     51     39    437    263    228    196
 1965     26      5      4      3    326    192    166    143
 1966    249    146    125    106    299    182    156    132
 1967    234    151    134    117    403    247    214    184
 1968    294    187    167    147    387    244    212    181
 1969     82     45     40     35    353    215    187    160
 1970     95     38     29     23    383    254    226    199
 1971    112     57     47     37    447    297    267    237
 1972    190    107     91     76    338    209    181    158
 1973    169     66     51     38    294    167    142    119
 1974    211    118    100     83    402    266    235    204
 1975     80     42     35     29    308    181    156    134
 1976    171    100     84     68    451    290    254    220
 1977    231    132    111     93    505    337    300    267
 1978    115     68     58     48    326    197    172    149
 1979    112     48     37     27    310    179    151    128
 1980     91     41     33     26    372    239    213    187
 1981    237    132    112     93    490    341    308    275
 1982    128     57     45     34    315    202    179    157
 1983    144     83     72     61    212    114     96     81
 1984     65     14      8      5    273    138    113     90
 1985    232    131    109     89    485    322    285    251
 1986    259    160    139    119    430    280    248    217
 1987    220    128    109     91    427    277    248    221
 1988    227    141    122    104    367    238    209    181
 1989    189    122    107     93    448    297    263    230
 1990    195     99     82     67    350    208    177    149
 1991    235    140    119     99    402    245    213    183
 1992    253    130    109     89    299    169    145    126
 1993    102     50     41     33    260    153    132    114
 1994    226    130    113     97    376    245    219    194
 1995    206    124    107     91    267    158    134    112
 1996    131     60     47     38    312    193    169    147
 1997    202    103     83     67    265    155    132    111
 1998    112     63     54     46    332    189    161    135
