# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8568] VINTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia8568 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     24      3      2      1    255    137    115     95
 1952     89     44     36     30    397    258    229    203
 1953    145     69     53     40    242    118     95     77
 1954     86     33     25     19    478    302    265    230
 1955    139     69     55     43    521    349    310    273
 1956     89     39     29     21    316    194    167    142
 1957    122     49     36     25    400    248    217    189
 1958     77     26     16      9    369    221    189    158
 1959     92     42     34     27    355    209    182    156
 1960     16      1      0      0    406    258    227    200
 1961     74     34     27     22    225    110     90     72
 1962     60     29     26     23    331    197    171    149
 1963    185    117    104     91    418    260    224    189
 1964     91     40     29     20    365    220    190    163
 1965     10      2      1      0    283    154    128    105
 1966    197     96     76     60    247    127    106     85
 1967    178    106     92     80    357    208    176    145
 1968    260    156    136    119    406    257    225    194
 1969     67     33     26     20    370    218    185    154
 1970     55     11      7      5    390    253    223    194
 1971     80     45     38     32    409    269    238    208
 1972    107     49     41     34    309    171    144    120
 1973    222     99     77     59    323    188    162    138
 1974    137     57     44     34    438    272    237    207
 1975     44      7      3      2    270    149    128    109
 1976    170     89     76     65    442    287    251    216
 1977    241    132    113     95    533    366    328    296
 1978     95     49     40     32    340    208    179    153
 1979     69     29     21     14    266    148    125    104
 1980     92     35     25     18    373    238    209    184
 1981    208    101     83     68    480    309    273    238
 1982    102     37     26     19    300    188    165    142
 1983    132     64     52     41    263    142    122    106
 1984     31      3      1      0    300    158    128    102
 1985    166     74     58     44    483    331    299    268
 1986    205    122    105     91    466    304    269    234
 1987    182     92     77     64    482    321    288    259
 1988    176     86     68     55    353    222    195    169
 1989    134     74     63     53    347    194    164    137
 1990    204    101     82     66    379    233    201    171
 1991    184     98     82     67    407    252    219    187
 1992    180     85     68     53    309    175    153    131
 1993     54     21     15      9    268    136    112     92
 1994    160     78     65     55    405    270    239    209
 1995    189    105     87     71    266    142    116     93
 1996    111     48     37     29    326    200    173    151
 1997    159     79     64     51    296    178    154    131
 1998    148     89     79     69    365    207    175    148
 1999    150     72     57     44    358    206    175    145
 2000    268    156    131    110    402    255    224    197
 2001     36      6      2      1    492    318    281    247
 2002    110     34     22     15    391    245    217    189
 2003    166     88     75     63    421    271    241    215
 2004    200     98     78     60    434    273    239    208
 2005    157     77     63     54    484    314    275    238
     ****************************  ****************************
 MEAN  129.5   63.2   51.4   41.7  369.3  226.1  196.6  169.4
 STDV   63.9   39.0   33.9   29.4   77.6   63.0   58.6   54.3

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    740    515    462    413    782    546    490    436
 1952    603    389    346    304   1002    762    702    643
 1953    630    419    375    334    965    726    667    609
 1954    542    350    308    268    965    727    669    614
 1955    751    529    483    438    819    581    527    476
 1956    694    481    433    390    994    759    701    645
 1957    614    400    355    314    885    648    591    534
 1958    704    496    450    405    784    544    489    438
 1959    725    506    455    406    900    662    605    549
 1960    614    403    354    307    788    553    499    445
 1961    564    368    326    288    880    645    589    538
 1962    820    583    527    474    876    637    580    524
 1963    627    417    371    329    966    726    667    611
 1964    799    561    506    457    894    661    604    548
 1965    746    532    482    435    847    610    553    497
 1966    527    347    310    277    873    641    584    528
 1967    524    339    299    262    908    671    614    557
 1968    536    345    305    267    910    672    613    559
 1969    669    455    409    365    750    524    472    423
 1970    745    524    475    427    880    643    586    531
 1971    546    363    325    288   1009    769    709    649
 1972    699    480    430    382    853    622    568    515
 1973    574    365    320    280    912    672    613    558
 1974    580    373    328    286    788    555    503    453
 1975    738    520    471    425    863    627    571    519
 1976    622    423    380    339    885    647    590    535
 1977    843    611    556    506    887    653    596    542
 1978    644    433    385    339    894    662    610    558
 1979    647    454    412    372    907    670    613    558
 1980    700    487    442    399    880    640    584    532
 1981    599    402    359    319    877    637    578    522
 1982    728    498    445    393    719    500    455    411
 1983    538    332    287    246    925    692    637    585
 1984    555    360    319    283    949    710    651    592
 1985    712    493    446    404    776    551    500    454
 1986    680    456    405    356    917    677    619    562
 1987    792    568    521    475    970    733    674    616
 1988    768    544    496    452    947    714    659    606
 1989    605    414    372    332    845    609    552    499
 1990    553    346    303    262    889    653    596    541
 1991    785    561    510    460   1001    761    701    642
 1992    650    451    409    368    854    620    563    507
 1993    642    426    377    331    811    579    522    467
 1994    637    434    391    350    913    676    618    563
 1995    558    345    303    263    913    673    614    555
 1996    532    330    289    250    880    642    584    527
 1997    502    321    282    246    904    665    607    550
 1998    807    563    508    456    823    593    539    485
 1999    683    454    405    358    883    646    588    533
 2000    726    507    453    401    830    594    538    483
 2001    674    445    397    351    855    620    565    511
 2002    591    401    361    321    935    696    638    580
 2003    592    381    339    300    827    588    531    479
 2004    704    482    432    384    837    600    544    490
 2005    591    386    342    301    994    754    694    634
     ****************************  ****************************
 MEAN  654.0  443.1  396.9  353.4  884.0  648.0  591.4  536.7
 STDV   88.9   76.9   73.1   69.3   66.3   63.8   61.9   59.7

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    978    731    670    611    923    676    615    556
 1952   1063    815    754    695    931    688    629    575
 1953   1053    805    743    683    960    714    657    601
 1954   1078    830    768    706    967    719    657    596
 1955   1147    899    837    775   1066    818    756    695
 1956    999    751    689    627   1002    755    696    638
 1957   1117    869    807    745   1014    766    704    644
 1958    955    707    645    583    987    743    683    625
 1959    959    711    650    589   1081    833    771    709
 1960    971    723    663    604   1006    758    697    636
 1961   1003    755    693    631   1002    754    692    632
 1962    957    709    650    591    966    718    657    598
 1963   1024    776    714    652    935    688    628    569
 1964   1076    828    766    704    889    649    593    538
 1965    991    743    681    620    907    660    600    542
 1966   1070    822    760    698    906    659    600    543
