# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4894] LOGAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   8  12  14  11  13   8   8   7   8   1   8 102
1952     5   5   9   5   9  11   8  15   2   0   4   4  77
1953     6   7   9  12  12   8   4   7   3   4   2   4  78
1954     3   5   9   9   9  12   6  16   7  12   1   1  90
1955     5   4   5   7   8  17   9   4   8   3   4   3  77
1956     9   6   3   8   8   9  14  12   3   6   6   2  86
1957     4   1   8   9  11  11  10  12  11   9  10   5 101
1958     5   4   6  10   6   9  14  10   6   0   4   1  75
1959     6   7  10   8  16   9   4  10  10  11   9   5 105
1960     8   8  14   7  12  11   8  11   7   1   1   3  91
1961     3   4   7   6   7   7   7   8  10   2   4   6  71
1962     2   8   7   3   8   7   9   7   8   7   4   4  74
1963     7   4   6   4   5   9   6   5   2   1   1   3  53
1964     4   2   5   8   6  10   4   7  10   2   3   5  66
1965     5   5   7   8  10   8  11   7  14   2   2   2  81
1966     4   2   4   7   5   8   7   7   8   3   1   4  60
1967     4   0   3   7   6  16   4   5   5   7   4   7  68
1968     2   2   4  11  12   9  10  12   8  10   7   8  95
1969     9   6   4   7  14   8  11   6   3  12   2   5  87
1970     3   1   8   7   9   7  11   5  11  11   7   2  82
1971     3   5   4   5  11  13   9   8   5   6   7   6  82
1972     2   5   5  10  19   6  11   9  11   7   9   5  99
1973     5   4  14   9  12   7  13   7  13   5   8   7 104
1974     6   2   6   8  16   9   6  12   6   8   7   5  91
1975    10   5   7  12  11  14   4   9   8   0  11   4  95
1976     2   4   8  11   5   6   7   5   5   4   1   4  62
1977     6   5  10   8  10   4   6  13   8   8   6   9  93
1978     4   6   4  15  12   4  10   8   8   5   8   9  93
1979     6   4  10   8   7   9   9   6   5   0   6   1  71
1980     4   5   7   4   7   9   9  11   1   4   1   4  66
1981     2   4   4   8   5   9  10   6   4   7   5   7  71
1982     6   6  12   9  19   7   5   9   9   8   4   5  99
1983     7   4   9   7  10   9   6   2   6   6   8   7  81
1984     3   5  12  15  16  15   7   6   8  16   5   9 117
1985     3   4   7  10  12  12   7  10  13   9  11   6 104
1986     0   7   6  13  16  11  10  11  16   9   5   3 107
1987     1   3  10   6  12   5  10  11   9   6   5   4  82
1988     3   0   0   0   9   4   7   5   8   1   8   4  49
1989     6   6   3   6   6   8   7   8   6   4   0   5  65
1990     1   3  12   6  12  12  14   7   6   6   3   6  88
1991     4   3  12  12  11  10   7   7   7   8   7   5  93
1992     9   6   8  11   8   6  14   6  11   3   7   8  97
1993     9   8   7  11  17  15  17  17   9   4   6   4 124
1994     4   4   2   7   6  10  10   9   6   5   6   3  72
1995     3   5  11  15  15  11   7   9   9   9   7   5 106
1996     7   2   4   4  22   8   8   9   8   3  14   6  95
1997     6   8   6  12  10   4   8   9   7   5   5   7  87
1998     5   9  12  11  10  16  11  11   4  10   5   4 108
1999     6   8   4  14  12  10   9   6   4   2   4   7  86
2000     4   7   6  10  13  13   9   7   5   8   5  12  99
2001    10   7   4   7  18   8   7   7   9   4   3   5  89
2002    12   5   8  13  13   7  10  10   8  14   8   2 110
2003    10   7  10  14  18  12  10   5   7   6   9  10 118
2004     9  10  16   6  16  16  16   8   8  10   9   5 129
2005    13  10  10  13  12  17  10   0   0   0   0   0  85
STDDEV   3   2   3   3   4   3   3   3   3   4   3   2  17
AVG      5   5   7   9  11  10   9   8   7   6   5   5  88
