# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3632] HARLAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3632 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     59     26     21     16    247    127    107     90
 1952     93     47     39     33    383    245    218    191
 1953    179     93     74     56    269    147    122     98
 1954     97     31     21     15    481    314    279    246
 1955    150     83     69     57    550    369    334    301
 1956    179     90     72     58    354    229    204    181
 1957    145     61     48     38    383    240    211    187
 1958     81     30     20     12    375    220    189    159
 1959    140     66     52     39    373    234    206    182
 1960     21      4      2      1    422    270    237    207
 1961    123     48     36     28    285    162    139    118
 1962     87     39     33     28    383    243    211    182
 1963    195    115    102     91    452    292    259    228
 1964    106     45     36     27    387    230    201    175
 1965     17      5      4      3    370    232    205    180
 1966    241    146    123    101    259    145    121    100
 1967    238    152    135    118    422    266    233    201
 1968    316    206    183    161    417    272    239    209
 1969     57     19     13      9    407    258    227    196
 1970     69     18     11      6    411    278    250    222
 1971    117     63     53     44    421    280    249    218
 1972    173     88     73     59    374    229    201    175
 1973    171     63     47     33    347    213    184    160
 1974    200    105     86     71    438    286    252    221
 1975     49     14     10      6    307    170    142    117
 1976    168     96     82     69    464    297    262    228
 1977    250    139    115     95    541    369    330    294
 1978    130     79     68     59    336    192    164    138
 1979     94     37     28     22    307    182    157    135
 1980    111     49     37     28    399    262    234    206
 1981    241    132    112     92    531    351    312    278
 1982    122     47     33     24    337    206    180    158
 1983    134     72     60     48    214    119    102     86
 1984     41      3      2      1    269    136    113     90
 1985    222    120     97     77    488    322    288    256
 1986    253    153    134    120    444    280    246    213
 1987    225    129    111     94    487    328    294    262
 1988    248    152    132    112    396    264    233    204
 1989    183    111     97     83    484    325    290    255
 1990    202    108     90     75    401    253    220    191
 1991    235    137    114     93    410    247    215    184
 1992    235    123    103     84    329    199    176    155
 1993     93     47     40     35    280    164    140    120
 1994    219    129    110     94    416    282    254    227
 1995    209    114     95     78    296    167    141    117
 1996    128     60     47     37    380    246    217    189
 1997    205    114     95     77    303    179    155    132
 1998    116     66     58     51    376    231    197    167
 1999    151     78     61     47    311    169    145    121
 2000    252    141    119     98    351    227    203    180
 2001     61     23     16     11    440    293    260    230
 2002     83     33     25     18    361    225    198    174
 2003    186    110     96     82    410    273    246    223
 2004    201    108     87     68    412    265    236    207
 2005    176     90     72     57    449    289    251    214
     ****************************  ****************************
 MEAN  154.1   81.0   67.3   55.3  384.3  241.7  212.3  185.1
 STDV   70.2   47.1   41.7   36.4   75.0   60.2   56.1   52.1

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    692    474    422    374    765    531    474    419
 1952    638    431    385    340   1011    772    713    656
 1953    659    450    404    362   1005    766    708    650
 1954    569    383    344    306    967    728    670    614
 1955    768    534    484    438    818    583    530    479
 1956    731    511    463    418   1004    769    711    653
 1957    634    417    371    329    868    631    573    516
 1958    743    525    476    429    827    591    535    482
 1959    708    482    431    381    941    701    641    583
 1960    672    461    412    367    853    614    555    498
 1961    597    394    349    307    857    621    566    514
 1962    869    629    573    519    886    646    588    533
 1963    669    449    399    352    977    737    677    619
 1964    804    572    518    470    864    634    579    526
 1965    778    555    503    452    894    655    596    540
 1966    597    412    373    337    867    636    581    526
 1967    549    365    325    288    865    629    574    519
 1968    519    340    303    269    912    673    616    561
 1969    677    472    425    380    764    548    499    451
 1970    779    562    511    463    901    663    606    550
 1971    570    379    337    299    996    756    697    638
 1972    661    441    394    350    880    644    589    536
 1973    594    389    344    302    928    688    628    569
 1974    635    420    376    332    831    596    542    490
 1975    736    517    469    423    889    651    593    537
 1976    594    397    356    316    888    649    591    535
 1977    864    620    562    506    943    703    645    587
 1978    624    420    373    329    914    678    622    567
 1979    643    441    395    353    899    663    606    550
 1980    670    463    418    379    925    686    627    568
 1981    607    401    357    315    944    704    644    585
 1982    693    462    407    354    787    552    497    444
 1983    523    328    290    255    885    652    596    541
 1984    572    364    320    278    949    710    651    592
 1985    745    504    451    399    818    581    524    469
 1986    692    454    403    358    985    745    685    625
 1987    795    557    504    453    989    750    691    632
 1988    844    604    550    501   1011    774    715    658
 1989    701    495    447    402    856    618    561    506
 1990    575    369    323    279    963    726    667    608
 1991    811    586    533    482    977    737    677    617
 1992    664    459    413    369    862    623    566    510
 1993    643    420    373    329    861    623    565    510
 1994    721    507    460    416    963    724    665    606
 1995    561    348    305    264    898    660    604    549
 1996    594    377    329    284    945    708    650    594
 1997    571    376    337    299    961    721    661    603
 1998    825    586    530    478    866    633    578    524
 1999    618    399    353    309    838    599    542    487
 2000    732    504    456    410    839    599    543    490
 2001    656    431    381    337    843    609    552    498
 2002    545    367    328    291    977    737    677    617
 2003    546    339    299    262    821    581    524    470
 2004    668    452    403    358    799    561    505    452
 2005    624    417    374    333    945    705    645    585
     ****************************  ****************************
 MEAN  668.5  454.7  407.7  363.4  900.4  663.2  605.8  549.8
 STDV   90.5   77.6   73.3   69.3   65.9   64.1   62.7   60.7

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    991    743    682    621    979    731    669    608
 1952   1039    791    729    669    947    699    637    576
 1953   1066    818    757    697   1015    767    705    644
 1954   1124    876    814    752   1033    785    723    661
 1955   1156    908    846    784   1089    841    779    718
 1956   1019    771    709    647   1015    768    708    650
 1957   1140    892    830    768   1042    794    733    672
 1958    963    715    653    591   1012    765    705    645
 1959   1012    764    702    642   1110    862    800    738
 1960   1007    759    697    635   1022    774    712    650
 1961   1023    775    713    651    994    746    684    622
 1962   1005    758    697    637    990    743    682    623
 1963   1070    822    760    698    981    733    671    612
 1964   1082    834    772    710    871    631    574    519
 1965   1015    767    705    643    939    691    631    572
 1966   1098    850    788    726    890    644    585    530
 1967    944    701    643    587    903    669    614    561
 1968   1021    775    714    654    987    740    680    624
 1969   1054    806    744    682   1004    756    694    632
 1970   1006    761    701    643    998    750    690    631
 1971    951    708    648    589    963    718    659    602
 1972    989    745    686    627    945    697    636    577
 1973   1023    775    713    651   1033    785    723    661
 1974   1080    832    771    710    873    625    564    508
 1975   1045    797    736    675   1055    807    745    684
 1976   1054    806    744    683    985    738    678    619
 1977   1090    842    780    718    914    666    604    545
 1978   1030    782    720    658    972    725    666    608
 1979   1019    771    709    647    970    722    660    598
 1980   1109    861    799    737   1056    808    746    684
 1981   1052    804    742    680    946    698    638    579
 1982   1079    831    769    707    953    705    643    583
 1983   1109    861    799    737   1147    899    837    775
 1984   1019    771    709    647   1030    782    721    661
 1985   1012    764    702    640    894    646    584    525
 1986   1094    846    784    722    886    642    582    523
 1987   1100    852    790    728    933    685    624    563
 1988   1052    804    742    680   1056    812    753    695
 1989   1061    813    751    689    990    744    683    624
 1990    995    747    685    624   1004    756    695    635
 1991   1028    780    718    656    992    744    682    620
 1992    910    662    600    539    828    585    527    471
 1993   1041    793    731    669   1020    772    710    650
 1994    973    725    663    602    952    704    644    586
 1995   1049    802    741    680   1111    863    801    739
 1996    992    744    683    622    982    734    672    610
 1997   1063    815    753    692    964    716    654    594
 1998   1096    848    786    724   1066    818    756    694
 1999   1073    825    763    701    911    663    601    541
 2000    998    750    688    628   1030    782    720    658
 2001   1088    840    778    716    984    736    674    612
 2002   1077    829    767    705    954    707    646    587
 2003   1011    763    701    639   1016    768    706    644
 2004    929    681    620    560    816    577    525    476
 2005   1043    795    733    672      0      0      0      0
     ****************************  ****************************
 MEAN 1039.4  791.8  730.2  668.9  964.6  722.1  662.5  604.0
 STDV   51.9   51.4   51.1   50.5  148.7  119.3  112.0  104.5

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    623    412    366    321    438    278    246    215
 1952    773    555    505    458    378    253    224    196
 1953    776    572    526    481    601    418    378    342
 1954    821    594    543    493    418    250    217    186
 1955    804    587    537    489    509    344    307    273
 1956    729    519    474    431    636    431    388    349
 1957    646    426    381    342    391    222    186    153
 1958    783    560    509    461    545    370    329    290
 1959    700    490    443    398    352    203    172    145
 1960    754    536    486    440    484    329    294    261
 1961    656    450    402    360    490    320    284    250
 1962    660    457    412    372    530    346    306    269
 1963    773    546    491    440    667    452    408    368
 1964    698    488    439    391    415    270    237    207
 1965    591    386    341    300    488    321    284    248
 1966    632    426    380    338    462    305    270    237
 1967    641    433    387    346    384    228    199    175
 1968    689    474    426    382    491    321    283    249
 1969    755    532    481    435    353    212    184    158
 1970    721    506    456    408    377    231    200    173
 1971    762    548    500    455    532    347    307    269
 1972    715    496    443    397    331    187    160    137
 1973    682    452    401    352    526    345    306    268
 1974    584    386    344    306    465    287    250    214
 1975    592    388    344    302    531    364    327    291
 1976    722    505    457    411    312    190    167    146
 1977    753    521    467    417    370    206    172    143
 1978    832    601    547    497    395    243    210    179
 1979    749    527    479    435    414    257    224    194
 1980    771    551    501    453    367    228    203    179
 1981    735    515    463    414    368    200    169    140
 1982    700    477    424    373    437    266    233    203
 1983    787    572    521    471    405    228    194    164
 1984    665    456    407    362    440    258    216    177
 1985    683    476    427    381    398    226    192    159
 1986    804    572    516    460    423    244    208    173
 1987    716    484    432    385    328    188    157    130
 1988    779    556    505    456    349    207    176    147
 1989    669    469    423    379    469    307    272    238
 1990    827    604    553    504    444    289    255    224
 1991    737    531    483    436    445    286    254    228
 1992    709    500    451    402    418    257    228    201
 1993    592    379    334    292    388    235    203    173
 1994    774    555    505    455    499    313    272    233
 1995    687    485    438    394    415    258    224    193
 1996    658    442    396    352    484    309    271    236
 1997    791    560    509    461    496    337    302    269
 1998    915    678    620    566    480    295    256    220
 1999    645    450    410    372    431    287    258    229
 2000    742    540    494    450    526    332    293    257
 2001    677    461    409    361    405    252    219    188
 2002    745    524    475    430    291    175    152    132
