# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2364] DUBUQUE-LOCK-AND-DAM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2364
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1     2     0     0     3        0     2     3     0     0     5
 1952     1    11    13     1     2    28        2    35    49     1     6    93
 1953     2     6     7     8     4    27        7    21    15    44    27   114
 1954     0     9     9     3     3    24        0    30    31     7    14    82
 1955     0     1    23    16     5    45        0     2   127    86    22   237
 1956     1    10     5     3     0    19        1    44    14    21     0    80
 1957     0     3    11     6     0    20        0     9    37    20     0    66
 1958     0     1     0     9     0    10        0     1     0    29     0    30
 1959     2     5     3    14     3    27        2    11     7    46    13    79
 1960     0     0     8     6     8    22        0     0    29    10    49    88
 1961     0     5     2     5     4    16        0    17     5    12     8    42
 1962     3     1     1     2     1     8        5     3     1     8     2    19
 1963     1    12    11     5     0    29        1    59    33    18     0   111
 1964     2     8    16     3     4    33        4    30    73    18     9   134
 1965     0     2     5     7     1    15        0     6    31    24     1    62
 1966     0     6    13     7     1    27        0    19    71    14     1   105
 1967     3     2     9     0     0    14        8     6    25     0     0    39
 1968     0     6     6    12     0    24        0    22    16    43     0    81
 1969     1     1     7     6     0    15        2     2    21    12     0    37
 1970     2     4    15     7     1    29        5    18    68    20     2   113
 1971     1    11     3     7     7    29        1    44     6    21    15    87
 1972     5     5     7     9     0    26        8    13    36    44     0   101
 1973     0     5     7     8     1    21        0    18    27    32     2    79
 1974     0     1    13     3     0    17        0     2    66     5     0    73
 1975     4     9    14     8     0    35       11    20    42    28     0   101
 1976     0     7    16     6     2    31        0    23    64    22     2   111
 1977     4     5    13     1     0    23        9    12    76     2     0    99
 1978     2     5     7     8     8    30        7    13    14    27    43   104
 1979     0     0     3     4     0     7        0     0     6    14     0    20
 1980     4     6    14    10     1    35       10    19    59    42     4   134
 1981     0     6    12     1     1    20        0    11    54     2     1    68
 1982     0     0    11     8     1    20        0     0    39    25     1    65
 1983     0    11    18    22     6    57        0    43    96   128    31   298
 1984     0     3    10    17     8    38        0     8    41    94    37   180
 1985     1     4    13     9     7    34        6    19    59    24    35   143
 1986     1     6    15     0     2    24        2    25    72     0     4   103
 1987     4    14    20    10     0    48       11    56   122    50     0   239
 1988     5    20    21    16     6    68       16   118   172   183    14   503
 1989     1     9    16     5     0    31        2    17   113    28     0   160
 1990     0     6    10     6     6    28        0    19    51    36    32   138
 1991     3    16    15    12     3    49       19    73    93    47     5   237
 1992     6     5     3     5     0    19       10    20    10    18     0    58
 1993     0     3     6    10     0    19        0     6    19    34     0    59
 1994     3     8     6     4     5    26        4    48    24     6    14    96
 1995     0    13    13    22     2    50        0    57    86   107     4   254
 1996     3     6     3     4     3    19       11    34    16    16     4    81
 1997     0     7     9     2     1    19        0    30    40     4     1    75
 1998     4     7    10     6     6    33       21    39    28    19    18   125
 1999     1     9    19     2     4    35        1    35   105     5    15   161
 2000     0     4     4     8     5    21        0    15    10    16    37    78
 2001     2    11    21    12     1    47       10    60   117    73     2   262
 2002     1    11    19     5     5    41        2    40    99    24    17   182
 2003     0     4    10    14     3    31        0    16    29    77     7   129
 2004     0     5     3     1     2    11        0    14    13     1     3    31
 2005     0    14    17     0     0    31        0    71    94     0     0   165
 **************************************************************************************
MEANS   1.3   6.4  10.3   7.0   2.4  27.4      3.6  25.0  48.3  30.7   9.1 116.7
