# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7161] ROCKWELL-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7161
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    14     6     0    20        0     0    37    16     0    53
 1952     3    15    16     4     9    47       13    93    68    12    29   215
 1953     3    14    13    13     5    48        8    66    59    73    32   238
 1954     0    13    22     5     6    46        0    52   141    14    18   225
 1955     5     2    23    22     9    61        8    10   180   206    58   462
 1956     5    20    12    16     8    61       15   153    65    91    32   356
 1957     0     4    20    12     1    37        0    15   119    51     2   187
 1958     2     4     3    18     4    31        5    19     5    99     6   134
 1959     2    13    12    21     5    53        5    49    44   145    24   267
 1960     0     3    12     9     7    31        0     6    52    38    48   144
 1961     0     9     9    11     4    33        0    35    34    33    10   112
 1962     4     5     8     9     1    27        6    15    25    23     3    72
 1963     2    16    16     8     2    44        7    92    59    31     3   192
 1964     7    11    22     5     4    49       21    35   147    27    10   240
 1965     5     6    16    14     0    41        8     9    78    74     0   169
 1966     2     8    20     9     1    40        4    23   122    29     1   179
 1967     6     1    11     5     0    23       49     4    42     6     0   101
 1968     1    14     8    12     0    35        4    64    32    72     0   172
 1969     3     3    13    11     0    30       15    16    61    35     0   127
 1970     7    12    20    12     9    60       14    65   101    40    33   253
 1971     4    23    11    16     9    63        5   143    53    75    40   316
 1972     4     8    10    13     3    38        9    39    37    77     8   170
 1973     1    14    12    11     0    38        1    59    43    29     0   132
 1974     0     8    26     3     0    37        0    43   183    10     0   236
 1975     5     6    21    16     4    52       15    16    99    75    12   217
 1976     2     8    18    17     7    52        3    21    96    96    25   241
 1977     4     8    17     5     1    35       10    62   142    12     4   230
 1978     2    11    10     8    11    42        5    36    46    29    49   165
 1979     3    12     8     9     3    35        8    29    28    39     7   111
 1980     3     7    21    12     6    49        5    45   123    40    23   236
 1981     0    10    11     1     5    27        0    52    53     2    11   118
 1982     0     3     9     4     1    17        0     4    40    21     1    66
 1983     2     7    21    22     7    59        2    25    91   146    33   297
 1984     0     5    13    17     6    41        0    15    48   100    28   191
 1985     0     9    13     7     7    36        0    46    60    33    27   166
 1986     0     8    15     2     2    27        0    30    66     4     2   102
 1987     8    18    18     5     1    50       27    96    97    21     1   242
 1988     7    19    14    17     5    62       20   137    94   158     7   416
 1989     2     5    13     6     1    27        4    15    84    31     1   135
 1990     1     9     5     9     5    29        1    36    36    24    17   114
 1991     4    11    11    10     1    37       11    47    58    20     1   137
 1992     1     4     2     2     0     9        3     6     6     2     0    17
 1993     0     4     2     3     1    10        0     4     4     6     1    15
 1994     3     8     6     5     3    25        5    24    10    10    10    59
 1995     0    10    11    18     1    40        0    37    81    85     3   206
 1996     3     8     5     2     0    18        9    38    15     6     0    68
 1997     0     7    14     9     4    34        0    25    55    29    15   124
 1998     3     4     8     8     8    31        8    17    20    20    36   101
 1999     0     7    18     2     4    31        0    15    82     6    11   114
 2000     2     4     5     6     9    26        5    16    15    30    63   129
 2001     2     8    12    10     0    32        9    27    26    43     0   105
 2002     1    13    19     3     5    41        6    50    91    12    19   178
 2003     0     2     6    11     2    21        0     7    24    61     3    95
 2004     0     2     3     1     2     8        0     4     5     2     5    16
 2005     0     7    10     0     0    17        0    19    34     0     0    53
 **************************************************************************************
MEANS   2.3   8.5  12.9   9.3   3.6  36.6      6.4  38.3  63.9  44.9  14.0 167.6
