# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3290] GLENWOOD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3290 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     95     50     42     36    279    156    131    110
 1952    111     57     47     39    387    242    214    188
 1953    219    118     98     81    318    181    155    132
 1954    121     49     37     26    521    334    294    256
 1955    217    131    113     96    597    420    383    348
 1956    217    120    103     86    417    281    251    225
 1957    135     62     51     42    398    250    220    194
 1958     85     30     22     14    419    258    225    195
 1959    162     81     65     56    372    229    199    173
 1960     23      7      4      2    453    303    269    238
 1961    149     64     49     38    325    191    165    141
 1962    109     54     44     36    416    265    232    202
 1963    257    146    129    114    480    310    272    238
 1964    148     74     61     50    427    260    228    200
 1965     32      7      6      5    425    276    246    218
 1966    285    170    148    126    305    172    145    121
 1967    302    201    180    160    476    301    265    230
 1968    375    243    215    189    492    306    269    235
 1969    107     58     50     42    432    275    243    212
 1970    110     44     34     26    493    334    301    270
 1971    157     91     78     66    514    333    295    261
 1972    277    162    140    121    435    282    250    219
 1973    230    100     74     53    416    262    231    203
 1974    280    165    144    126    509    349    313    278
 1975    115     59     48     39    386    240    207    176
 1976    229    133    116    100    539    359    322    287
 1977    320    195    167    143    591    406    364    324
 1978    166    107     94     81    393    246    217    191
 1979    172     81     66     53    360    224    194    166
 1980    147     76     61     51    430    286    255    225
 1981    292    172    149    128    622    430    389    350
 1982    177     85     68     53    399    259    230    203
 1983    165     91     77     63    267    152    132    114
 1984     66     14      8      4    323    174    148    126
 1985    257    151    128    106    505    334    296    262
 1986    276    176    153    133    455    297    265    233
 1987    228    134    116     99    462    308    276    245
 1988    259    170    151    132    390    253    223    195
 1989    209    133    119    105    478    329    296    263
 1990    216    114     97     81    409    261    230    200
 1991    272    169    146    124    464    296    262    230
 1992    271    150    129    108    332    200    175    154
 1993    123     55     44     37    286    169    146    125
 1994    258    152    133    115    429    288    260    233
 1995    220    134    115     98    303    183    159    137
 1996    158     84     70     57    351    225    199    175
 1997    228    132    110     90    295    181    158    135
 1998    119     62     52     45    371    223    193    167
 1999    196    113     95     77    362    203    175    150
 2000    279    158    134    111    408    266    238    212
 2001     97     42     31     23    482    319    285    252
 2002    145     76     63     50    424    273    243    215
 2003    234    143    128    113    461    314    282    253
 2004    254    150    126    103    468    306    273    242
 2005    225    127    108     89    490    324    288    252
     ****************************  ****************************
 MEAN  192.3  107.7   91.6   77.1  422.6  270.9  239.6  210.5
 STDV   77.1   53.4   48.1   42.7   80.7   64.4   60.2   55.7

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    703    487    435    383    793    558    502    448
 1952    667    454    407    363   1062    824    765    706
 1953    670    466    421    378   1035    797    739    681
 1954    580    377    333    293   1040    802    743    684
 1955    789    558    507    459    873    635    578    525
 1956    800    577    527    478   1027    793    735    677
 1957    631    412    364    320    907    669    612    555
 1958    756    539    488    440    846    608    553    499
 1959    719    491    437    387    956    716    657    599
 1960    658    450    403    361    864    624    566    509
 1961    626    408    361    317    896    657    598    541
 1962    903    656    597    539    915    675    616    559
 1963    711    490    436    386   1018    778    718    658
 1964    840    600    544    493    932    696    639    583
 1965    816    581    527    474    899    659    599    539
 1966    658    460    418    379    897    657    599    543
 1967    601    401    360    319    879    641    583    528
 1968    588    382    339    298    966    727    669    612
 1969    758    531    481    432    830    597    543    490
 1970    863    631    575    519    962    722    662    603
 1971    639    424    375    331   1053    813    753    693
 1972    713    489    438    390    944    707    651    595
 1973    672    462    415    371    967    727    670    615
 1974    735    511    461    415    876    643    588    534
 1975    785    568    519    474    922    687    631    577
 1976    636    442    396    352    932    699    643    587
 1977    902    661    602    545    987    749    690    633
 1978    664    460    415    370    910    681    628    577
 1979    688    488    442    399    913    679    623    570
 1980    731    517    472    432    947    707    649    593
 1981    656    450    406    363    982    742    683    625
 1982    752    518    463    410    818    587    533    482
 1983    608    406    364    326    916    688    633    579
 1984    614    405    359    315    990    750    691    632
 1985    755    520    471    428    822    596    543    494
 1986    717    487    436    387   1008    768    708    648
 1987    803    563    509    456   1007    767    708    649
 1988    852    611    557    506   1033    794    735    676
 1989    680    485    442    399    862    625    568    513
 1990    583    376    331    288    965    728    670    612
 1991    818    594    540    489   1017    777    717    657
 1992    700    483    436    391    860    620    562    505
 1993    648    423    375    330    885    646    587    530
 1994    747    529    480    433    969    729    669    609
 1995    526    317    276    239    907    668    611    555
 1996    597    376    327    283    924    690    634    578
 1997    531    350    314    279    959    720    661    602
 1998    811    574    520    466    851    617    561    505
 1999    671    444    398    352    887    651    593    535
 2000    798    569    515    463    899    659    600    542
 2001    721    481    429    382    884    646    588    531
 2002    611    421    377    337   1031    791    731    671
 2003    605    387    342    302    855    615    557    500
 2004    738    521    471    424    842    606    550    496
 2005    680    475    429    385   1000    760    700    640
     ****************************  ****************************
 MEAN  704.1  486.1  437.5  391.5  931.3  693.9  636.3  579.6
 STDV   90.2   79.3   75.4   71.3   68.1   66.8   65.7   64.0

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951   1015    768    707    646   1014    767    706    645
 1952   1059    811    749    689    994    747    686    625
 1953   1076    828    766    704   1048    800    738    677
 1954   1155    907    845    783   1056    808    746    684
 1955   1179    931    869    807   1089    844    783    722
 1956   1052    804    742    680   1062    815    755    696
 1957   1164    916    854    792   1059    811    749    688
 1958    989    741    679    617   1019    772    712    654
 1959    978    730    669    609   1133    885    823    761
 1960   1008    760    699    640   1039    791    729    667
 1961   1068    820    758    696   1021    773    711    649
 1962   1055    807    745    683   1031    783    721    659
 1963   1108    860    798    736   1020    772    710    648
 1964   1126    878    816    754    920    674    615    556
 1965   1065    817    755    693    979    731    670    609
 1966   1112    864    802    740    928    682    622    562
 1967    985    737    677    617    951    708    651    595
 1968   1081    833    771    709   1031    783    721    659
 1969   1128    880    818    756   1063    815    753    691
 1970   1079    831    769    707   1084    836    774    712
 1971   1020    773    712    651   1019    772    711    650
 1972   1060    815    754    694   1003    755    694    634
 1973   1058    810    748    686   1088    840    778    717
 1974   1126    878    816    755    941    697    637    581
 1975   1069    822    761    701   1100    852    790    729
 1976   1062    814    753    693   1008    763    704    645
 1977   1137    889    827    765   1002    754    692    630
 1978   1016    768    707    647   1019    777    717    658
 1979   1040    792    730    668   1008    760    698    637
 1980   1130    882    820    758   1095    847    785    723
 1981   1095    847    785    723    990    742    680    622
 1982   1093    845    783    721    993    745    684    623
 1983   1124    876    814    752   1129    881    819    757
 1984   1067    819    757    695   1059    811    749    688
 1985   1036    788    727    666    901    653    592    532
 1986   1100    852    790    728    883    642    585    528
 1987   1105    857    795    733    947    700    639    579
 1988   1037    789    727    665   1067    828    770    713
 1989   1076    828    766    704   1000    757    697    637
 1990   1025    777    716    656   1014    766    705    644
