# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4894] LOGAN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia4894
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     2    17     7     0    26        0     4    54    36     0    94
 1952     2    16    17     3     5    43        6    99    70     7    11   193
 1953     3    18    19    13     6    59        9    80   110    87    39   325
 1954     0    12    22     7     7    48        0    60   170    29    25   284
 1955     2     4    24    22    11    63        3    11   209   204    76   503
 1956     2    20    16    14     8    60        7   118    62    83    27   297
 1957     0     3    21    11     1    36        0     9   114    48     1   172
 1958     1     6     2    16     6    31        3    29     4    68    12   116
 1959     2    10    10    20     4    46        5    41    33    85    17   181
 1960     0     2    15    10     7    34        0     3    43    27    33   106
 1961     0     8    15    11     4    38        0    28    65    32    13   138
 1962    10     4     9    12     1    36       23     8    35    37     2   105
 1963     2    15    19    14     3    53        7    66    90    52     5   220
 1964     8     5    20     6     5    44       19    18   105    44    11   197
 1965     4     4     8    12     0    28        9    10    38    45     0   102
 1966     7    15    29    12     0    63       33    73   184    44     0   334
 1967     6     4    16    17     1    44       56     8    88    59     2   213
 1968     2    20    18    14     1    55        8   114    85    87     2   296
 1969     5     8    19    15     2    49       15    39    97    58     2   211
 1970    12    18    24    25     9    88       38    93   177   122    52   482
 1971     0    22    16    22    12    72        0   127    76   103    64   370
 1972     5    13    14    12     6    50        9    75    61    99    23   267
 1973     2    16    16    17     0    51        9    85    76    85     0   255
 1974     0     8    27     6     0    41        0    66   261    16     0   343
 1975     4    10    22    23     3    62       17    27   148   146    25   363
 1976     1    10    20    21    13    65        1    49   141   137    53   381
 1977     4    15    26     8     1    54        5   103   225    18     4   355
 1978     4    16    17    16    12    65       12   109   126    68    61   376
 1979     4    14    11    14     4    47       12    62    45    88    11   218
 1980     5    14    25    19     9    72       13    74   242   109    48   486
 1981     0    17    19     9     5    50        0   109   129    33    15   286
 1982     0     3    22     8     2    35        0    15   103    41     3   162
 1983     2     9    25    29    12    77        7    46   181   270    76   580
 1984     1     7    19    24     7    58        1    24   119   200    36   380
 1985     4     9    15     6     7    41        8    58   120    27    40   253
 1986     0    15    25     4     3    47        0    94   153     6     4   257
 1987    10    19    24    12     0    65       42   136   190    76     0   444
 1988     6    19    16    19     7    67       14   149    81   164    26   434
 1989     3     7    20    10     1    41       18    31   108    25     6   188
 1990     1    10    11     9    15    46        1    55    73    50    90   269
 1991     5    13    14    13     9    54       23    54    63    58    27   225
 1992     3     5     3     2     1    14       10    12    10     5     1    38
 1993     1     7     3    13     1    25        4    16     9    43     4    76
 1994     3    11     6     8     3    31       12    43    13    26    14   108
 1995     0    11    18    18     2    49        0    43   112    98     2   255
 1996     2    11     6     3     1    23        9    52    22     7     1    91
 1997     2     9    18     8     4    41        7    45    77    30    14   173
 1998     4    10    15    11    12    52       17    33    67    48    54   219
 1999     0     9    19     8     4    40        0    28   117    18    10   173
 2000     4     9    12    16    10    51       21    46    36    70    74   247
 2001     5     9    19    14     4    51       19    35    90    82    12   238
 2002     1    18    23     5     9    56        5    94   141    29    37   306
 2003     0     6    14    20     4    44        0    19    79   128     9   235
 2004     3     3     6     3     8    23        9    10    23    11    25    78
 2005     1    12    19     0     0    32        2    54   106     0     0   162
 **************************************************************************************
MEANS   2.9  10.7  16.8  12.6   4.9  47.9     10.0  54.3  99.2  66.7  21.8 252.0
