# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5198] MARSHALLTOWN
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5198 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     24      4      3      2    247    136    113     94
 1952     76     38     32     26    381    245    217    192
 1953    144     73     56     43    215     97     78     62
 1954     71     19     14     10    464    296    262    229
 1955    132     71     59     48    501    325    288    254
 1956    112     52     41     31    316    197    172    148
 1957    122     53     42     32    356    219    193    170
 1958     75     27     17     11    337    196    166    138
 1959     96     42     35     30    332    192    164    142
 1960     21      4      2      0    396    250    220    192
 1961     81     32     25     19    221    115     96     78
 1962     60     28     24     21    321    189    165    143
 1963    177    111     99     88    387    237    201    170
 1964     79     35     27     20    354    219    191    166
 1965     11      0      0      0    280    158    133    112
 1966    209    115     95     77    263    144    122    101
 1967    209    129    114    100    377    229    196    166
 1968    290    183    163    144    410    254    221    190
 1969     39     15     11      7    378    225    191    160
 1970     49      9      6      4    390    253    224    196
 1971     78     40     34     28    382    243    214    187
 1972    114     57     47     40    306    172    145    121
 1973    186     76     58     45    295    166    142    119
 1974    122     50     39     30    396    245    212    182
 1975     38      8      5      3    228    119    101     86
 1976    147     78     65     56    418    256    221    190
 1977    221    114     94     78    499    335    299    266
 1978     81     40     33     26    294    167    142    119
 1979     68     28     22     17    252    140    118     98
 1980     82     31     23     18    351    214    190    168
 1981    191     96     78     63    424    270    237    206
 1982     72     24     17     12    269    157    135    114
 1983    127     67     57     48    185    101     88     75
 1984     30      3      0      0    274    147    121     97
 1985    176     86     68     53    458    303    271    242
 1986    170    101     89     78    405    254    224    194
 1987    187    101     85     70    419    279    252    228
 1988    175     95     78     64    330    207    178    152
 1989    153     83     71     59    392    254    223    196
 1990    193     99     81     66    348    212    182    155
 1991    172     93     79     65    381    221    191    163
 1992    167     81     65     50    282    160    138    117
 1993     54     19     13      9    248    127    106     86
 1994    154     79     65     54    351    225    200    175
 1995    175     92     75     61    242    129    106     85
 1996    110     48     38     29    310    189    164    141
 1997    168     82     67     53    289    170    147    125
 1998    123     67     59     51    333    190    161    135
 1999    138     64     52     41    323    183    156    132
 2000    244    142    121    104    328    208    184    161
 2001     30      4      2      1    428    272    239    210
 2002    101     38     26     17    332    200    173    149
 2003    157     90     78     67    389    260    232    206
 2004    192    101     84     67    388    243    211    183
 2005    130     61     52     44    457    292    254    219
     ****************************  ****************************
 MEAN  123.7   61.4   50.6   41.5  344.2  208.8  181.3  156.1
 STDV   63.2   40.1   35.1   30.6   73.3   57.1   52.6   48.5

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    726    500    446    397    776    540    484    428
 1952    603    390    344    301   1003    764    705    646
 1953    621    411    367    324    948    709    651    593
 1954    522    342    302    263    969    733    675    619
 1955    710    486    438    394    811    577    524    474
 1956    685    470    425    383    977    741    684    628
 1957    589    380    337    297    867    629    572    515
 1958    682    475    428    385    770    532    477    424
 1959    708    485    433    384    930    690    632    576
 1960    637    425    374    326    814    578    520    465
 1961    566    371    329    292    867    632    578    528
 1962    798    565    511    459    854    618    563    508
 1963    609    400    353    311    953    713    655    599
 1964    793    556    502    452    877    642    585    529
 1965    752    532    480    431    842    604    547    491
 1966    534    354    319    287    872    635    578    522
 1967    518    334    294    259    877    637    577    519
 1968    507    311    273    237    907    669    613    559
 1969    688    468    418    372    761    533    478    427
 1970    780    554    501    452    920    681    623    566
 1971    550    357    316    280   1029    789    729    669
