# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6316] OSCEOLA-3-WSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   7  13  15  10  17   9  10   7  11   3   8 113
1952     6   6  12   9   9   8   7  11   2   0   4   4  78
1953     4   7  13  11   8  11   6   3   2   2   3   5  75
1954     1   3   5  10  12   9   3  12   2   7   2   7  73
1955     6   7   4   9   8  10   6   5   6   4   2   2  69
1956     5   4   3   5  11   9  13  12   3   4   6   4  79
1957     6   2   5  10  10  14   6   9   7   5   6   7  87
1958     4   4   5  10   9  11  14   7   9   3   7   1  84
1959     6   5   7   7  17   6   8  11  11  12   6   9 105
1960    11   8  12  11  11  10   5   7   8   7   3   4  97
1961     4   5  10  13   9   7   8   6  12   7   8   6  95
1962     8   7   8   9   8   9  10   9   6   9   5   1  89
1963     8   2   6   6   6   2   6   9   5   2   3   3  58
1964     1   5   5   9   9   7   4   7   7   1   4   4  63
1965     8   7   7  11  12   8   5   8  12   2   2   4  86
1966     2   2   7   6  12  11   8   4   5   3   2   1  63
1967     2   2   2   8   8  15   5   2   5   8   3   7  67
1968     2   2   2   8   5   5   6  10   8   5   4   5  62
1969     8   4   2   7   5  10  11   5   5  10   0   4  71
1970     2   0   7   8   9   6   4   7  11   6   3   2  65
1971     2   6   1   3   9   8   6   5   3   6   6   3  58
1972     3   6   3   9  10   4   8   7  10   4   6   3  73
1973     4   5   9   7   9   5  11   7  12   6   4   6  85
1974     6   1   8   9  14   5   7   9   4   6   7   4  80
1975     4   7   6  11   8  11   3  10  10   0  11   3  84
1976     1   7   6   6   6   7   5   5   4   6   1   3  57
1977     7   3   9   7   7   6   7  15  11  10   4   5  91
1978     7   6   4   8   7   7   8   8   7   4   6   0  72
1979     0   0   4  11   4  11   6   5   1   4   2   1  49
1980     5   4   6   0   0   4   9   9   6   6   3   4  56
1981     2   5   6  11   9  12   8   7   3   5   5   4  77
1982     3   0   7   7  20   8   9   0   0   0   7   6  67
1983     8   3   9   5  15  12   1   6   6   6  10   5  86
1984     4   2   6   7  12   8   7   1   3   0   5   3  58
1985     1   0   3   4   8   7   8  11  12   9   8   5  76
1986     0   5   7  12  15   6  10   6  14   8   4   4  91
1987     1   1   8   8  12  11   8  11   4   3   9   6  82
1988     2   0   1   3   5   4   5   7   6   3   9   4  49
1989     4   4   2   3   8   9  10   8   9   7   0   3  67
1990     3   3  10  11  10   8  14   8   6   5   4   5  87
1991     5   1  11  12  12   5   6   8   5   8  11   7  91
1992     8   6  11  10   4   6  16   7  14   4  14  10 110
1993    10  11   9   8  15  16  22  18  13   5   5   6 138
1994     6   7   2   9   9  12  10   9   7   7   7   4  89
1995     8   5   9  15  16  12   8   5   7   7   6   4 102
1996    11   4   8   7  21  10   9   8   7   8  10   2 105
1997     6   8   4   9   8  10   9  11  11   8   6   8  98
1998     5  11  10  13  10  17   5  10   5   8   8   2 104
1999     4   6   5  12  14  10   7   8   6   3   2   6  83
2000     6   6   6   9   7  10  10  10   6   9   5  13  97
2001     9   8   8  11  19  13  12   6  11  13   4   6 120
2002     8   9  12  13  14   6  11  11   4  14   2   1 105
2003     8   8   8  12  16  13   9   4   8   7   6   8 107
2004    10   9  16   4  20  15  16  13   5  15  13   6 142
2005    10   9  10  13  12  14   5   0   0   0   0   0  73
STDDEV   3   3   3   3   4   4   4   3   4   4   3   3  20
AVG      5   5   7   9  10   9   8   8   7   6   5   5  83
