# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2171] DENISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia2171
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.27  2.44  2.95  5.76  3.83 11.04  3.42  6.89  3.14  5.24  0.25  0.35 45.58
 1952  0.86  0.59  1.89  1.58  4.51  6.95  5.87  4.72  1.41  0.00  1.51  0.79 30.68
 1953  0.49  0.70  2.69  2.86  2.41  7.64  2.70  2.37  0.55  0.67  1.62  0.84 25.54
 1954  0.10  2.64  1.50  4.80  3.18  3.78  1.43  6.79  2.71  2.34  0.32  0.00 29.59
 1955  0.40  1.13  0.99  2.68  0.89  4.04  4.07  2.16  2.92  1.04  0.08  0.21 20.61
 1956  0.36  0.33  0.17  1.16  5.40  3.09  3.77  2.84  1.93  1.41  2.93  0.24 23.63
 1957  0.34  0.18  1.08  1.24  5.94  9.13  2.60  3.90  4.28  5.20  2.21  0.59 36.69
 1958  0.73  0.90  0.57  1.40  1.81  3.07  7.37  3.30  1.68  0.00  0.57  0.18 21.58
 1959  0.71  0.76  2.72  1.75  8.84  4.68  0.88  3.74  1.99  2.37  2.53  2.47 33.44
 1960  1.29  1.28  1.76  1.92  5.65  3.80  3.70  5.66  3.08  0.60  0.15  0.31 29.20
 1961  0.42  1.04  2.83  1.36  4.47  5.49  4.30  3.90  4.95  1.83  1.07  1.20 32.86
 1962  0.20  1.89  1.22  0.71  6.52  5.38  4.05  6.69  2.09  1.33  0.26  0.17 30.51
 1963  0.62  0.33  2.15  2.94  2.99  4.34  3.07  6.30  5.20  1.68  0.00  0.00 29.62
 1964  0.00  0.55  1.62  8.40  5.48  5.75  3.02  6.53  2.70  0.30  1.16  0.89 36.40
 1965  0.67  2.63  2.99  3.62  6.85  3.10  3.41  2.50 11.02  1.06  0.47  0.82 39.14
 1966  1.02  0.44  1.22  0.64  2.74  4.91  2.62  2.56  1.68  0.80  0.07  0.58 19.28
 1967  0.82  0.43  0.27  2.36  1.29 12.39  1.72  0.79  3.27  1.15  0.08  0.66 25.23
 1968  0.59  0.17  0.27  3.62  1.86  6.57  2.15  6.42  5.87  4.54  1.47  2.07 35.60
 1969  1.16  1.99  0.85  2.75  2.35  4.08  4.43  5.02  2.15  2.35  0.12  1.87 29.12
 1970  0.21  0.05  2.76  1.42  3.52  2.59  1.82  2.20  3.11  3.73  2.09  0.35 23.85
 1971  0.86  3.50  0.92  1.25  4.41  4.37  2.39  0.29  2.04  4.74  1.83  1.06 27.66
 1972  0.79  0.70  1.12  2.73  4.09  3.15  5.01  2.40 10.41  2.75  2.31  1.60 37.06
 1973  2.13  0.95  3.39  3.61  4.47  2.64  7.52  1.16  8.13  2.85  1.03  1.84 39.72
 1974  0.62  0.43  1.00  2.45  6.75  1.73  1.04  4.44  0.99  2.14  0.65  0.82 23.06
 1975  2.26  1.21  1.56  4.17  2.76  5.10  1.70  2.60  2.16  0.38  3.60  1.35 28.85
 1976  0.13  1.23  2.39  2.25  4.06  1.59  0.48  0.36  0.99  0.97  0.00  0.55 15.00
 1977  0.95  0.33  4.25  2.19  3.17  4.60  2.54  4.50  4.82  3.06  3.37  1.20 34.98
 1978  0.65  0.82  0.88  3.43  1.98  1.32  6.24  5.15  7.09  0.75  0.95  0.55 29.81
 1979  0.95  0.13  4.83  2.45  3.49  4.27  2.56  1.14  0.87  3.33  1.54  0.09 25.65
 1980  1.01  0.33  0.80  1.01  3.11  1.98  0.35  5.10  0.67  2.04  0.18  0.22 16.80
 1981  0.02  0.61  0.59  1.46  2.70  4.86  5.64  4.24  2.08  2.40  1.01  1.12 26.73
 1982  1.61  0.49  2.37  3.16  9.43  3.36  3.67  4.83  3.10  2.49  2.04  1.96 38.51
 1983  0.80  1.65  4.18  2.27  3.92  5.61  1.55  2.18  4.14  4.19  3.08  0.60 34.17
 1984  0.13  0.36  1.59  6.82  4.74  5.43  3.03  1.45  1.18  4.65  1.35  3.42 34.15
 1985  0.23  0.33  1.88  2.88  3.07  2.46  1.19  3.18  3.94  1.44  0.64  0.96 22.20
 1986  0.02  0.81  2.88  6.14  5.21  4.17  3.75  3.26  4.66  4.71  0.68  0.49 36.78
 1987  0.02  0.29  3.67  1.46  6.29  0.80  8.09  7.87  2.18  0.69  1.84  0.74 33.94
 1988  0.87  0.40  0.13  2.02  2.25  3.55  5.53  4.54  3.98  0.00  2.51  0.84 26.62
 1989  1.19  0.47  0.65  0.74  2.80  4.30  1.91  2.96  6.08  1.72  0.16  0.39 23.37
 1990  0.28  0.37  5.32  1.26  7.70  9.84  6.08  3.15  1.17  1.37  1.31  1.39 39.24
 1991  0.90  0.44  5.15  6.41  3.51  5.85  1.07  2.58  2.61  1.84  4.79  1.42 36.57
 1992  1.12  0.63  2.55  2.35  2.37  1.82  4.91  1.61  5.20  3.51  2.84  1.33 30.24
