# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8568] VINTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8568
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    15     5     1    21        0     0    56    19     1    76
 1952     2    17    22     9     9    59        5    73   128    27    42   275
 1953     3    11    17    13     7    51       14    60    77    96    61   308
 1954     0    17    25     8     5    55        0    97   151    19    25   292
 1955     6     3    25    25    10    69       15    13   222   189    63   502
 1956     3    18    16     9     2    48       10   106    81    40     3   240
 1957     0     6    22    14     1    43        0    18   140    54     1   213
 1958     1     5     1    17     1    25        1    14     3    63     2    83
 1959     1     6     4    13     5    29        2    15     6    56    18    97
 1960     0     1     6     9     8    24        0     1    16    28    58   103
 1961     2     8     7    10     7    34        2    39    22    30    25   118
 1962     9     5     6     9     1    30       22    18    19    32     3    94
 1963     3    19    16     7     1    46        7   115    52    22     1   197
 1964     3    10    20     8     4    45       12    41   118    43    14   228
 1965     1     3     5     9     1    19        1     8    34    45     4    92
 1966     1    10    17     7     2    37        1    32    97    22     4   156
 1967     4     2     8     1     0    15       18     7    26     1     0    52
 1968     0    10     8    10     1    29        0    50    42    64     1   157
 1969     2     3     9    10     0    24        5     8    22    25     0    60
 1970     4     6    18     9     4    41        9    32   105    27    10   183
 1971     0    21     7    14    10    52        0   101    17    54    46   218
 1972     6     7    10    13     3    39       14    23    48    74    10   169
 1973     0     9    14    21     1    45        0    41    60    86     4   191
 1974     0     5    25     6     0    36        0    16   148    18     0   182
 1975     5    11    20    12     3    51       19    38   106    71     6   240
 1976     1     6    20    16     8    51        1    15   103    67    25   211
 1977    13    14    24     6     0    57       38    76   196    18     0   328
 1978     3     9    11    13    11    47       10    28    47    55    56   196
 1979     2     9    15    12     5    43        6    18    38    59     9   130
 1980     4     6    24    13     5    52       10    23   141    63    13   250
 1981     0     5    10     2     1    18        0    12    35     6     2    55
 1982     0     0     9     5     1    15        0     0    34    19     1    54
 1983     0     9    24    23     7    63        0    38   126   166    29   359
 1984     0     4     9    12     9    34        0     5    33    62    29   129
 1985     2     7    12     8     8    37        7    37    56    28    41   169
 1986     0     6    14     2     1    23        0    18    43     4     1    66
 1987     4    11    17     8     0    40        6    47    86    44     0   183
 1988     3    19    24    20     5    71       10   123   179   189    11   512
 1989     0     2    13     4     0    19        0     2    82    13     0    97
 1990     0     5     4     5     3    17        0    15    28    20    19    82
 1991     3    12    14     8     2    39       10    39    75    34     3   161
 1992     0     3     2     1     0     6        0    12     3     3     0    18
 1993     0     1     2     4     0     7        0     2     3     8     0    13
 1994     1     8     3     3     3    18        1    28     5     6     8    48
 1995     0     7    11    20     3    41        0    24    74    89     4   191
 1996     2     9     4     3     0    18        3    30     8     6     0    47
 1997     0     6    12     5     0    23        0    11    40    14     0    65
 1998     6     5     6     4     6    27       13    23    22     7    22    87
 1999     0     8    21     3     3    35        0    14   105     7    12   138
 2000     0     4     5     2     9    20        0    13     7    12    38    70
 2001     2     8    12    10     1    33        2    19    34    38     1    94
 2002     1    10    20     3     6    40        2    29    78     9    20   138
 2003     1     2     5    12     2    22        1     9    20    58     3    91
 2004     0     2     2     0     1     5        0     4     5     0     1    10
 2005     0    10    18     0     0    28        0    41    74     0     0   115
 **************************************************************************************
MEANS   1.9   7.6  12.9   9.0   3.4  34.8      5.0  31.3  65.0  42.0  13.6 157.0
