# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4389] KEOSAUQUA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.55   0.32   61(59)   18(17)   17(17)    7( 7)    0( 0)    0      103
  2 3/8-->3/14       1.69   0.30   56(60)   20(22)   14(15)    3( 3)    0( 0)    0       93
  3 3/15-->3/21      1.59   0.30   50(59)   18(21)   13(15)    4( 5)    0( 0)    0       85
  4 3/22-->3/28      1.32   0.30   64(62)   17(16)   19(18)    4( 4)    0( 0)    0      104
  5 3/29-->4/4       2.52   0.34   78(61)   25(20)   15(12)    9( 7)    1( 1)    0      128
  6 4/5-->4/11       1.94   0.35   63(54)   25(21)   22(19)    7( 6)    0( 0)    0      117
  7 4/12-->4/18      1.83   0.39   55(47)   27(23)   26(22)    8( 7)    0( 0)    0      116
  8 4/19-->4/25      4.20   0.43   72(53)   27(20)   20(15)   13(10)    4( 3)    0      136
  9 4/26-->5/2       2.35   0.32   72(56)   32(25)   20(16)    3( 2)    2( 2)    0      129
 10 5/3-->5/9        2.35   0.39   71(53)   27(20)   25(19)    9( 7)    2( 1)    0      134
 11 5/10-->5/16      4.30   0.47   67(53)   22(17)   23(18)    9( 7)    5( 4)    0      126
 12 5/17-->5/23      2.47   0.35   74(56)   27(20)   24(18)    6( 5)    1( 1)    0      132
 13 5/24-->5/30      2.77   0.44   72(47)   34(22)   29(19)   13( 9)    4( 3)    0      152
 14 5/31-->6/6       4.16   0.42   66(54)   27(22)   15(12)   11( 9)    3( 2)    0      122
 15 6/7-->6/13       2.72   0.51   68(49)   18(13)   32(23)   18(13)    3( 2)    0      139
 16 6/14-->6/20      2.33   0.46   61(57)   15(14)   12(11)   14(13)    5( 5)    0      107
 17 6/21-->6/27      4.00   0.51   54(48)   19(17)   23(21)   12(11)    4( 4)    0      112
 18 6/28-->7/4       3.13   0.52   49(44)   22(20)   20(18)   17(15)    3( 3)    0      111
 19 7/5-->7/11       2.63   0.54   43(44)   17(18)   19(20)   16(16)    2( 2)    0       97
 20 7/12-->7/18      2.32   0.44   57(56)   16(16)   11(11)   15(15)    2( 2)    0      101
 21 7/19-->7/25      5.86   0.59   53(47)   19(17)   17(15)   17(15)    6( 5)    0      112
 22 7/26-->8/1       3.65   0.49   56(54)   18(17)   18(17)    8( 8)    4( 4)    0      104
 23 8/2-->8/8        3.43   0.47   59(52)   20(18)   20(18)   10( 9)    4( 4)    0      113
 24 8/9-->8/15       2.88   0.52   43(46)   14(15)   21(22)   13(14)    3( 3)    0       94
 25 8/16-->8/22      2.22   0.38   64(59)   18(17)   13(12)   12(11)    1( 1)    0      108
 26 8/23-->8/29      3.00   0.47   56(54)   17(17)   12(12)   15(15)    3( 3)    0      103
 27 8/30-->9/5       2.88   0.51   40(45)   16(18)   21(24)    9(10)    2( 2)    0       88
 28 9/6-->9/12       2.53   0.38   50(58)   16(19)   11(13)    8( 9)    1( 1)    0       86
 29 9/13-->9/19      7.15   0.56   54(46)   22(19)   26(22)   10( 8)    6( 5)    0      118
 30 9/20-->9/26      5.09   0.53   59(50)   20(17)   22(19)   10( 9)    6( 5)    0      117
 31 9/27-->10/3      3.05   0.43   40(49)   17(21)   15(18)    8(10)    2( 2)    0       82
 32 10/4-->10/10     3.49   0.56   44(48)   19(21)   10(11)   12(13)    6( 7)    0       91
 33 10/11-->10/17    2.10   0.33   57(63)   14(15)   12(13)    7( 8)    1( 1)    0       91
 34 10/18-->10/24    2.45   0.44   44(47)   22(24)   17(18)    7( 8)    3( 3)    0       93
 35 10/25-->10/31    1.75   0.30   60(59)   23(23)   14(14)    4( 4)    0( 0)    0      101
 36 11/1-->11/7      2.76   0.37   52(54)   17(18)   20(21)    6( 6)    1( 1)    0       96
 37 11/8-->11/14     1.95   0.32   40(54)   16(22)   15(20)    3( 4)    0( 0)    0       74
 38 11/15-->11/21    1.95   0.36   55(63)   15(17)    9(10)    9(10)    0( 0)    0       88
 39 11/22-->11/28    1.34   0.27   64(66)   17(18)   13(13)    3( 3)    0( 0)    0       97
 40 11/29-->12/5     1.50   0.26   58(69)   13(15)    8(10)    5( 6)    0( 0)    0       84
 41 12/6-->12/12     2.10   0.30   61(65)   20(21)    8( 9)    3( 3)    2( 2)    0       94
 42 12/13-->12/19    2.76   0.27   47(67)   14(20)    7(10)    1( 1)    1( 1)    0       70
 43 12/20-->12/26    2.03   0.21   64(75)   13(15)    5( 6)    2( 2)    1( 1)    0       85
 44 12/27-->1/2      1.53   0.28   49(58)   20(24)   13(15)    2( 2)    0( 0)    0       84
 45 1/3-->1/9        1.86   0.26   46(68)   13(19)    5( 7)    4( 6)    0( 0)    0       68
 46 1/10-->1/16      1.08   0.19   55(77)   10(14)    4( 6)    2( 3)    0( 0)    0       71
 47 1/17-->1/23      1.14   0.22   60(68)   17(19)   10(11)    1( 1)    0( 0)    0       88
 48 1/24-->1/30      1.32   0.18   75(80)   11(12)    7( 7)    1( 1)    0( 0)    0       94
 49 1/31-->2/6       1.10   0.21   57(74)   14(18)    5( 6)    1( 1)    0( 0)    0       77
 50 2/7-->2/13       3.00   0.23   53(73)   13(18)    6( 8)    0( 0)    1( 1)    0       73
 51 2/14-->2/20      1.25   0.24   58(70)   12(14)   12(14)    1( 1)    0( 0)    0       83
 52 2/21-->2/27      2.00   0.25   64(67)   20(21)    9( 9)    2( 2)    0( 0)    0       95
 53 2/28-->2/29      0.65   0.17    9(90)    0( 0)    1(10)    0( 0)    0( 0)    0       10
ANNUAL TOTALS        7.15   0.38 2999(56)  983(18)  805(15)  394( 7)   95( 1)    0     5276
