# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9132] WINTERSET
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.30   0.24   62(67)   19(21)    7( 8)    4( 4)    0( 0)    0       92
  2 3/8-->3/14       2.26   0.33   46(61)   14(18)   12(16)    3( 4)    1( 1)    0       76
  3 3/15-->3/21      1.54   0.24   54(69)   12(15)   10(13)    2( 3)    0( 0)    0       78
  4 3/22-->3/28      1.55   0.28   58(68)   11(13)   11(13)    5( 6)    0( 0)    0       85
  5 3/29-->4/4       1.80   0.32   63(62)   21(21)   11(11)    7( 7)    0( 0)    0      102
  6 4/5-->4/11       1.83   0.35   50(57)   18(20)   13(15)    7( 8)    0( 0)    0       88
  7 4/12-->4/18      3.44   0.35   62(54)   26(23)   23(20)    2( 2)    2( 2)    0      115
  8 4/19-->4/25      2.16   0.38   65(51)   31(24)   23(18)    7( 5)    2( 2)    0      128
  9 4/26-->5/2       3.22   0.40   67(54)   25(20)   17(14)   13(11)    1( 1)    0      123
 10 5/3-->5/9        3.73   0.41   71(55)   20(16)   26(20)   10( 8)    1( 1)    0      128
 11 5/10-->5/16      3.48   0.42   62(50)   24(20)   26(21)    9( 7)    2( 2)    0      123
 12 5/17-->5/23      1.74   0.36   67(52)   32(25)   22(17)    9( 7)    0( 0)    0      130
 13 5/24-->5/30      2.65   0.45   70(50)   24(17)   29(21)   15(11)    2( 1)    0      140
 14 5/31-->6/6       2.16   0.37   69(56)   22(18)   23(19)    8( 7)    1( 1)    0      123
 15 6/7-->6/13       4.55   0.52   69(51)   24(18)   21(16)   17(13)    3( 2)    0      134
 16 6/14-->6/20      2.46   0.48   61(53)   16(14)   21(18)   16(14)    2( 2)    0      116
 17 6/21-->6/27      5.25   0.51   53(50)   21(20)   20(19)    9( 8)    4( 4)    0      107
