# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8296] TOLEDO
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia8296
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1     4     3     1     9        0     1    12    11     1    25
 1952     1    11    14     3    10    39        2    52    61     4    32   151
 1953     3     7    10    14     7    41        9    36    41    92    46   224
 1954     0    12    15     5     5    37        0    45    82    10    24   161
 1955     1     1    20    18     9    49        1     1   128   139    49   318
 1956     4    15    11     6     2    38       10    80    61    29     4   184
 1957     0     2    16    10     0    28        0     2    70    21     0    93
 1958     0     3     0    11     0    14        0    14     0    32     0    46
 1959     0     6     5    18     4    33        0    15     9    56    19    99
 1960     0     0    10     9     7    26        0     0    26    31    43   100
 1961     0     6     7     7     5    25        0    21    21    17    14    73
 1962     3     4     7     8     1    23        4     8    21    23     2    58
 1963     1    13     7     3     0    24        1    60    24    12     0    97
 1964     4     5    14     3     2    28        6    12    58    19     7   102
 1965     0     1     6     8     1    16        0     2    29    41     2    74
 1966     1     6    20     6     2    35        1    13   102    16     6   138
 1967     4     0     9     0     0    13       16     0    31     0     0    47
 1968     1    11    11    11     0    34        2    49    44    48     0   143
 1969     3     1     8    10     1    23        4     3    27    21     2    57
 1970     2     7    17     6     4    36        5    30    75    19     8   137
 1971     0    15     4     7     6    32        0    66    10    25    31   132
 1972     3     4    11    11     2    31        4    16    43    57     5   125
 1973     0     9     9    12     2    32        0    45    36    42     2   125
 1974     0     5    23     4     0    32        0    12   145    12     0   169
 1975     3     8    19    14     2    46       10    20    82    84    10   206
 1976     2     2    18    13     5    40        3     5    78    39    15   140
 1977     5    10    21     3     0    39        9    44   146    11     0   210
 1978     3     8    10     9     9    39       11    20    33    34    42   140
 1979     0     3    10     6     3    22        0     6    17    44     6    73
 1980     6     5    21    18    11    61       18    25   156    89    42   330
 1981     0     6    10     6     4    26        0    25    61    13    12   111
 1982     0     3    13     9     1    26        0     3    52    48     1   104
 1983     0     8    23    24     5    60        0    44   131   192    30   397
 1984     0     2     8    12     5    27        0     2    35    62    22   121
 1985     1     4    12     5     9    31        5    22    41    29    33   130
 1986     0     6    11     1     0    18        0    21    46     2     0    69
 1987     3    12    16     7     0    38        4    68    88    47     0   207
 1988     3    18    23    19     1    64        6   125   154   187     4   476
 1989     0     3    13     4     0    20        0    11    94    15     0   120
 1990     0     4     6     7     6    23        0    13    37    27    27   104
 1991     3    11    15    10     4    43       10    41   105    47     5   208
 1992     0     4     1     2     0     7        0    14     1     5     0    20
 1993     0     5     6     5     1    17        0    14    17    10     1    42
 1994     1    10     7     6     3    27        2    32    17    22     8    81
 1995     0     8    12    22     4    46        0    34    82   125     7   248
 1996     2    10     6     4     0    22        5    35    18    10     0    68
 1997     1     6    13     5     3    28        1    11    54    17     5    88
 1998     3     4    10     6     6    29        7    21    29    15    18    90
 1999     0     6    18     3     3    30        0    12   100     5    12   129
 2000     1     3     3     2     8    17        1     8     7     5    39    60
 2001     2     6    14    10     0    32        3    18    38    54     0   113
 2002     1     9    16     3     6    35        3    27    65     9    18   122
 2003     1     2     5    13     2    23        1     6    22    74     4   107
 2004     0     2     3     0     0     5        0     4     6     0     0    10
 2005     0     9    12     0     0    21        0    33    58     0     0    91
 **************************************************************************************
MEANS   1.3   6.2  11.5   8.0   3.1  30.2      3.0  24.5  55.0  38.1  12.0 132.6
