# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7726] SIOUX-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7726
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    10     4     0    14        0     0    34    14     0    48
 1952     3    14    16     6     9    48       10    88    78    24    28   228
 1953     3    12    13    13     6    47        9    78    70    69    34   260
 1954     0    10    23     5     4    42        0    49   124    14     7   194
 1955     5     4    27    25    10    71       10    19   228   278    77   612
 1956     5    19    11    16     7    58       12   137    46    96    38   329
 1957     0     7    19    12     1    39        0    16   108    57     3   184
 1958     1     4     4    22     3    34        1    23    12   129     9   174
 1959     3    11    13    19     5    51        9    58    45   111    20   243
 1960     0     1    12    13     7    33        0     2    51    47    44   144
 1961     1     9    10    16     4    40        1    44    37    55     9   146
 1962     8     8     7    12     1    36       13    17    24    34     5    93
 1963     2    16    12     9     3    42        4    76    49    32     7   168
 1964     8     9    20     6     4    47       30    30   138    31    13   242
 1965     3     5    13    15     0    36        6    19    81    97     0   203
 1966     4    10    18    10     1    43        7    33   131    32     3   206
 1967     4     1    14    10     1    30       25     1    70    25     3   124
 1968     1    14    11    12     0    38        2    72    52    85     0   211
 1969     3     2    11    11     0    27       12     8    64    31     0   115
 1970     5    12    18    13     8    56       22    58    87    70    43   280
 1971     0    15     8    14     4    41        0    73    21    60    25   179
 1972     3    10     6    12     2    33        6    38    32    65     6   147
 1973     1    13    11    13     0    38        3    49    48    38     0   138
 1974     1     9    23     5     1    39        1    56   186    20     1   264
 1975     4     5    21    10     4    44       16    16   112    29    12   185
 1976     1     7    18    15     7    48        1    32    85   109    27   254
 1977     6     7    14     2     1    30       12    50    77     4     2   145
 1978     3     7    12     8     8    38        8    28    47    30    29   142
 1979     3     7     6     6     3    25        6    17    23    26     6    78
 1980     3     6    18     6     6    39        7    34   115    30    20   206
 1981     0     6    10     2     4    22        0    28    52     2     8    90
 1982     0     2    10     6     0    18        0     4    49    26     0    79
 1983     1     8    19    21     6    55        2    20   113   151    25   311
 1984     0     3    10    13     4    30        0     8    31    72    12   123
 1985     2     4     6     4     3    19        4    33    25    16     9    87
 1986     0     9    10     2     0    21        0    42    39     4     0    85
 1987     8    16    15     5     2    46       36   100    64    28     2   230
 1988     8    11    14    17     1    51       29    77    68   128     3   305
 1989     1     3    10     5     0    19        7     8    47    15     0    77
 1990     1    10     7     6     6    30        2    47    41    15    20   125
 1991     3    10     9     7     1    30       11    49    39    12     1   112
 1992     2     5     1     0     0     8        7     9     3     0     0    19
 1993     0     1     1     1     0     3        0     2     2     1     0     5
 1994     4     5     1     4     2    16       13    15     2     7     6    43
 1995     0    10    10    10     1    31        0    50    57    41     1   149
 1996     2     9     4     1     0    16       11    40     9     2     0    62
 1997     0     7    12     7     2    28        0    24    36    15     2    77
 1998     4     4     9     4     7    28       13    16    25     9    31    94
 1999     1     8    14     5     4    32        1    31    48    13     5    98
 2000     4     6     6     6     5    27        7    26    15    15    19    82
 2001     3     9     9     5     0    26       19    42    33    17     0   111
 2002     2    15    21     1     4    43        8    74   103     7    15   207
 2003     0     2     4    10     3    19        0     3    17    59     6    85
 2004     1     4     2     1     5    13        2    12     2     2     8    26
 2005     0     7    11     0     0    18        0    28    36     0     0    64
 **************************************************************************************
MEANS   2.4   7.8  11.7   8.8   3.1  33.7      7.4  36.5  58.7  43.6  11.7 158.0
