# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA8339] TRIPOLI-4-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.46   0.28   58(67)   13(15)   11(13)    4( 5)    0( 0)    0       86
  2 3/8-->3/14       1.80   0.32   55(65)   12(14)   15(18)    3( 4)    0( 0)    0       85
  3 3/15-->3/21      1.42   0.23   59(69)   15(18)   10(12)    1( 1)    0( 0)    0       85
  4 3/22-->3/28      1.83   0.35   50(57)   19(22)   12(14)    7( 8)    0( 0)    0       88
  5 3/29-->4/4       1.80   0.32   69(62)   21(19)   16(14)    6( 5)    0( 0)    0      112
  6 4/5-->4/11       1.13   0.33   46(50)   24(26)   19(21)    3( 3)    0( 0)    0       92
  7 4/12-->4/18      2.10   0.37   62(54)   21(18)   25(22)    5( 4)    2( 2)    0      115
  8 4/19-->4/25      2.70   0.40   61(46)   37(28)   25(19)    8( 6)    2( 2)    0      133
  9 4/26-->5/2       5.50   0.41   71(54)   23(18)   26(20)   10( 8)    1( 1)    0      131
 10 5/3-->5/9        3.00   0.38   65(55)   27(23)   15(13)   10( 8)    2( 2)    0      119
 11 5/10-->5/16      2.25   0.39   64(48)   29(22)   32(24)    7( 5)    1( 1)    0      133
 12 5/17-->5/23      5.53   0.49   60(49)   30(25)   17(14)   11( 9)    4( 3)    0      122
 13 5/24-->5/30      2.30   0.42   72(50)   28(20)   30(21)   12( 8)    1( 1)    0      143
 14 5/31-->6/6       1.94   0.36   63(54)   24(21)   22(19)    8( 7)    0( 0)    0      117
 15 6/7-->6/13       2.20   0.44   64(50)   25(19)   25(19)   12( 9)    3( 2)    0      129
 16 6/14-->6/20      2.09   0.47   58(48)   21(17)   24(20)   17(14)    1( 1)    0      121
 17 6/21-->6/27      4.35   0.65   45(40)   20(18)   25(22)   15(13)    7( 6)    0      112
 18 6/28-->7/4       2.75   0.58   44(46)   11(12)   22(23)   14(15)    4( 4)    0       95
 19 7/5-->7/11       2.51   0.49   50(47)   16(15)   25(24)   13(12)    2( 2)    0      106
 20 7/12-->7/18      5.15   0.60   42(44)   18(19)   19(20)   10(10)    7( 7)    0       96
 21 7/19-->7/25      4.66   0.49   59(52)   25(22)   15(13)    9( 8)    6( 5)    0      114
 22 7/26-->8/1       3.14   0.48   52(48)   23(21)   19(18)   10( 9)    4( 4)    0      108
 23 8/2-->8/8        2.75   0.47   49(46)   18(17)   27(25)   11(10)    2( 2)    0      107
 24 8/9-->8/15       3.25   0.47   44(53)   11(13)   16(19)   10(12)    2( 2)    0       83
 25 8/16-->8/22      4.00   0.56   49(47)   18(17)   18(17)   17(16)    3( 3)    0      105
