# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0241] ANKENY-3-S
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0241 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     52     19     13      9    257    142    120    101
 1952     89     45     38     32    396    253    222    196
 1953    154     75     58     44    249    131    107     87
 1954     75     22     16     11    479    310    273    238
 1955    142     78     65     53    459    289    255    222
 1956    118     55     46     37    314    199    175    153
 1957    121     53     42     34    364    218    189    165
 1958     68     22     15     10    341    193    164    138
 1959    104     46     36     28    309    175    152    132
 1960     20      6      4      3    381    236    209    184
 1961     87     31     22     15    216    116     96     80
 1962     70     33     27     22    363    226    197    171
 1963    211    130    116    102    459    293    255    221
 1964    130     71     59     47    402    244    210    181
 1965     11      3      2      1    337    198    170    143
 1966    239    135    112     92    311    178    152    128
 1967    257    167    147    127    438    268    233    201
 1968    253    162    143    125    381    224    196    172
 1969     42     21     16     11    356    207    176    148
 1970     52     15      9      5    387    251    221    193
 1971     76     31     24     18    414    271    241    212
 1972    132     66     55     45    313    177    151    128
 1973    180     71     53     40    309    178    152    128
 1974    154     72     57     47    395    242    209    177
 1975     48     15      9      7    260    142    120    103
 1976    169     91     76     64    438    267    231    198
 1977    238    125    105     87    521    348    310    275
 1978     96     49     41     34    306    173    148    124
 1979     78     35     26     21    227    117     95     75
 1980    108     47     36     26    392    245    220    196
 1981    243    130    107     88    555    364    323    286
 1982    120     49     38     28    311    190    165    142
 1983    139     72     62     53    226    122    106     92
 1984     42      7      3      1    291    150    125    100
 1985    204    101     83     68    519    347    312    281
 1986    264    162    142    124    458    287    254    221
 1987    222    122    106     91    485    322    290    260
 1988    225    130    109     90    386    242    212    183
 1989    168    100     85     72    427    274    239    208
 1990    178     94     80     66    349    212    183    156
 1991    190    106     91     76    381    227    197    170
 1992    183     93     77     63    254    133    112     96
 1993     64     23     18     13    243    125    105     88
 1994    168     92     79     66    371    246    220    195
 1995    185    108     91     75    249    143    122    101
 1996    115     52     42     33    295    179    156    134
 1997    173     83     67     54    272    164    142    120
 1998    115     67     59     52    320    186    158    131
 1999    149     72     58     46    314    179    152    127
 2000    271    157    135    117    368    238    213    189
 2001     45     11      7      4    465    305    271    240
 2002    112     49     35     25    358    220    192    166
 2003    178    110     97     85    422    280    252    225
 2004    211    111     92     75    422    268    236    207
 2005    159     81     66     54    476    310    272    238
     ****************************  ****************************
 MEAN  139.9   72.2   59.9   49.4  363.5  222.3  193.8  167.7
 STDV   68.9   44.8   39.7   34.7   83.1   64.0   59.2   54.5

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    703    480    428    377    792    557    500    443
 1952    637    421    375    333   1003    764    705    646
 1953    618    411    367    327    945    707    648    590
 1954    518    341    303    266    938    702    645    590
 1955    710    476    428    386    796    563    511    459
 1956    677    470    426    384    990    753    695    638
