# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1541] CLARION
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.43   0.24   54(63)   16(19)   15(17)    1( 1)    0( 0)    0       86
  2 3/8-->3/14       1.90   0.26   64(71)   13(14)    8( 9)    5( 6)    0( 0)    0       90
  3 3/15-->3/21      1.29   0.22   72(74)   13(13)   10(10)    2( 2)    0( 0)    0       97
  4 3/22-->3/28      2.60   0.31   57(62)   18(20)   12(13)    4( 4)    1( 1)    0       92
  5 3/29-->4/4       1.75   0.27   75(69)   17(16)   12(11)    5( 5)    0( 0)    0      109
  6 4/5-->4/11       1.77   0.28   61(61)   26(26)   10(10)    3( 3)    0( 0)    0      100
  7 4/12-->4/18      2.68   0.31   74(60)   21(17)   21(17)    6( 5)    1( 1)    0      123
  8 4/19-->4/25      2.25   0.36   67(54)   23(18)   26(21)    8( 6)    1( 1)    0      125
  9 4/26-->5/2       3.48   0.42   67(55)   23(19)   20(17)    7( 6)    4( 3)    0      121
 10 5/3-->5/9        2.58   0.34   67(53)   35(28)   18(14)    5( 4)    1( 1)    0      126
 11 5/10-->5/16      2.34   0.35   78(54)   37(26)   17(12)   10( 7)    2( 1)    0      144
 12 5/17-->5/23      3.32   0.40   76(56)   27(20)   21(15)    9( 7)    3( 2)    0      136
 13 5/24-->5/30      2.00   0.39   85(53)   31(19)   26(16)   17(11)    0( 0)    0      159
 14 5/31-->6/6       2.92   0.34   74(59)   25(20)   18(14)    8( 6)    1( 1)    0      126
 15 6/7-->6/13       4.22   0.47   63(47)   30(22)   25(19)   14(10)    2( 1)    0      134
 16 6/14-->6/20      2.95   0.46   72(52)   23(17)   22(16)   18(13)    3( 2)    0      138
