# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2999] FORT-DODGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2999
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    13     5     0    18        0     0    34    15     0    49
 1952     3    15    17     6    10    51       11   102    73    13    33   232
 1953     3    13    13    11     5    45       13    69    50    70    23   225
 1954     0    12    20     6     5    43        0    52   110    14    20   196
 1955     3     3    22    21     7    56        7    13   175   179    53   427
 1956     4    19     9    13     6    51        8   137    37    74    26   282
 1957     0     4    18    11     1    34        0    13   116    41     2   172
 1958     1     5     2    17     3    28        1    21     2    71     3    98
 1959     3    13    10    21     5    52        6    56    37   128    21   248
 1960     0     2    13     8     7    30        0     3    54    39    44   140
 1961     1     9     8    10     4    32        1    41    30    28    12   112
 1962     8     6     8    10     1    33       22    18    26    26     6    98
 1963     2    17    16     7     3    45        7   103    59    32     5   206
 1964     5     9    20     7     3    44       18    43   139    30    11   241
 1965     3     6    13    13     0    35        5    14    65    67     0   151
 1966     2     9    19    10     1    41        6    37   132    37     1   213
 1967     4     1    12     3     0    20       38     3    40     4     0    85
 1968     1    15     6    11     0    33        3    74    27    73     0   177
 1969     2     2    11    11     0    26       10     8    48    29     0    95
 1970     5    12    17     9     5    48       13    55    93    41    23   225
 1971     2    19     6     9     5    41        3   124    23    47    32   229
 1972     5     8     8    13     3    37       10    31    33    71    10   155
 1973     0    10     9    12     1    32        0    51    34    35     1   121
 1974     0     6    25     3     2    36        0    41   169     8     3   221
 1975     4     4    15    13     2    38       15    13    72    77     7   184
 1976     1     7    13    12     5    38        1    18    62    66    23   170
 1977     4     8    17     4     1    34        9    62   143    13     2   229
 1978     3     5     8     7    10    33        8    15    30    22    46   121
 1979     4     9     8    10     4    35       16    27    18    44     9   114
 1980     5     9    23    13     9    59        9    46   172    54    47   328
 1981     0    10    13     7     6    36        0    56    78    16    24   174
 1982     1     4    17     8     0    30        1     7    66    30     0   104
 1983     1     9    23    27     6    66        2    44   120   199    38   403
 1984     1     7    16    16     5    45        2    22    54    86    18   182
 1985     6     7     9     5     8    35       17    45    52    33    35   182
 1986     2    11    19     2     1    35        4    34    81     5     2   126
 1987    10    20    20     6     2    58       44   116    98    27     3   288
 1988     7    16    18    17     3    61       26   133   140   174    12   485
 1989     1     5    11     3     0    20        3    15    80    19     0   117
 1990     1     8     8     8     8    33        2    40    32    27    34   135
 1991     5    11    14     9     3    42       19    58    83    20     5   185
 1992     3     4     2     2     0    11       10     6     2     5     0    23
 1993     0     4     3     3     1    11        0     9     5     8     1    23
 1994     2     7     6     6     3    24        5    21    12    19    13    70
 1995     0     8    10    12     1    31        0    34    71    53     1   159
 1996     3     9     5     1     0    18        9    41    15     3     0    68
 1997     0     8    14     7     3    32        0    27    74    24    11   136
 1998     3     5    11     7     8    34       16    20    31    24    39   130
 1999     2     8    18     5     3    36        3    21   103    12     7   146
 2000     3     4     5     7     9    28        5    18    17    15    51   106
 2001     3     9    15     8     0    35       12    36    36    36     0   120
 2002     1    12    20     4     6    43        7    43    72    11    25   158
 2003     0     2     5    12     2    21        0     6    23    58     3    90
 2004     0     2     3     2     2     9        0     8     7     4     3    22
 2005     0     8    14     0     0    22        0    37    58     0     0    95
 **************************************************************************************
MEANS   2.4   8.3  12.7   8.9   3.4  35.7      7.8  39.8  63.9  42.8  14.3 168.6
