# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1277] CASTANA-EXP-FARM
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia1277 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     55     24     19     14    225    117     97     80
 1952     71     34     26     21    352    213    184    158
 1953    146     71     54     40    216    108     88     70
 1954     60     17     13     10    410    254    222    192
 1955    119     63     51     41    511    342    309    277
 1956    130     57     44     36    288    175    153    132
 1957    120     51     42     34    362    227    198    173
 1958     56     16      9      6    327    184    152    126
 1959    120     58     46     37    342    212    184    159
 1960     15      2      0      0    374    232    203    177
 1961     96     33     22     16    258    142    120    100
 1962     56     27     23     20    377    235    203    177
 1963    188    118    105     93    434    273    239    208
 1964     93     34     24     17    366    217    190    163
 1965     13      4      3      2    352    218    191    165
 1966    230    133    111     91    247    134    111     91
 1967    252    164    146    129    418    263    229    198
 1968    330    217    194    171    416    265    234    205
 1969     31      9      6      4    390    245    215    186
 1970     45     11      6      4    397    263    234    209
 1971    103     54     45     37    408    265    235    205
 1972    159     77     62     50    345    209    184    159
 1973    167     62     45     31    347    215    187    163
 1974    210    116     96     79    425    272    240    212
 1975     58     24     17     12    278    147    122    101
 1976    168    103     89     76    449    294    260    226
 1977    235    129    107     87    518    347    309    275
 1978    143     87     76     65    314    178    149    123
 1979     68     20     15     11    293    170    146    124
 1980    106     39     29     21    417    269    239    210
 1981    243    130    109     89    532    353    315    280
 1982    119     44     31     21    327    202    178    155
 1983    123     65     53     42    195    103     87     73
 1984     36      3      1      0    249    127    104     82
 1985    214    117     96     77    486    327    293    261
 1986    245    145    128    112    404    248    216    185
 1987    199    113     98     83    485    325    293    263
 1988    255    156    135    115    397    254    225    196
 1989    173    106     91     78    495    335    300    265
 1990    207    109     90     73    406    258    225    196
 1991    230    136    116     98    418    255    224    194
 1992    238    125    103     84    336    207    181    158
 1993     82     45     40     35    292    168    143    123
 1994    227    137    116     99    424    287    258    231
 1995    203    116     98     80    302    181    156    132
 1996    117     50     37     28    366    232    205    179
 1997    231    128    110     93    287    168    144    121
 1998    120     67     60     53    378    226    193    162
 1999    204    112     90     73    369    205    178    151
 2000    280    154    130    108    420    276    246    218
 2001     50     14      9      6    400    256    224    194
 2002     62     23     16     10    355    215    189    165
 2003    182    101     87     74    409    264    237    213
 2004    190     96     78     62    379    239    211    186
 2005    154     70     56     47    422    262    226    193
     ****************************  ****************************
 MEAN  145.9   76.7   63.7   52.6  370.7  230.1  201.4  174.9
 STDV   77.4   51.0   45.2   39.4   76.7   60.8   56.8   52.8

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    651    419    369    323    713    482    426    374
 1952    586    370    324    280    986    746    687    629
 1953    579    378    338    303    973    736    677    618
 1954    504    323    285    249    912    676    620    565
 1955    753    515    461    414    805    567    512    459
 1956    665    454    408    367    987    751    693    635
 1957    571    361    317    278    831    592    533    478
 1958    710    490    441    394    777    544    487    434
 1959    647    428    379    334    920    681    623    567
 1960    619    406    359    316    801    562    504    448
 1961    565    366    325    285    854    615    558    504
 1962    822    579    523    470    843    607    550    494
 1963    651    429    379    333    968    728    669    610
 1964    781    550    498    449    869    635    580    525
 1965    767    540    486    433    886    646    587    529
 1966    601    419    379    341    855    616    560    508
 1967    532    350    312    277    843    604    548    493
 1968    512    335    297    260    908    675    621    568
 1969    683    471    423    377    752    532    479    431
 1970    773    550    500    452    902    664    607    552
 1971    569    369    327    288    995    756    697    638
 1972    639    429    384    339    901    666    608    551
 1973    609    402    358    317    927    687    629    572
 1974    615    408    364    322    811    578    522    472
 1975    731    504    454    409    857    623    566    512
 1976    605    408    366    327    882    647    590    537
 1977    820    578    520    466    902    662    604    548
 1978    641    435    388    343    889    657    601    547
 1979    610    409    365    323    871    636    580    525
 1980    673    459    415    375    896    658    600    544
 1981    601    403    360    319    935    695    635    578
 1982    678    448    395    344    760    529    475    426
 1983    517    337    301    266    866    634    577    522
 1984    565    360    318    277    923    683    624    565
 1985    729    493    442    396    807    575    520    468
 1986    662    438    390    345    965    725    666    608
 1987    792    558    503    450    976    737    678    621
 1988    830    591    538    489   1000    761    702    644
 1989    690    479    432    389    858    623    567    513
 1990    587    374    328    284    959    723    665    607
 1991    774    553    502    451    978    738    678    618
 1992    672    462    417    372    873    635    576    517
 1993    630    411    361    316    841    602    545    491
 1994    743    521    471    424    964    725    666    607
 1995    558    341    298    258    886    648    590    534
 1996    560    355    310    266    931    693    636    580
 1997    556    363    323    285    957    717    657    598
 1998    808    568    511    460    833    602    547    493
 1999    678    445    395    347    867    630    574    518
 2000    781    545    492    444    883    646    590    534
 2001    641    408    359    313    848    610    553    499
 2002    519    347    311    277    973    733    673    613
