# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5796] MOUNT-PLEASANT
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.55   0.33   58(63)   18(20)    8( 9)    7( 8)    1( 1)    0       92
  2 3/8-->3/14       1.54   0.35   49(58)   16(19)   16(19)    4( 5)    0( 0)    0       85
  3 3/15-->3/21      2.25   0.31   48(59)   21(26)    8(10)    3( 4)    1( 1)    0       81
  4 3/22-->3/28      1.55   0.30   58(62)   18(19)   15(16)    3( 3)    0( 0)    0       94
  5 3/29-->4/4       2.30   0.32   77(65)   20(17)   12(10)    8( 7)    2( 2)    0      119
  6 4/5-->4/11       2.56   0.40   50(51)   23(23)   19(19)    6( 6)    1( 1)    0       99
  7 4/12-->4/18      1.62   0.40   49(45)   26(24)   23(21)   10( 9)    0( 0)    0      108
  8 4/19-->4/25      3.50   0.42   77(56)   26(19)   23(17)    7( 5)    5( 4)    0      138
  9 4/26-->5/2       1.86   0.32   64(55)   26(22)   23(20)    4( 3)    0( 0)    0      117
 10 5/3-->5/9        3.20   0.39   68(54)   30(24)   14(11)   13(10)    1( 1)    0      126
 11 5/10-->5/16      3.93   0.53   60(50)   23(19)   21(17)   11( 9)    6( 5)    0      121
 12 5/17-->5/23      1.80   0.29   70(59)   33(28)   13(11)    3( 3)    0( 0)    0      119
 13 5/24-->5/30      2.39   0.42   71(49)   31(22)   27(19)   13( 9)    2( 1)    0      144
 14 5/31-->6/6       2.25   0.41   60(56)   21(19)   15(14)   11(10)    1( 1)    0      108
 15 6/7-->6/13       3.50   0.54   52(43)   22(18)   27(22)   19(16)    2( 2)    0      122
