# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA3487] GRUNDY-CENTER
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia3487 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      9      0      0      0    209    110     90     76
 1952     56     25     21     18    372    236    209    185
 1953    123     47     34     24    189     86     68     55
 1954     51     16     11      7    411    249    217    186
 1955    112     54     42     31    460    291    255    223
 1956     66     25     18     12    291    178    154    131
 1957    103     41     29     21    370    223    193    169
 1958     64     18     11      7    324    186    155    131
 1959     66     27     22     17    299    173    148    127
 1960      6      0      0      0    364    226    198    174
 1961     65     27     20     15    201    104     83     66
 1962     32     20     18     16    295    175    153    133
 1963    166    110     97     84    374    230    199    169
 1964     88     40     30     22    316    191    166    142
 1965      6      0      0      0    256    148    127    106
 1966    198    102     83     65    223    107     87     69
 1967    189    115    101     88    364    219    187    157
 1968    257    160    139    119    412    261    228    197
 1969     22      6      4      2    316    177    147    120
 1970     43     10      6      4    346    219    193    168
 1971     41     19     15     11    349    220    193    169
 1972     90     35     28     23    245    127    105     88
 1973    173     71     53     39    256    140    120    101
 1974     83     30     22     15    349    208    177    151
 1975     17      1      0      0    192     95     80     67
 1976    131     67     57     48    382    227    196    166
 1977    201    101     82     65    470    312    279    248
 1978     73     35     28     21    262    144    121     99
 1979     47     16     11      6    221    117     97     77
 1980     55     17     12      9    316    196    174    153
 1981    180     88     71     57    383    234    203    176
 1982     56     18     13     10    236    140    119     99
 1983    105     56     46     38    170     91     79     68
 1984     16      0      0      0    240    121     96     75
 1985    154     69     54     40    426    280    252    224
 1986    148     83     72     62    369    228    198    169
 1987    157     82     68     56    393    263    237    214
 1988    150     75     61     48    310    187    159    134
 1989    110     63     54     45    313    181    155    132
 1990    176     90     73     57    318    194    168    144
 1991    142     74     62     51    344    206    180    154
 1992    130     59     47     35    232    123    104     87
 1993     23      7      5      4    213    109     89     73
 1994    127     59     48     40    339    223    198    173
 1995    155     80     66     54    216    118     97     78
 1996     94     39     30     24    263    162    141    122
 1997    128     60     47     37    261    164    142    121
 1998    104     60     53     46    313    178    150    125
 1999    130     60     49     38    299    165    139    115
 2000    235    137    117     99    323    201    179    158
 2001     24      2      0      0    411    261    228    199
 2002     85     29     21     15    317    194    167    143
 2003    149     85     74     63    372    247    221    196
 2004    173     88     71     55    382    238    207    179
 2005    119     56     49     43    439    274    238    204
     ****************************  ****************************
 MEAN  103.7   50.1   40.8   32.8  314.8  188.3  162.6  139.4
 STDV   61.9   37.5   32.4   27.5   74.6   56.5   52.2   47.7

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    659    450    403    359    726    492    438    386
 1952    550    345    303    263    958    718    659    602
 1953    593    384    340    301    906    668    609    550
 1954    503    326    286    248    923    687    630    575
 1955    705    480    434    391    788    554    498    446
 1956    646    439    395    352    957    720    663    606
 1957    563    351    306    268    827    588    531    474
 1958    650    446    402    358    729    493    439    389
 1959    659    445    396    351    866    627    570    518
 1960    592    383    336    293    775    541    487    438
 1961    540    352    314    279    837    605    553    504
 1962    768    538    486    436    797    560    505    452
 1963    585    391    351    311    915    679    621    563
 1964    713    492    445    402    843    612    558    505
 1965    697    486    436    390    798    568    515    465
 1966    502    350    315    284    791    567    516    466
 1967    521    347    307    271    848    609    552    497
 1968    486    319    284    251    884    647    590    536
 1969    599    392    347    306    692    466    417    371
 1970    686    472    425    380    858    621    564    510
 1971    506    321    285    251    983    743    683    623
 1972    644    430    384    339    783    552    499    447
 1973    500    303    260    220    894    654    594    535
 1974    497    310    272    235    762    526    474    422
 1975    663    452    407    364    845    608    553    499
 1976    532    339    296    257    851    612    555    501
 1977    819    582    525    471    867    630    571    513
 1978    598    391    348    306    859    624    569    517
 1979    553    363    323    286    823    586    529    474
 1980    638    431    387    345    842    602    546    492
 1981    537    345    304    266    853    613    553    493
 1982    678    451    397    346    698    468    418    372
 1983    452    264    228    196    862    626    570    516
 1984    493    309    274    240    870    631    573    515
 1985    685    460    411    366    746    510    458    409
 1986    602    383    337    293    887    647    589    532
 1987    733    521    476    432    938    702    644    587
 1988    736    522    478    436    911    679    622    567
 1989    573    384    340    300    783    555    501    450
 1990    503    309    267    229    883    647    588    531
 1991    724    506    458    412    985    745    685    625
 1992    615    418    377    339    821    587    531    479
 1993    573    364    319    278    796    566    511    457
 1994    607    415    377    340    910    673    615    558
 1995    509    310    273    237    889    649    590    535
 1996    492    292    251    214    848    611    553    497
 1997    433    271    241    211    903    664    606    549
 1998    754    515    461    412    799    569    515    461
 1999    647    419    369    323    883    646    589    532
 2000    698    482    433    385    814    579    524    470
 2001    640    410    360    316    835    599    544    490
 2002    532    350    312    276    926    686    629    573
 2003    537    333    295    261    821    582    523    467
 2004    626    417    369    323    803    568    511    460
 2005    539    339    297    259    961    721    661    602
     ****************************  ****************************
 MEAN  601.5  398.2  354.6  313.8  848.2  612.4  556.2  501.9
 STDV   89.2   74.8   70.6   66.4   68.5   66.3   64.2   61.5

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    956    708    646    586    886    638    576    518
 1952   1018    771    710    649    885    638    580    525
 1953    996    748    686    627    960    712    650    589
 1954   1073    825    763    701    934    686    624    563
 1955   1126    878    816    754   1040    792    730    669
 1956    944    696    634    572    950    705    646    589
 1957   1081    833    771    709    952    704    643    582
 1958    888    640    578    517    949    706    647    590
 1959    940    692    631    572   1041    793    731    669
 1960    938    691    631    576    949    701    640    580
 1961    955    707    645    583    927    679    618    560
 1962    883    638    578    522    910    663    606    550
 1963    956    708    646    584    851    611    554    499
 1964   1001    753    692    631    802    576    525    474
 1965    933    686    626    568    811    572    515    462
 1966    985    737    678    619    802    568    517    468
 1967    916    671    613    557    833    593    538    485
 1968    954    706    644    586    902    654    593    536
 1969    994    746    684    622    949    701    639    581
 1970    973    728    669    612    922    675    615    556
 1971    887    645    588    531    868    627    569    517
 1972    921    675    616    558    928    681    621    563
 1973    993    745    683    621    964    716    654    592
 1974   1059    811    749    688    832    590    534    481
 1975    982    737    676    619    983    735    673    612
 1976    995    748    687    628    892    649    592    535
 1977   1026    778    716    654    828    583    527    475
 1978    962    714    652    591    928    684    625    566
 1979    964    716    654    593    902    655    595    538
 1980   1046    798    736    674    978    730    668    606
 1981    971    723    661    601    892    647    590    533
 1982   1002    754    692    630    886    644    585    529
 1983   1079    831    769    707   1075    827    765    703
 1984    921    675    614    553    970    722    662    604
 1985    951    703    641    581    806    562    504    448
 1986   1022    774    712    650    809    571    513    458
 1987   1054    806    744    683    890    643    584    528
 1988   1004    757    696    636    993    754    696    638
 1989   1020    772    710    648    922    674    614    557
 1990    973    725    663    601    964    716    654    594
 1991    991    743    682    623    948    701    641    581
 1992    858    610    549    489    780    545    494    444
 1993    966    718    656    594    950    702    641    580
 1994    925    677    615    553    834    590    534    483
 1995   1003    755    693    633   1085    837    775    713
 1996    933    686    625    565    904    656    595    538
 1997    986    738    679    620    879    631    569    510
 1998   1026    778    716    655   1013    765    703    641
 1999   1096    848    786    724    919    671    610    549
 2000    972    724    663    603    981    733    671    609
 2001   1032    784    722    661    953    705    644    584
 2002   1068    820    758    696    913    667    606    545
 2003    975    727    665    603    986    738    676    614
 2004    910    663    603    546    784    551    498    449
 2005   1009    761    699    638      0      0      0      0
     ****************************  ****************************
 MEAN  983.5  736.0  674.7  614.5  899.9  659.4  601.3  544.8
 STDV   57.1   56.6   56.1   55.1  142.7  113.4  105.7   97.8

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    576    372    328    285    396    237    205    177
 1952    702    493    449    408    331    207    182    157
 1953    692    493    451    409    562    388    348    308
 1954    736    507    453    401    395    234    200    167
 1955    742    528    478    433    432    273    239    205
 1956    632    427    382    342    564    370    330    294
 1957    600    386    342    302    336    183    152    122
 1958    682    462    416    374    490    323    286    250
 1959    658    454    409    365    286    148    119     95
 1960    673    469    424    380    370    237    208    183
 1961    606    408    363    321    431    263    230    199
 1962    577    398    358    319    467    292    255    223
 1963    665    458    414    374    625    437    396    357
 1964    616    418    375    333    365    231    201    173
 1965    528    347    306    269    411    259    224    191
 1966    569    401    364    329    398    262    230    199
 1967    612    416    374    334    373    227    201    175
 1968    635    429    385    344    426    270    235    203
 1969    653    444    401    362    324    190    165    143
 1970    659    447    403    359    387    223    190    159
 1971    714    510    464    420    549    365    322    283
 1972    688    477    426    378    291    164    141    121
 1973    651    430    384    339    518    337    298    261
 1974    529    361    322    283    391    226    191    160
 1975    574    380    337    296    474    322    288    254
 1976    608    427    389    353    292    174    153    135
 1977    694    467    416    367    314    175    146    118
 1978    791    569    516    466    335    193    159    128
 1979    703    500    457    416    378    228    197    168
 1980    700    488    440    392    303    182    158    135
 1981    647    439    392    346    344    199    170    143
 1982    647    441    393    347    418    257    225    195
 1983    674    468    420    379    358    203    172    144
 1984    619    418    372    331    426    259    221    183
 1985    676    473    426    380    339    194    163    134
 1986    721    494    440    388    377    217    185    153
 1987    661    440    395    353    299    166    139    114
 1988    705    501    457    413    301    171    145    120
 1989    603    410    366    324    428    279    248    217
 1990    758    541    494    448    370    224    195    166
 1991    653    462    416    374    345    211    185    161
 1992    593    407    364    323    393    245    215    188
 1993    497    305    266    228    361    216    186    157
 1994    699    481    433    386    449    273    235    201
 1995    601    412    369    328    375    227    197    170
 1996    621    420    375    333    411    253    219    185
 1997    692    484    437    392    415    271    239    211
 1998    802    577    525    475    408    234    199    168
 1999    633    445    405    367    401    261    230    199
 2000    707    505    460    418    502    316    280    245
