# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0608] BELLEVUE-L-AND-D-12
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0608 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     50     11      5      1    235    115     92     71
 1952     57     20     16     12    358    222    197    174
 1953    125     52     39     29    214     98     74     57
 1954     80     25     19     13    428    259    225    194
 1955    120     55     42     32    473    292    254    218
 1956     76     27     20     13    294    165    138    113
 1957     97     32     23     17    385    231    202    174
 1958     65     17     11      7    338    191    160    131
 1959     76     29     25     21    324    180    152    126
 1960     24      9      6      4    398    243    210    182
 1961     91     37     29     24    214     99     80     62
 1962     65     32     28     24    329    198    174    151
 1963    159     98     86     75    404    247    213    180
 1964     90     34     24     15    366    215    188    161
 1965     14      3      1      0    240    125    103     84
 1966    168     73     52     35    245    122     99     79
 1967    129     69     56     45    336    189    157    133
 1968    249    138    118     99    393    239    205    175
 1969     89     44     36     28    353    197    164    131
 1970     56      5      2      1    382    240    208    180
 1971     74     36     31     26    377    233    204    176
 1972     71     27     20     15    260    139    115     95
 1973    193     74     57     41    302    163    138    115
 1974    121     45     37     31    391    239    207    177
 1975     53     16     10      4    240    127    106     89
 1976    175     92     77     64    407    255    219    185
 1977    208    103     84     68    522    345    308    275
 1978     78     35     28     23    332    191    162    135
 1979     74     33     24     19    246    132    110     91
 1980     60     17     11      6    348    206    177    151
 1981    188     98     81     67    463    282    245    212
 1982     82     30     23     16    287    168    145    122
 1983    122     60     49     39    240    125    105     89
 1984     42      5      1      0    311    169    140    112
 1985    172     72     54     40    503    342    308    276
 1986    160     86     75     65    413    259    227    196
 1987    149     76     63     52    384    236    208    183
 1988    126     58     44     31    313    185    160    137
 1989    110     59     50     44    302    164    136    112
 1990    170     81     67     55    339    211    185    160
 1991    138     73     62     53    335    201    172    147
 1992    132     58     46     35    215    109     90     72
 1993     54     22     18     14    208    107     89     72
 1994    110     49     38     31    335    210    180    154
 1995    168     93     77     63    223    117     95     75
 1996     79     26     17     11    259    150    131    114
 1997    123     56     47     39    249    146    122    101
 1998    135     83     74     66    309    167    138    114
 1999    109     47     38     30    340    189    157    128
 2000    225    126    109     93    303    183    159    137
 2001     59     13      8      4    412    257    223    194
 2002     89     32     22     15    326    202    178    156
 2003    132     65     53     44    362    238    213    188
 2004    182     87     70     55    377    230    198    169
 2005    114     58     50     42    431    274    241    210
     ****************************  ****************************
 MEAN  111.9   50.9   41.0   32.7  334.1  196.7  168.8  143.5
 STDV   52.1   31.7   27.6   23.9   76.5   58.7   54.4   50.1

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
