# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0385] AUDUBON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   6   9  14   8   7   7   9   4   3   3   7  80
1952     4   4  10   0   4   8   4   8   4   0   2   3  51
1953     5   0   4  10   0   9   7   6   2   3   2   0  48
1954     0   4   6   9   8  12   8  15   2   9   1   3  77
1955     4   4   5   7   6  10   6   4   6   1   3   4  60
1956     3   3   2   9  10   9  13  12   4   5   7   4  81
1957     4   3   5   7  12  11   4   8   8   8   8   3  81
1958     4   4   5   9   7   8  12  11   8   1   4   4  77
1959     9   8  13  10  15   5   6   9  13  12   6   7 113
1960     9   8  14   9   9   7   9  11   6   2   2   7  93
1961     2   6  11  12  10  11  14  10  11   4   7  12 110
1962     5  13  10   7  14  10   6   7   8   9   5   6 100
1963    10   9  10   9  12   9   7  12  10   6   5   4 103
1964     5   6   9  13  10  10  12  15  10   3   8   7 108
1965    10   7  11  13  13  12  11  10  16   3   4   5 115
1966     5   4   6   5   7  11   7   7   6   2   2   3  65
1967     6   4   4   7   7  17   6   5   6   8   3   4  77
1968     5   4   6  13  10   7   9  14  12   8   6   8 102
1969     7   8   5  10  14  10  11   6   5  11   3   6  96
1970     5   2  10   6  10   6   9   6  11  10   9   6  90
1971     3   6   7   7  13  10  10   6   5  12  11   9  99
1972     4   8  11  10  16   7  10   8  12   7  11   5 109
1973     6   5  15  10  12   7  12   6  13   7   6   9 108
1974     6   4   6   8  15   6   7  11   4   7   7   8  89
1975    11   6   7  10   9  15   4   8   9   2  13   2  96
1976     3   4   6  12   6  10   8   3   7   6   1   4  70
1977     7   6  13  10  11   8   8  17  12  12   9   9 122
1978     3   6   4  15  10   6  10   7   8   6   7  10  92
1979     9   5   9   9   5   8  12   6   6   5   7   2  83
1980     8   5   4   5  10  10  10  14   5   3   2   6  82
1981     2   5   6   9   7   7  10  11   5   5   6   9  82
1982    11   4  10  10  20  11  10  11   9  10   8   8 122
1983     9   6  15  10  18  10   6   4   7   9  10  11 115
1984     3   2   9  13  11  16  10   6   8  15   4  10 107
1985     4   6   6   8  12  13   7  11  14  11  13   6 111
1986     1   6   6  15  12  12   8   6  12  10   6   4  98
1987     0   4  10   6  12   4  11  15   9   4   7   8  90
1988     3   2   3   6   7   5   6   4   8   1   9   5  59
1989     6   6   7   8   5   9   5   8   7   8   3   8  80
1990     2   4  12   8   8  11  13   9   6   6   5   6  90
1991     5   2  12  12  13   8   9  10   7   8  12   7 105
1992     9   7   7  11   6   7  16   8  13   4  10  10 108
1993     8   6   5   9  17  15  18  12   7   5   4   5 111
1994     8   4   2   8   6  13   7  12   5   6   8   5  84
1995     6   3   8  13  14  10   8  10  10   9   6   6 103
1996     7   1   5   5  15  10   8   9   6   6   7   7  86
1997     6   3   6  11  10   7   5   8   6   7   7   8  84
1998     3  14  14  13   9  17   7  13   3   9   5   2 109
1999     5   8   4  13  13  10  10   5   5   3   4   7  87
2000     4   7   6   7   8  10  10   7   3   9   5  13  89
2001     9   9   3  10  17   9   7   8   7   7   4   5  95
2002     3   5   7  14  11   5   8  11   8  13   2   2  89
2003     7   5   6  15  16  14   9   2   7   5   8   7 101
2004     7   7  14   4  14  13  17  10   6   7   9   4 112
2005    15  10   4  11   8  15   7   0   0   0   0   0  70
STDDEV   3   3   3   3   4   3   3   4   3   4   3   3  17
AVG      6   5   8  10  11  10   9   9   7   6   6   6  92
