# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4063] INDIANOLA-2-SSW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     3   9  13  16  11  14   9  10   5  10   4   6 110
1952     6   6  13   8  12  10   6  11   3   0   5   6  86
1953     4   9  12  12   8  12   7   5   2   2   2   7  82
1954     3   4   9  10  10  10   5  13   7   8   3   8  90
1955     7   7   6  10   9   7   4   4   6   8   5   3  76
1956     6   6   5   7   9   9  11  14   4   4   8   7  90
1957     7   4   8  10  11  17   5  12   8   6   9   8 105
1958     7   4   4  11  10   9  13   6   9   1   5   2  81
1959     6   5   7   7  15   4  11  10   9  11   6  10 101
1960     6  10  12  10  12  12   6   7   6   6   2   3  92
1961     5   8  11  11   9   9  14   6  11   8   6  11 109
1962     7  10  11  10  10   5   8   7   8  10   6   3  95
1963     9   7   9  11  11   7  10   8   7   4   4   6  93
1964     3   6   6  12  11  11   9  12  13   2   8   6  99
1965     9   8  11  12  11  10   3   8  14   2   5   5  98
1966     3   3   5   9  10  12   9   5   6   4   5   4  75
1967     4   3   6   9  10  16   5   8   7  10   5  15  98
1968     2   3   3  11  11   7   9  12  12   8   5   8  91
1969     9   4   6  11  12  10  11   6   8  12   1   7  97
1970     5   1   8   9   9   9   7   8  15   9   7   3  90
1971     1   6   2   5  12   9   7   4   5  10  12   7  80
1972     2   5   8  10  11   5   8   6  10   9   8   6  88
1973     5   5  11  10  11   6  15   6  16   7   5   7 104
1974     8   2   8   8  17   9   6  12   8   9  10   7 104
1975     5   7   8  14  11  16   1  11  10   1   9   4  97
1976     1   6   7  10   9   7   5   3   6   6   1   0  61
1977     4   2  11   6   8   4   7  13  12  11   7   5  90
1978     5   6   4  11  11   9   9   8   6   9   8   5  91
1979     8   2   7  14   8  13   9   7   3   5   5   3  84
1980     6   4   6   6   7   9   7  11   7   5   2   3  73
1981     0   6   5   9   6  12  12   9   7   9   8   8  91
1982    11   4  11   9  16   7  11   8   7   8   6   5 103
1983     6   6   8  11  15  10   4   6   0   0   7  11  84
1984     4   6  10  15  10  15  10   1   5  14   7  11 108
1985     7   7   7   3  10   8   9   7  10   9  15   7  99
1986     2   4   6  11  16   7   9   6  11   6   2   0  80
1987     2   0   5   8   9   9   8   0   0   0   0   6  47
1988     0   0   0   0   3   7   4   6   8   4  10   3  45
1989     6   8   4   6  10   9   8   9   6   7   1   4  78
1990     5   5  12   9  11  10  14   8   4   6   6   5  95
1991     4   2  11  14  14   7   8   9   5   8  14   7 103
1992     8   7   7  13   6   6  15   5  11   2  14   8 102
1993     6  10  13  11  15  16  15  12   9   4   6   6 123
1994     7   9   1   7   7  10   7  11   7   6   9   4  85
1995     6   4   7  13  13  14   7   6  11   8   6   4  99
1996     8   4   5   4  19  13   8   8   6   8   9   4  96
1997     5   5   1  11  11   8   6   8   8   7   5   8  83
1998     5  13  12  12  12  17   6  10   6  11   5   2 111
1999     6   6   3  13  14   9   9   7   5   3   2   5  82
2000     5   7   5  10  14  14  11   8   7   6   6  14 107
2001    12   9   6  11  20  13  10   9   8  11   6   7 122
2002     9  10  13  15  16  10  12  13   7  18   6   6 135
2003     9   7  12  15  19  13  10   5   7   5   8  11 121
2004     9  11  15   5  17  17  18  15   5  16  15   8 151
2005    12  11  10  12  13  12   7   0   0   0   0   0  77
STDDEV   3   3   4   3   3   3   3   3   3   4   4   3  18
AVG      6   6   8  10  11  10   9   8   7   7   6   6  94
