# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2977] FOREST-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2977
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     7     1     0     8        0     0    14     5     0    19
 1952     3    11     9     5     8    36        7    25    39     9    21   101
 1953     2    11     6    10     2    31       11    60    25    51    14   161
 1954     0    10    15     3     4    32        0    39    61     7     6   113
 1955     4     2    20    19     6    51        7     7   129   159    41   343
 1956     2    18     4     9     3    36        5    81    14    37     7   144
 1957     0     3    18     7     1    29        0     5   107    23     1   136
 1958     0     4     3    17     1    25        0    11     6    73     2    92
 1959     3     9     8    15     3    38        4    35    28    76    11   154
 1960     0     1    14    12     7    34        0     1    77    39    47   164
 1961     1     8     4    10     2    25        5    38     6    30     6    85
 1962     6     6     7     5     1    25       14    24    21    11     3    73
 1963     0     9     5     5     1    20        0    47    17     9     1    74
 1964     4    11    20     7     1    43       15    47   101    38     3   204
 1965     1     5     8     9     0    23        1     8    34    43     0    86
 1966     2     7    18     3     0    30        5    16    75     6     0   102
 1967     3     1     9     2     0    15       18     5    19     3     0    45
 1968     0     9     6    10     0    25        0    41    13    55     0   109
 1969     4     2     7    14     0    27       15     9    28    28     0    80
 1970     5     9    11     4     4    33       10    47    39    13    12   121
 1971     0    15     4     7     5    31        0    63     9    32    25   129
 1972     6     2     6    13     0    27       14     5    23    72     0   114
 1973     0     9    10    12     0    31        0    30    43    33     0   106
 1974     0     5    20     1     0    26        0    13   114     2     0   129
 1975     5     5    18    12     2    42       16    17    79    31     3   146
 1976     0     7    13    11     3    34        0    20    63    48    12   143
 1977     7    10    16     5     1    39       14    54   101     9     2   180
 1978     4     6    10    10    10    40       13    25    28    29    45   140
 1979     2     5     4     4     0    15        5    13    10    14     0    42
 1980     5     9    15     4     3    36       15    44    77    18     7   161
 1981     0     2    11     0     1    14        0     7    41     0     3    51
 1982     0     1     6     3     0    10        0     2    30    18     0    50
 1983     0     6    14    14     5    39        0    21    52    60    10   143
 1984     0     2     6    13     5    26        0     4    17    59    16    96
 1985     1     3     5     2     2    13        1    23    12     6     7    49
 1986     0     7    10     2     1    20        0    29    41     6     1    77
 1987     5    15    18     3     1    42       20    71    73    13     1   178
 1988     4    16    14    11     3    48       15    88    81    92     9   285
 1989     1     4    12     7     0    24        1    22    64    25     0   112
 1990     1     8     4     4     3    20        1    24    19     9     8    61
 1991     1    10     8     3     0    22        3    51    41     5     0   100
 1992     1     4     1     2     0     8        6    11     1     4     0    22
 1993     0     0     1     3     0     4        0     0     2     5     0     7
 1994     2     5     1     2     3    13        4    19     1     3    10    37
 1995     0     9    10    17     0    36        0    40    66    56     0   162
 1996     3     8     2     1     0    14        5    27     4     3     0    39
 1997     0     9    13     2     0    24        0    24    49     8     0    81
 1998     6     3     6     4     7    26       14    15    17     7    32    85
 1999     1     5    15     2     2    25        2    12    84     6     6   110
 2000     0     2     2     1     5    10        0    11     5     4    15    35
 2001     2     9    12     9     0    32       10    32    42    46     0   130
 2002     1     8    17     2     4    32        5    25    65     3    15   113
 2003     0     3     5    12     6    26        0     9    15    61    17   102
 2004     1     1     2     0     0     4        1     4     3     0     0     8
 2005     0     7    13     0     0    20        0    22    44     0     0    66
 **************************************************************************************
MEANS   1.8   6.5   9.5   6.6   2.1  26.5      5.1  25.9  41.3  27.3   7.6 107.2
