# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2789] FAIRFIELD
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2789
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     4    13     6     1    24        0    11    45    33     2    91
 1952     3    19    20    12     6    60        9   122   122    33    25   311
 1953     4    16    18    19    10    67       23    99   157   187    95   561
 1954     0    21    26    13     7    67        0   129   203    72    47   451
 1955     1     4    27    24     9    65        2    15   217   207    63   504
 1956     9    19    19    16    11    74       31   131   138    81    39   420
 1957     0     8    23    13     1    45        0    24   150    77     4   255
 1958     1     6     2    17     2    28        2    22     3    77     5   109
 1959     4    12    13    21     6    56        7    43    45   105    24   224
 1960     0     4    13    18     8    43        0    10    56    69    84   219
 1961     1    13    13    15     8    50        1    58    49    63    34   205
 1962    11    12    11    15     3    52       28    40    41    76    15   200
 1963     2    20    22    12     5    61       11   141    96    50    15   313
 1964     5    12    20    10     5    52       18    67   124    68    21   298
 1965     6     4     9    11     1    31       11    13    47    63     3   137
 1966     4     9    22    10     2    47        9    39   183    36     6   273
 1967     4     3    14     5     0    26       17     9    57     9     0    92
 1968     2    15    14    12     1    44        3    64    58    72     2   199
 1969     2     5    13    11     0    31       10    20    58    37     0   125
 1970     2     7    20     9     3    41        3    33   125    28     4   193
 1971     0    20     9    13    11    53        0   111    28    63    46   248
 1972     6    10    14    13     5    48       19    40    73    88    20   240
 1973     0     9    16    16     2    43        0    34    68    66     7   175
 1974     0     5    18     5     0    28        0    17   149    15     0   181
 1975     6    12    22    13     2    55       17    48   126    82     8   281
 1976     0    12    18    10     4    44        0    34   119    44     6   203
 1977     7    13    25     9     1    55       23    81   234    31     2   371
 1978     3    13    18    17    12    63       15    61    80    68    66   290
 1979     4     8    17    14     8    51       13    28    52    84    18   195
 1980     7    10    24    20     6    67       17    42   193   133    25   410
 1981     0     9    13    10     6    38        0    25    80    33    14   152
 1982     0     3    21     8     3    35        0     7    90    55     4   156
 1983     0    19    28    27    10    84        0   100   291   281    48   720
 1984     1    15    18    23     9    66        2    49   108   151    55   365
 1985     3     8    19     4    10    44       18    48    68    16    64   214
 1986     0    10    20     4     3    37        0    55    80     9     3   147
 1987     6    17    26    15     1    65       16   108   208    99     2   433
 1988     5    21    25    21     6    78       16   163   218   244    19   660
 1989     3     4    15     9     0    31        7    14   101    32     0   154
 1990     0     8    12    10     9    39        0    19    65    59    57   200
 1991     6    14    19    14     9    62       15    63   148    79    39   344
 1992     1     9     6     5     0    21        2    22    17    17     0    58
 1993     0     5    10    13     1    29        0    14    29    56     3   102
 1994     1    10    11    12     5    39        1    43    45    52    17   158
 1995     0     9    14    21     0    44        0    33    85   113     0   231
 1996     3    11     8     6     0    28        8    38    37    28     0   111
 1997     2     5    14     9     3    33        3    12    83    36     8   142
 1998     2     7    11     9     9    38        4    32    38    29    29   132
 1999     0     7    24     9     7    47        0    17   209    25    33   284
 2000     2     7     6    16    11    42        6    15    18    60    69   168
 2001     0     9    22    13     3    47        0    29   131    81    10   251
 2002     2    14    25    12    10    63        2    50   179    84    51   366
 2003     1     3    13    15     1    33        1    16    80   138     1   236
 2004     4     4     5     4     1    18        6     7    21    16     1    51
 2005     0    13    20     0     0    33        0    67   153     0     0   220
 **************************************************************************************
MEANS   2.5  10.3  16.7  12.5   4.7  46.6      7.2  47.9 103.2  71.1  22.1 251.4
