# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2171] DENISON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia2171 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     46     19     14     10    220    113     93     76
 1952     66     34     28     24    347    218    191    167
 1953    145     67     53     40    219    107     87     71
 1954     62     18     13      9    419    267    237    207
 1955    124     65     54     43    505    340    306    274
 1956    134     60     47     36    306    195    172    149
 1957    124     54     43     35    340    214    190    167
 1958     56     15      9      6    331    189    158    130
 1959    109     47     34     27    336    203    178    155
 1960     15      3      2      1    389    243    212    182
 1961     96     36     28     21    253    140    118    100
 1962     68     32     27     22    355    218    188    162
 1963    188    119    107     95    416    260    225    193
 1964     81     32     24     18    356    207    179    152
 1965      9      4      3      2    327    195    168    143
 1966    234    132    109     90    234    124    102     81
 1967    243    157    138    120    398    247    215    183
 1968    309    194    171    150    399    247    213    183
 1969     29      6      3      1    361    212    182    154
 1970     37      7      4      2    389    256    228    202
 1971    105     56     46     37    405    255    224    195
 1972    136     67     54     43    313    173    147    124
 1973    148     55     42     31    336    203    174    147
 1974    162     76     60     50    414    259    225    195
 1975     43     12      6      4    262    140    117     96
 1976    169     97     83     71    473    308    272    237
 1977    232    125    101     82    549    373    335    297
 1978    119     69     58     49    294    157    128    105
 1979     61     22     17     13    275    156    134    113
 1980     89     37     27     20    393    245    217    191
 1981    223    115     95     75    512    335    298    262
 1982     83     25     18     13    286    169    147    125
 1983    101     51     41     33    152     82     69     58
 1984     32      2      1      0    246    121     98     78
 1985    201    108     87     68    498    330    294    261
 1986    250    148    128    112    409    245    211    179
 1987    215    120    103     88    498    331    296    263
 1988    221    132    113     96    366    232    203    176
 1989    158     94     80     68    426    278    245    214
 1990    189     99     81     65    370    229    198    170
 1991    198    111     94     78    373    217    188    159
 1992    192     92     76     61    295    170    147    127
 1993     65     34     29     24    245    130    109     91
 1994    179    103     88     75    345    224    198    172
 1995    163     81     67     53    235    129    109     91
 1996    101     41     33     26    288    169    143    119
 1997    157     80     65     53    215    114     95     76
 1998     95     51     45     39    304    173    145    120
 1999    139     65     52     41    290    150    125    101
 2000    243    134    112     92    334    214    191    168
 2001     49     14      9      6    395    251    219    190
 2002     68     26     19     13    349    213    187    161
 2003    174     95     82     70    402    259    233    209
 2004    196    100     81     63    392    245    216    189
 2005    154     77     61     49    430    267    230    195
     ****************************  ****************************
 MEAN  132.5   67.5   55.7   45.7  350.3  213.5  185.6  159.7
 STDV   71.0   45.6   39.9   34.6   84.5   65.5   60.7   55.8

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    657    438    386    338    721    491    435    382
 1952    579    371    326    285    964    726    668    610
 1953    603    402    360    320    966    729    670    612
 1954    509    338    300    265    931    697    641    585
 1955    713    489    443    398    785    552    500    449
 1956    669    455    410    368    985    750    692    634
 1957    569    358    314    274    819    582    524    468
 1958    703    492    444    399    798    563    507    454
 1959    661    439    389    341    928    688    629    574
 1960    627    417    369    326    794    557    502    449
 1961    561    360    317    278    825    588    534    482
 1962    806    568    512    461    832    596    539    483
 1963    628    408    358    312    985    745    685    626
 1964    785    552    500    450    861    631    576    521
 1965    768    543    488    435    871    631    572    515
 1966    572    391    354    318    868    629    572    518
 1967    537    349    311    276    846    609    552    496
 1968    521    328    289    253    932    694    637    581
 1969    666    452    404    357    754    530    477    427
 1970    763    541    490    440    897    658    599    543
 1971    558    354    312    275    997    757    698    639
 1972    661    446    400    356    881    644    586    531
 1973    601    394    348    304    937    697    637    578
 1974    604    392    347    306    850    613    556    500
 1975    725    495    446    400    861    621    563    508
 1976    613    408    364    323    910    670    612    556
 1977    862    619    560    502    951    711    651    591
 1978    588    385    341    301    887    653    597    541
 1979    617    415    370    330    876    639    582    526
 1980    669    454    406    359    879    641    583    525
 1981    579    383    342    302    935    695    635    577
 1982    633    406    355    305    730    500    448    397
 1983    442    282    247    215    821    588    534    482
 1984    582    373    329    286    933    693    633    574
 1985    780    535    480    428    840    603    547    492
 1986    680    444    393    346    964    724    664    604
 1987    824    583    527    472   1007    767    708    649
 1988    848    605    547    492   1004    764    704    645
 1989    663    449    402    356    833    596    539    483
 1990    547    340    295    251    927    690    632    574
 1991    742    524    473    424    950    710    650    590
 1992    638    430    384    338    845    606    547    490
