# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0213] ANAMOSA-1-WNW
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia0213 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     31      4      2      0    247    131    107     83
 1952     64     29     23     19    360    232    206    183
 1953    119     49     36     25    208     95     74     58
 1954     82     27     20     14    429    264    233    204
 1955    131     67     54     41    481    307    269    234
 1956     84     33     25     18    304    179    153    128
 1957    114     42     31     22    370    226    197    170
 1958     74     23     14      7    344    202    169    140
 1959     91     42     34     28    326    188    160    134
 1960     22      6      4      3    396    244    212    183
 1961     84     36     28     22    205    101     83     66
 1962     67     34     29     25    324    194    170    147
 1963    173    105     92     80    392    246    212    181
 1964     88     36     25     17    327    203    177    152
 1965     17      3      2      1    276    153    129    107
 1966    182     90     70     53    254    133    109     88
 1967    163     95     80     65    348    204    172    143
 1968    257    150    130    111    391    244    213    183
 1969     77     38     31     24    377    218    186    155
 1970     66     15      9      7    397    259    229    199
 1971     71     38     33     28    393    253    225    198
 1972    103     48     39     32    316    186    161    137
 1973    234    108     85     67    321    189    164    140
 1974    117     48     39     31    422    268    235    204
 1975     53     14      7      4    263    147    127    108
 1976    180     95     80     67    438    287    253    219
 1977    222    116     98     82    523    354    315    282
 1978     85     38     30     24    334    199    169    142
 1979     72     30     23     16    258    141    120    100
 1980     97     34     26     19    385    246    219    195
 1981    221    118     98     82    482    307    272    239
 1982     95     30     22     16    291    180    156    133
 1983    132     64     52     43    222    122    105     91
 1984     48     12      9      6    321    179    150    122
 1985    175     78     60     45    484    335    303    272
 1986    205    123    106     93    472    311    276    243
 1987    190     93     77     64    475    323    293    264
 1988    176     87     70     53    365    232    204    176
 1989    127     73     65     57    361    211    180    151
 1990    208    106     88     72    382    236    206    178
 1991    177     88     73     62    406    257    223    191
 1992    185     91     74     59    312    179    156    134
 1993     67     29     22     16    283    152    126    104
 1994    159     77     63     51    415    274    243    215
 1995    198    112     94     79    281    150    123     98
 1996    105     42     31     23    343    208    179    155
 1997    157     73     60     48    286    173    150    127
 1998    161    100     89     79    369    212    180    152
 1999    148     69     54     42    350    203    171    140
 2000    233    133    111     95    322    196    172    151
 2001     44     10      6      3    426    269    237    207
 2002     97     36     24     15    318    198    174    152
 2003    138     76     65     55    378    248    220    194
 2004    179     88     70     56    383    237    203    173
 2005    122     60     50     42    429    273    241    209
     ****************************  ****************************
 MEAN  126.7   61.1   49.7   40.1  355.7  217.4  188.9  162.4
 STDV   60.4   37.2   32.3   28.1   73.5   58.7   54.7   51.0

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    677    464    415    369    751    516    460    406
 1952    558    362    319    279    939    703    646    592
 1953    581    382    344    306    919    682    623    567
 1954    476    309    272    238    923    690    635    582
 1955    690    483    436    391    760    527    476    426
 1956    645    440    395    351    934    701    645    590
 1957    578    370    326    285    852    618    561    505
 1958    661    467    423    381    734    497    444    396
 1959    723    504    454    405    888    651    594    538
 1960    576    369    323    282    786    552    497    444
 1961    529    348    310    274    819    597    548    500
 1962    779    551    498    445    828    594    539    488
 1963    570    375    335    297    875    645    590    541
 1964    735    521    476    434    831    606    554    502
 1965    717    504    457    411    800    565    512    463
 1966    507    339    303    273    828    599    546    496
 1967    494    321    287    254    852    624    571    519
 1968    530    342    305    270    878    643    588    533
 1969    667    463    416    373    740    521    470    421
 1970    711    503    454    407    855    620    564    511
 1971    531    360    324    288    971    731    671    612
 1972    691    481    432    386    821    595    543    493
 1973    561    361    318    277    887    647    588    530
 1974    557    362    318    275    759    538    491    445
 1975    733    520    472    429    883    652    597    542
 1976    577    393    352    313    863    634    581    529
 1977    843    619    565    514    867    635    582    530
 1978    645    436    391    346    887    660    608    558
 1979    632    445    402    363    874    644    590    537
 1980    700    487    442    400    842    604    550    498
 1981    609    411    371    331    890    652    596    541
 1982    748    518    465    415    721    503    459    417
 1983    501    324    287    251    867    651    598    548
 1984    539    368    330    293    928    693    635    580
 1985    703    502    455    411    763    555    507    461
 1986    690    467    416    366    915    677    619    562
 1987    791    581    533    487    950    713    655    600
 1988    719    522    480    440    891    676    628    582
 1989    596    419    380    342    818    592    541    495
 1990    545    349    309    270    889    655    600    546
 1991    783    561    511    463    982    743    685    627
 1992    661    473    430    390    805    577    528    484
 1993    652    443    395    348    814    584    527    474
 1994    619    433    392    353    896    669    613    558
 1995    565    361    318    278    911    673    615    558
 1996    540    340    298    259    870    634    575    517
 1997    495    313    274    237    886    650    595    542
 1998    782    550    498    449    828    599    545    491
 1999    638    426    382    340    846    615    560    506
 2000    658    456    409    366    777    549    497    446
 2001    652    441    394    350    763    533    482    433
 2002    495    320    282    247    874    637    581    525
 2003    495    324    289    255    746    525    474    426
 2004    633    420    374    331    805    569    514    462
 2005    513    330    292    258    959    719    661    604
     ****************************  ****************************
 MEAN  627.2  427.9  384.1  342.7  851.6  620.6  566.4  514.2
 STDV   92.9   79.3   75.1   71.1   64.8   61.5   59.4   57.0

               JULY                        AUGUST      
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    940    693    633    575    888    641    583    527
 1952   1025    778    719    661    891    646    590    536
 1953    988    741    682    623    925    682    625    571
 1954   1030    782    720    659    921    676    616    557
 1955   1126    878    816    754   1031    783    724    665
 1956    948    700    638    578    955    714    657    600
 1957   1079    831    769    707    973    727    667    608
 1958    913    665    604    544    967    723    664    605
 1959    952    705    644    583   1085    837    775    713
 1960    949    702    644    587    989    741    680    620
 1961    928    681    620    560    940    695    637    579
 1962    899    654    595    536    915    669    610    552
 1963    951    704    643    583    859    623    569    515
 1964   1009    762    701    640    887    648    592    536
 1965    970    722    661    602    904    659    600    543
 1966   1013    765    704    646    860    618    563    511
 1967    892    657    603    551    783    553    500    451
 1968   1005    759    700    643    972    725    666    609
 1969   1042    794    732    670    978    730    668    607
 1970    986    739    683    627    952    706    647    588
 1971    920    677    619    561    896    655    599    547
 1972    962    723    665    607    990    745    685    626
 1973   1048    800    738    677   1001    754    694    635
 1974   1040    793    732    672    892    648    592    537
 1975    972    731    673    617   1010    765    704    644
 1976    990    748    691    637    889    658    603    553
 1977   1060    813    752    693    869    627    570    517
 1978   1002    754    693    633    959    719    662    605
 1979    964    720    662    607    947    705    646    588
 1980   1031    783    721    661    999    751    689    627
 1981   1008    762    701    642    946    702    644    586
 1982   1020    772    710    649    907    669    614    561
 1983   1032    786    726    666   1031    786    726    666
 1984    928    686    627    572    962    724    666    609
 1985    949    703    644    589    860    618    563    509
 1986   1074    826    764    702    837    598    541    487
 1987   1094    847    786    725    933    689    632    576
 1988   1014    769    708    650   1042    802    743    684
 1989   1027    779    717    655    939    695    638    583
 1990    996    748    686    624    978    730    670    611
 1991   1006    759    700    643    975    727    665    604
 1992    896    649    588    527    788    555    505    456
 1993   1012    764    702    640    986    738    678    619
 1994    949    701    639    580    879    635    579    525
 1995    994    748    688    629   1111    863    801    739
 1996    919    673    613    553    945    697    635    575
 1997   1024    778    721    664    909    661    601    544
 1998   1017    769    707    646   1017    769    707    645
 1999   1069    821    759    698    876    628    567    507
 2000    939    691    630    570    963    715    654    593
 2001    993    745    685    627    947    699    639    580
 2002   1056    808    746    684    925    678    618    560
 2003    961    713    652    592    985    737    675    613
 2004    912    665    605    548    777    546    496    448
 2005    987    739    678    618      0      0      0      0
     ****************************  ****************************
 MEAN  991.1  744.6  684.3  625.2  920.8  681.5  624.3  568.2
 STDV   53.7   52.8   52.1   51.2  143.6  114.0  106.3   98.5

               SEPTEMBER                   OCTOBER     
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    583    384    341    300    417    262    229    202
 1952    681    486    441    400    336    212    186    161
 1953    668    477    435    395    559    394    355    319
 1954    751    532    482    434    417    262    227    193
 1955    736    534    487    443    431    277    244    215
 1956    651    446    404    367    575    392    355    318
 1957    637    429    383    339    359    210    179    149
 1958    707    489    443    399    500    330    292    255
 1959    730    517    468    421    304    155    123     95
 1960    748    535    485    437    412    259    225    192
 1961    654    454    409    364    435    267    233    202
 1962    595    403    361    322    475    300    263    230
 1963    681    478    432    389    653    453    409    367
 1964    696    487    439    393    401    257    223    193
 1965    634    420    374    330    424    262    226    191
 1966    609    423    384    348    418    273    239    208
 1967    589    411    371    332    373    227    197    172
 1968    670    458    410    365    470    305    267    230
 1969    704    490    442    396    373    218    189    165
 1970    713    496    449    403    444    271    234    198
 1971    791    577    527    480    622    429    384    339
 1972    722    504    453    405    350    197    168    143
 1973    719    498    450    402    575    394    355    317
 1974    591    400    359    321    455    284    247    212
 1975    601    411    367    324    515    354    318    283
 1976    661    481    441    402    324    197    174    154
 1977    729    504    455    406    352    201    172    144
 1978    822    600    549    499    371    208    174    142
 1979    688    490    445    403    406    241    208    178
 1980    736    520    473    428    373    235    208    183
 1981    673    462    417    375    394    237    205    175
 1982    682    477    431    387    453    289    254    220
 1983    686    483    440    401    424    254    218    186
 1984    681    487    442    399    484    308    266    227
 1985    736    529    482    438    425    249    212    180
 1986    762    536    485    436    424    256    223    191
 1987    684    476    430    387    329    185    153    126
 1988    753    548    499    451    314    173    145    119
 1989    628    439    398    360    451    301    268    237
 1990    777    566    518    470    418    262    228    195
 1991    707    509    464    420    413    253    220    191
 1992    652    454    410    367    388    233    206    181
 1993    564    360    317    276    401    244    209    177
 1994    732    505    454    407    492    313    271    234
 1995    625    434    392    351    421    261    228    198
