# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 01 Sep 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA4228] JEFFERSON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
# Low Temperature exceedence probabilities
# (On a certain date, what is the chance a temperature below a certain
#  threshold would have been observed)
 Date    <33  <29  <27  <23
 Aug 17    0    0    0    0
 Aug 19    0    0    0    0
 Aug 21    0    0    0    0
 Aug 23    0    0    0    0
 Aug 25    0    0    0    0
 Aug 27    0    0    0    0
 Aug 29    0    0    0    0
 Aug 31    0    0    0    0
 Sep 02    0    0    0    0
 Sep 04    0    0    0    0
 Sep 06    0    0    0    0
 Sep 08    0    0    0    0
 Sep 10    0    0    0    0
 Sep 12    0    0    0    0
 Sep 14    0    0    0    0
 Sep 16    0    0    0    0
 Sep 18    1    0    0    0
 Sep 20    3    0    0    0
 Sep 22   11    0    0    0
 Sep 24   14    0    0    0
 Sep 26   18    0    0    0
 Sep 28   25    0    0    0
 Sep 30   38    0    0    0
 Oct 02   48   11    3    0
 Oct 04   53   14    3    0
 Oct 06   68   24    9    0
 Oct 08   72   24   11    0
 Oct 10   77   31   14    1
 Oct 12   79   35   20    1
 Oct 14   83   38   20    1
 Oct 16   83   50   22    1
 Oct 18   85   55   29    7
 Oct 20   90   61   40   12
 Oct 22   92   64   44   14
 Oct 24   94   74   57   18
 Oct 26   94   79   66   24
 Oct 28  100   83   70   31
 Oct 30  100   88   74   38
 Nov 01  100   90   77   46
 Nov 03  100   94   83   53
 Nov 05  100   96   90   62
 Nov 07  100   96   90   66
 Nov 09  100   98   92   77
 Nov 11  100  100   94   79
 Nov 13  100  100   96   85
 Nov 15  100  100   98   88
 Nov 17  100  100  100   90
 Nov 19  100  100  100   92
 Nov 21  100  100  100   96
 Nov 23  100  100  100  100
 Nov 25  100  100  100  100
 Nov 27  100  100  100  100
 Nov 29  100  100  100  100
 Dec 01  100  100  100  100
 Dec 03  100  100  100  100
 Dec 05  100  100  100  100
 Dec 07  100  100  100  100
 Dec 09  100  100  100  100
 Dec 11  100  100  100  100
 Dec 13  100  100  100  100
 Dec 15  100  100  100  100
 Dec 17  100  100  100  100
 Dec 19  100  100  100  100
 Dec 21  100  100  100  100
 Dec 23  100  100  100  100
 Dec 25  100  100  100  100
 Dec 27  100  100  100  100
 Dec 29  100  100  100  100
