# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA0112] ALBIA
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia0112
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    14    10     2    27        0     2    63    46     3   114
 1952     4    20    18     9     9    60       12   127   116    33    34   322
 1953     4    18    21    19     8    70       26   101   159   160    78   524
 1954     1    18    27    14     9    69        2   132   268    88    58   548
 1955     2     3    27    23     8    63        4    13   226   180    72   495
 1956     7    22    17    17    11    74       36   152   122    76    43   429
 1957     0     8    25    14     1    48        0    31   188    95     4   318
 1958     2     5     3    17     3    30        6    31     3    97     8   145
 1959     0    10    11    20     6    47        0    40    44   128    30   242
 1960     1     3    15    18     9    46        1     8    78    83    78   248
 1961     0    11    15    14     6    46        0    55    71    71    29   226
 1962    12    10     9    15     3    49       38    31    44    80    16   209
 1963     2    20    16     7     3    48        8   129    57    35     5   234
 1964     4     7    18     8     4    41       11    20   103    53    14   201
 1965     0     1    10    14     1    26        0     4    45    69     3   121
 1966     5     8    22     8     2    45       15    22   155    21     3   216
 1967     6     3    11     5     0    25       21     4    57    12     0    94
 1968     2    18    12    15     0    47        4    66    54    88     0   212
 1969     1     6    17    14     1    39        2    16    76    52     2   148
 1970     2     8    21    13     5    49        6    33   155    50    12   256
 1971     0    21    13    15    14    63        0   118    53    81    68   320
 1972     2     9    18    15     6    50        2    41    69    98    24   234
 1973     0    10    15    16     1    42        0    27    59    53     2   141
 1974     0     6    24     7     0    37        0    20   181    22     0   223
 1975     4     9    24    17     3    57        5    24   120   116    28   293
 1976     0     9    15    13     5    42        0    16   105    55    12   188
 1977     2    15    27    10     0    54        2    66   237    29     0   334
 1978     3    12    14    13    13    55        9    46    66    45    52   218
 1979     0     6    14    15     9    44        0    13    43   102    21   179
 1980     5     9    25    23     9    71       14    38   227   152    28   459
 1981     0    10    10     8     7    35        0    30    59    24    14   127
 1982     0     1    19     8     3    31        0     3    57    34     5    99
 1983     0    10    28    28     9    75        0    28   212   319    42   601
 1984     0     3    13    13     6    35        0     8    68    60    33   169
 1985     1     5    16     6     9    37        1    23    59    22    42   147
 1986     0    10    19     2     0    31        0    30    69     3     0   102
 1987     0    13    21    10     0    44        0    59   137    52     0   248
 1988     3    17    27    19     5    71        6   118   194   188    14   520
 1989     2     3    12     8     0    25        4     7    85    26     0   122
 1990     0     8     9    10     9    36        0    22    48    44    39   153
 1991     3     9    15    14     6    47        3    41    91    66    19   220
 1992     0     4     4     4     0    12        0     7    12     9     0    28
 1993     0     2     7    11     1    21        0     3    18    31     3    55
 1994     0    10     8     8     4    30        0    22    22    33    12    89
 1995     0     5    14    23     3    45        0    15    79   128     6   228
 1996     2     8     8     9     0    27        3    23    25    19     0    70
 1997     0     6    15     8     3    32        0    12    88    30     8   138
 1998     2     6    10     9     5    32        4    20    39    27    18   108
 1999     0     6    18     6     5    35        0    10   137    18    22   187
 2000     2     5     5    11     9    32        4    11    11    30    47   103
 2001     0     5    14    13     1    33        0     8    68    54     5   135
 2002     0    10    16     7     7    40        0    27    80    33    29   169
 2003     1     2    10    15     1    29        3     5    42   115     1   166
 2004     0     1     3     2     0     6        0     1     7     5     0    13
 2005     0     9    15     0     0    24        0    33    90     0     0   123
 **************************************************************************************
MEANS   1.6   8.6  15.5  12.2   4.4  42.3      4.6  36.2  91.7  66.2  19.7 218.4
