# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7312] SAC-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7312 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951     34      9      6      3    219    118    100     83
 1952     66     34     28     24    393    254    224    200
 1953    158     82     65     52    228    114     94     77
 1954     63     19     13      9    429    278    247    216
 1955    138     73     61     50    538    364    330    298
 1956    122     52     40     32    300    190    167    145
 1957    116     47     35     26    374    243    216    193
 1958     72     27     18     10    342    203    173    146
 1959    101     44     33     24    358    226    198    172
 1960     11      1      0      0    382    238    207    180
 1961     86     33     24     18    251    138    117     97
 1962     41     19     16     14    353    214    183    158
 1963    191    125    113    101    430    273    237    205
 1964     80     30     22     16    363    221    192    165
 1965      7      2      1      0    304    174    150    130
 1966    232    134    113     93    236    125    104     87
 1967    226    148    132    117    390    244    212    182
 1968    300    192    170    150    419    265    231    201
 1969     17      2      1      0    371    222    192    165
 1970     30      3      0      0    389    256    227    201
 1971     92     47     39     31    417    274    244    215
 1972    118     54     43     32    335    195    167    142
 1973    163     64     46     31    352    223    194    167
 1974    170     80     62     47    406    258    224    194
 1975     36      8      5      3    249    126    102     82
 1976    163     98     84     71    471    313    278    243
 1977    212    111     91     73    510    351    317    285
 1978    131     76     64     55    306    176    149    124
 1979     45     12      7      4    254    146    124    106
 1980     63     20     16     13    347    220    192    166
 1981    200     98     81     64    436    281    251    223
 1982     87     31     24     17    311    195    173    152
 1983     92     46     38     31    174    101     87     75
 1984     24      2      1      0    211     98     79     62
 1985    181     90     72     56    430    289    259    232
 1986    189    116    103     91    374    233    204    176
 1987    176     99     86     73    425    287    261    237
 1988    202    118     99     81    323    208    181    155
 1989    121     69     58     48    384    251    220    190
 1990    143     69     54     42    357    224    196    170
 1991    137     65     53     43    340    203    175    149
 1992    142     66     52     39    228    131    115    101
 1993     46     21     16     12    220    119     99     84
 1994    149     80     67     55    338    226    201    176
 1995    121     54     42     32    206    112     92     74
 1996     88     36     28     22    264    161    141    121
 1997    132     66     54     43    257    157    136    115
 1998     86     46     41     36    301    176    151    126
 1999    137     62     50     40    299    161    135    111
 2000    234    131    112     93    333    221    197    174
 2001     31      8      6      4    389    251    221    193
 2002     55     20     13      9    339    208    183    158
 2003    156     88     76     64    390    263    237    216
 2004    176     86     70     57    377    245    217    191
 2005    132     64     54     46    427    266    229    195
     ****************************  ****************************
 MEAN  118.6   59.6   49.1   39.9  342.7  212.9  186.0  161.5
 STDV   66.5   42.8   37.8   33.0   79.8   62.4   58.0   53.8

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    717    489    436    386    752    518    462    407
 1952    618    400    352    308   1022    782    723    664
 1953    654    439    395    352    998    760    701    642
 1954    544    365    326    290    968    731    673    616
 1955    786    551    501    454    843    606    551    498
 1956    687    479    432    389   1006    769    711    653
 1957    589    374    331    291    860    622    563    505
 1958    739    525    476    430    778    543    488    436
 1959    683    464    414    367    932    692    632    576
 1960    656    444    398    353    827    588    531    475
 1961    568    371    330    290    865    625    569    516
 1962    821    581    525    471    864    625    567    511
 1963    632    409    360    316    983    743    683    623
 1964    799    563    509    460    893    655    598    544
 1965    776    550    496    444    902    662    602    543
 1966    583    402    365    330    890    651    593    538
 1967    538    354    313    280    864    625    567    509
 1968    517    340    301    265    928    692    635    578
 1969    677    464    414    368    750    525    473    424
 1970    766    547    496    450    938    700    641    585
 1971    596    394    351    313   1015    776    718    660
 1972    673    457    409    364    877    641    586    532
 1973    586    382    340    298    915    675    615    556
 1974    587    384    341    301    813    579    527    477
 1975    725    507    457    411    867    631    574    519
 1976    585    396    355    316    879    648    592    537
 1977    806    575    522    469    905    670    612    556
 1978    621    428    384    343    857    632    581    531
 1979    548    365    327    292    828    594    539    486
 1980    635    444    402    362    839    604    550    498
 1981    524    340    301    267    849    609    550    496
 1982    647    423    371    324    716    487    438    393
 1983    480    313    282    252    853    618    563    510
 1984    572    379    340    302    904    665    606    548
 1985    700    486    442    401    766    536    485    437
 1986    634    423    378    335    920    680    621    563
 1987    764    549    501    456    949    713    656    600
 1988    791    564    516    474    942    704    646    592
 1989    588    406    365    329    787    555    501    451
