# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7147] ROCK-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia7147 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      6      0      0      0    188     93     79     67
 1952     27     11      8      6    354    223    200    178
 1953    113     45     32     23    185     86     70     57
 1954     28      4      3      2    390    257    230    203
 1955    104     53     43     34    488    332    299    267
 1956     55     22     17     14    244    146    123    103
 1957     68     18     13      9    328    211    190    169
 1958     55     17     10      5    308    178    149    125
 1959     95     41     32     25    348    221    197    174
 1960     19      4      2      0    308    179    152    130
 1961     84     37     29     22    213    109     90     72
 1962      8      0      0      0    307    189    168    147
 1963    176    114    101     90    414    262    227    195
 1964     56     13      7      3    331    206    180    156
 1965      8      3      2      1    286    165    141    121
 1966    205    113     94     78    214    110     90     75
 1967    198    127    113     99    359    223    194    165
 1968    285    184    163    144    383    246    217    190
 1969      8      2      1      0    346    217    192    167
 1970     15      0      0      0    293    189    166    144
 1971     73     36     30     24    371    247    220    194
 1972     84     33     25     19    236    131    114     97
 1973    129     51     40     29    312    185    158    131
 1974    127     54     42     32    333    202    177    152
 1975     35     13      9      7    181     79     63     49
 1976    123     72     60     49    418    269    237    205
 1977    146     69     53     39    483    325    291    260
 1978    104     55     47     41    257    139    117     96
 1979     16      1      0      0    248    137    118    102
 1980     72     28     22     18    367    240    212    185
 1981    219    114     95     78    436    287    257    229
 1982     76     21     13      8    293    189    167    147
 1983     84     35     26     20    182    101     87     73
 1984     17      5      3      1    235    115     95     78
 1985    183     99     82     67    415    276    248    222
 1986    146     79     67     59    354    222    195    168
 1987    153     87     73     61    477    338    307    279
 1988    159     80     67     56    281    171    146    122
 1989    113     63     52     44    357    227    198    170
 1990    137     67     55     44    345    210    183    160
 1991    154     81     67     55    342    210    183    158
