# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6940] RED-OAK
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        1.58   0.23   77(71)   19(17)    9( 8)    4( 4)    0( 0)    0      109
  2 3/8-->3/14       1.41   0.25   64(67)   16(17)   11(12)    4( 4)    0( 0)    0       95
  3 3/15-->3/21      2.01   0.26   68(70)   15(15)    8( 8)    5( 5)    1( 1)    0       97
  4 3/22-->3/28      2.05   0.29   80(75)    8( 7)   12(11)    6( 6)    1( 1)    0      107
  5 3/29-->4/4       1.37   0.29   71(65)   22(20)    8( 7)    8( 7)    0( 0)    0      109
  6 4/5-->4/11       2.31   0.31   67(61)   25(23)    9( 8)    7( 6)    1( 1)    0      109
  7 4/12-->4/18      3.19   0.39   69(57)   22(18)   22(18)    6( 5)    3( 2)    0      122
  8 4/19-->4/25      3.19   0.38   62(53)   24(21)   21(18)    9( 8)    1( 1)    0      117
  9 4/26-->5/2       2.63   0.40   77(56)   20(15)   26(19)    9( 7)    5( 4)    0      137
 10 5/3-->5/9        2.80   0.40   75(52)   27(19)   29(20)   10( 7)    2( 1)    0      143
 11 5/10-->5/16      4.07   0.36   76(58)   25(19)   21(16)    8( 6)    2( 2)    0      132
 12 5/17-->5/23      4.01   0.49   58(42)   31(22)   30(22)   15(11)    4( 3)    0      138
 13 5/24-->5/30      6.50   0.39  102(63)   28(17)   18(11)   12( 7)    3( 2)    0      163
 14 5/31-->6/6       3.35   0.39   67(53)   29(23)   21(17)    9( 7)    1( 1)    0      127
 15 6/7-->6/13       5.95   0.43   80(53)   24(16)   31(21)   13( 9)    2( 1)    0      150
 16 6/14-->6/20      3.92   0.57   61(50)   14(12)   21(17)   20(17)    5( 4)    0      121
 17 6/21-->6/27      3.87   0.57   56(44)   24(19)   24(19)   15(12)    8( 6)    0      127
 18 6/28-->7/4       3.62   0.57   44(47)   13(14)   17(18)   16(17)    3( 3)    0       93
 19 7/5-->7/11       3.28   0.51   59(52)   16(14)   22(19)   13(11)    4( 4)    0      114
 20 7/12-->7/18      2.60   0.49   57(53)   11(10)   25(23)   11(10)    3( 3)    0      107
 21 7/19-->7/25      2.90   0.46   68(57)   18(15)   13(11)   16(13)    4( 3)    0      119
 22 7/26-->8/1       4.75   0.45   63(60)   13(12)   14(13)   13(12)    2( 2)    0      105
 23 8/2-->8/8        4.30   0.53   53(50)   20(19)   18(17)    9( 8)    6( 6)    0      106
 24 8/9-->8/15       2.63   0.40   67(63)   16(15)   10( 9)   10( 9)    4( 4)    0      107
 25 8/16-->8/22      3.60   0.48   44(43)   18(18)   29(28)   10(10)    1( 1)    0      102
 26 8/23-->8/29      7.60   0.58   49(48)   24(24)   14(14)   11(11)    4( 4)    0      102
 27 8/30-->9/5       3.50   0.50   57(51)   18(16)   19(17)   14(13)    4( 4)    0      112
