# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA2724] ESTHERVILLE-2-N
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia2724
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0    12     4     0    16        0     0    32    20     0    52
 1952     2    15    12     4     7    40       10    71    46     9    17   153
 1953     0    11    14    11     4    40        0    62    48    59    23   192
 1954     0    11    16     5     1    33        0    44    81    14     2   141
 1955     4     2    22    26     6    60        9    13   181   205    41   449
 1956     2    19     3     9     5    38        3   140    11    43    28   225
 1957     0     5    20     9     1    35        0    12   130    40     1   183
 1958     2     4     6    19     2    33        4    25    18   119     9   175
 1959     2    12    10    16     3    43        4    48    52    86    16   206
 1960     0     1    11     8     7    27        0     1    55    29    41   126
 1961     2     8     6    11     1    28        3    47    20    32     7   109
 1962     0     3     3     6     1    13        0     7     6    24     1    38
 1963     0     9     5     4     0    18        0    55    18    19     0    92
 1964     3    10    15     5     1    34       13    45    80    22     4   164
 1965     1     2     9     8     0    20        2     7    37    52     0    98
 1966     1    10    21    10     1    43        3    33   121    26     1   184
 1967     2     0    12     6     1    21       16     0    51    14     2    83
 1968     0    10     7     9     0    26        0    41    22    44     0   107
 1969     2     1     8     7     0    18        8     6    30    18     0    62
 1970     4    10    15     8     7    44       15    46    59    36    24   180
 1971     0    10     3     6     5    24        0    45     8    22    28   103
 1972     2     5     5    11     2    25        6    15    14    51     5    91
 1973     1     9     6    10     0    26        1    32    20    32     0    85
 1974     0     5    16     1     0    22        0    24    90     2     0   116
 1975     4     3    19     8     1    35       17    11    84    17     2   131
 1976     2     7    11    11     5    36        6    22    56    60    22   166
 1977     3     6    10     2     1    22        8    47    57     2     2   116
 1978     2     7    10     6     7    32        7    25    33    12    34   111
 1979     2     5     5     6     0    18        4    20    10    25     0    59
 1980     4     3     9     4     3    23        5    22    46    12     6    91
 1981     0     6     7     0     2    15        0    20    28     0     5    53
 1982     0     1     6     4     0    11        0     2    31    19     0    52
 1983     0     6    18    18     6    48        0    16    73    92    24   205
 1984     0     1     5    10     3    19        0     4    10    49    13    76
 1985     2     5     8     3     2    20        3    32    22     9     8    74
 1986     1    12    13     2     0    28        1    55    46     8     0   110
 1987     7    15    12     2     0    36       34    67    68    14     0   183
 1988     6    16    13    15     5    55       17    94    71   126    17   325
 1989     2     7    14     6     1    30        3    24    92    15     5   139
 1990     1     9     6     5     5    26        2    32    32    18    18   102
 1991     2     8     9     4     0    23        4    40    58     5     0   107
 1992     3     5     0     2     0    10        7     9     0     4     0    20
 1993     0     2     2     5     1    10        0     3     5    11     1    20
 1994     5     4     0     4     3    16       15    13     0     9     8    45
 1995     0     7    11    12     0    30        0    24    62    32     0   118
 1996     2    10     4     1     0    17       12    41    10     2     0    65
 1997     0     7    11     4     0    22        0    25    28    11     0    64
 1998     4     2     7     4     6    23       14    10    17     9    27    77
 1999     1     7    14     3     4    29        1    17    74     9    11   112
 2000     1     5     4     3     5    18        2    20    11     9    13    55
 2001     2     8    13     7     0    30       11    39    48    36     0   134
 2002     1    12    20     2     5    40        4    46   102    10    22   184
 2003     0     3     4    10     3    20        0     6    16    49     9    80
 2004     1     1     1     0     3     6        2     6     4     0     6    18
 2005     0     8    11     0     0    19        0    31    46     0     0    77
 **************************************************************************************
MEANS   1.6   6.7   9.7   6.8   2.3  27.2      5.0  29.9  44.9  30.8   9.1 119.7
