# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1394] CHARITON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 NUMBER OF RAINY DAYS PER MONTH PER YEAR
YEAR   JAN FEB MAR APR MAY JUN JUL AUG SEP OCT NOV DEC ANN   
1951     4   6   6  12   8  13   8   8   4   6   3   4  82
1952     4   3   7   5  10   7   6   7   2   0   4   3  58
1953     3   5   7   8  10  10   3   4   2   0   2   5  59
1954     1   3   5   8   7   7   2  10   4   5   1   5  58
1955     5   6   4   6   6   6   6   5   5   5   1   3  58
1956     1   4   4   2   4   8   9  11   2   2   7   5  59
1957     4   1   4  11   7  10   6   8   5   4   2   2  64
1958     4   3   6  10   7   9  13   8  10   4   6   2  82
1959     6   5   8  12  16   3   7   8  12   9   8  11 105
1960     7   7  10   9  13  12   7   9   9   8   3   3  97
1961     5   5  13  14   8  11  14   8  12   8   8   8 114
1962     6   7   9  11  11   8  11  11   7   9   4   5  99
1963     8   6  11   9  12   5   6   8   8   8   6   5  92
1964     3   5   9  13   7  10   9  10  13   2   6   5  92
1965     9   7  11  12  10   9   4  12  16   4   4   6 104
1966     3   2   8   6  13  10   7   6   5   5   2   7  74
1967     0   3   0  10  11  16   7   5   7  12   4   0  75
1968     5   1   4  11   7   7  10   0  12   9   7  10  83
1969    10   5   6  12   7  12  14   5  12  12   1   4 100
1970     6   2   9  11  13   6   6   9  14   8   7   4  95
1971     3   6   3   6  12   9  10   4   5  12   8   7  85
1972     4   7  10  13  13   7  13   9  13   9   8   7 113
1973     9   6  14   9  12   9  11   8  12   8   6  11 115
1974     8   3   8   7  17   8   4  13   7   7   7   8  97
1975     6   8   9  12  12  13   3  12  11   1  11   3 101
1976     3   8   8   7   9   9   8   3   4   8   1   3  71
1977     7   0  10   7  12   7   5  14  11  11   6   7  97
1978     7   9   6  11   9  11  10   8   8   8  11   5 103
1979    12   4   7  10   6  13   9   8   5   5   7   4  90
1980     9   7  10   7   8  10   7  11   8   6   2   4  89
1981     1   7   7  14  11  10  13  12   5   9  12   6 107
1982    13   8  13   9  18   9  13   8   9   8   8   6 122
1983     7   7   8  11  16  12   1   8   9   9  16  12 116
1984     3   2  14  15  17  13   9   2  10  19   8  10 122
1985     7   9   8   7  10  10  11   9   9  13  15   6 114
1986     0   7   7  13  17   9  13   5  16  11   7   4 109
1987     5   2   7   8   9  14   8  10   6   6   7   9  91
1988     6   6   1   6   5   5   6   8   8   3  10   4  68
1989     4   7   4   3  10  12   8  11   9   6   2   6  82
1990     5   8  10  10  13  13  12  10  10   6   6  11 114
1991    10   3  14  18  15   9   9  12  10  14  16  10 140
1992    10  10  14  19  11   8  22  10  13   6  17  12 152
1993     9  11  14  15  19  20  23  19  16   7   7  11 171
1994    15  11   5  11  10  15  14  12  10   7  13  11 134
1995     8   5  11  16  16  14   9   8  11   9   7   9 123
1996    11   6   8   7  20  13  10   8   6   8  11   9 117
1997     8   8   6  13  15   9   7   9   8   8   8  13 112
1998    10  14  12  19  18  22   6  13   9  11  10   5 149
1999     5  10   6  15  17  13   9   9   8   4   3   8 107
2000     9   7   6  10  10  12  12  11   8  11   5  13 114
2001     8  11  10  13  22  16  10  10   9  11   2   9 131
2002     8   7  10  12  16  10  13  10   4  15   3   4 112
2003     8   8   9  14  13   9   7   6   7   9  12   8 110
2004     7  12  20   4  19  14  17  13   4  16  14   7 147
2005    16  10   9  11  11  11   5   0   0   0   0   0  73
STDDEV   3   3   4   4   4   4   4   3   4   4   4   3  26
AVG      6   6   8  10  12  10   9   9   8   8   7   7 101
