# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1402] CHARLES-CITY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1402
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     5     1     0     6        0     0     7     5     0    12
 1952     1    10    14     4     6    35        3    33    46     7    14   103
 1953     2     7     9    12     4    34        9    44    35    67    25   180
 1954     0    11    17     4     5    37        0    45    82     7    13   147
 1955     2     2    23    19     8    54        4    12   159   165    56   396
 1956     3    17     7    10     1    38        7    93    31    47     1   179
 1957     0     2    18     8     1    29        0     4   107    33     1   145
 1958     0     3     1    13     1    18        0     9     3    40     2    54
 1959     2     7     8    18     3    38        4    21    17    62    12   116
 1960     0     2    11     5     7    25        0     2    44    22    39   107
 1961     1    11     5    11     4    32        4    49    11    35    11   110
 1962     7     7     6     9     1    30       13    15    12    15     1    56
 1963     1    14     8     7     0    30        1    63    28    12     0   104
 1964     3    11    22    10     2    48        9    42   145    60     5   261
 1965     1     1     7     9     0    18        1     1    34    48     0    84
 1966     1     6    15     6     1    29        3    20    75    13     1   112
 1967     3     1     7     0     0    11       18     4    12     0     0    34
 1968     0     7     5    12     0    24        0    35    14    48     0    97
 1969     3     2     8    13     0    26       10     3    33    27     0    73
 1970     3     6    19     9     3    40        8    31    63    24     4   130
 1971     0    19     4     9     5    37        0    63    12    33    27   135
 1972     6     5     8    13     1    33       13    14    26    68     2   123
 1973     0     7    12    13     0    32        0    37    43    40     0   120
 1974     0     2    20     5     0    27        0     5   111     7     0   123
 1975     3     8    20    17     0    48       11    19    82    58     0   170
 1976     0     7    18    13     4    42        0    16    97    40    13   166
 1977     8     8    16     2     0    34       13    53   103     4     0   173
 1978     3     6     8     8    11    36       12    21    25    23    55   136
 1979     1     3     4     7     1    16        1     6     5    23     1    36
 1980     5     7    18     9     5    44       13    31    86    25    15   170
 1981     0     5    11     1     2    19        0    13    36     1     6    56
 1982     0     2     7     6     0    15        0     2    34    25     0    61
 1983     0     9    18    21     6    54        0    29    86   122    24   261
 1984     0     4     7    16     7    34        0    12    16    72    32   132
 1985     3     5     7     7     6    28        5    42    30    25    22   124
 1986     1     8    14     2     1    26        4    33    51     4     1    93
 1987     5    15    19     5     0    44       14    76    84    29     0   203
 1988     5    20    20    18     4    67       16   116   123   158    19   432
 1989     1     5    15    10     0    31        2    15   107    51     0   175
 1990     0     5     4     3     3    15        0    16    26    10    13    65
 1991     5    11    10     6     2    34       13    57    45    14     2   131
 1992     2     5     0     2     0     9       14    14     0     4     0    32
 1993     0     0     1     3     0     4        0     0     2     3     0     5
 1994     1     7     0     2     3    13        1    21     0     3     9    34
 1995     0     9    11    16     0    36        0    50    54    43     0   147
 1996     3    10     4     2     0    19        4    32    12     4     0    52
 1997     0     3     8     2     0    13        0     5    17     6     0    28
 1998     7     5     7     2     5    26       24    15    18     4    20    81
 1999     1     5    18     4     2    30        1     7    73     7     4    92
 2000     0     2     4     7     7    20        0    12    11    17    29    69
 2001     3    14    21     9     0    47       15    62    71    57     0   205
 2002     2    11    19     1     6    39        8    44    85     2    19   158
 2003     0     2     7    13     4    26        0     6    25    85    14   130
 2004     0     2     0     0     0     2        0     6     0     0     0     6
 2005     0     9    15     0     0    24        0    30    44     0     0    74
 **************************************************************************************
MEANS   1.8   6.8  10.7   7.9   2.4  29.6      5.1  27.4  47.2  32.8   9.3 121.8
