# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA9067] WILLIAMSBURG
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE MONTHLY PRECIP TOTALS 1951-2006 FOR STATION # ia9067
 YEAR   JAN   FEB  MARCH APRIL  MAY  JUNE  JULY AUGUST SEPT   OCT   NOV   DEC   ANN
 1951  0.00  0.00  0.00  4.47  6.41  5.50  4.61  7.00  1.88  4.19  2.05  0.91 37.02
 1952  1.19  0.71  3.31  1.56  3.95  4.48  3.59  3.91  1.21  0.00  4.81  2.28 31.00
 1953  0.51  1.79  3.60  2.23  2.39  5.51  0.86  0.31  0.95  0.27  0.42  1.15 19.99
 1954  0.33  0.87  1.83  4.33  3.90  4.70  0.94  5.68  1.64  4.38  0.26  0.96 29.82
 1955  1.08  1.37  1.22  3.95  4.61  2.54  2.55  1.92  3.81  1.60  0.07  0.39 25.11
 1956  0.56  0.92  0.21  1.44  2.73  3.72  5.76  7.69  0.72  0.60  1.84  0.73 26.92
 1957  0.47  0.23  1.41  3.07  4.66  3.51  2.18  4.06  2.59  1.35  2.61  1.16 27.30
 1958  0.82  0.21  0.45  2.00  0.37  5.73  7.72  2.23  5.59  3.03  1.86  0.15 30.16
 1959  1.10  1.33  4.17  5.80  7.25  2.05  3.84  2.26  3.98  4.63  2.98  2.34 41.73
 1960  3.96  1.82  1.25  2.39  5.45  4.72  6.28  1.85  2.89  3.40  3.91  0.39 38.31
 1961  0.16  1.50  5.49  1.35  1.31  4.66  5.00  2.13  7.96  2.92  6.56  1.35 40.39
 1962  1.00  1.86  2.04  2.05  7.89  3.64  7.26  2.76  1.64  4.67  0.90  0.51 36.22
 1963  0.56  0.32  2.31  4.54  3.00  0.00  8.33  2.75  2.88  0.53  2.22  0.49 27.93
 1964  0.15  0.44  1.95  3.73  3.24  9.05  3.99  3.26  2.71  0.00  1.80  0.89 31.21
 1965  2.34  0.75  2.78  9.01  4.78  3.67  4.42  7.71 11.72  1.12  1.24  2.13 51.67
 1966  1.43  0.63  1.49  3.60  6.15  6.24  4.75  0.84  3.14  3.03  0.76  1.38 33.44
 1967  0.79  0.55  1.88  4.91  1.67  3.82  2.90  3.98  4.94  4.08  1.16  0.95 31.63
 1968  0.50  0.23  1.05  4.75  2.13  5.46  1.75  1.84  4.88  2.09  0.96  1.70 27.34
 1969  2.56  0.64  1.01  4.45  3.60 11.25  9.12  3.34  3.78  3.37  0.30  1.00 44.42
 1970  0.47  0.00  4.69  2.46  5.43  4.95  5.87  6.26  8.44  3.63  1.07  1.41 44.68
 1971  1.38  1.87  0.19  2.40  3.12  2.92  5.52  0.42  3.28  2.87  3.51  3.95 31.43
 1972  0.57  0.86  1.85  6.36  4.94  6.84  6.21  6.71  3.15  2.95  2.48  1.82 44.74
 1973  2.87  0.94  3.06  5.50  6.92  4.77  3.08  2.22  6.29  1.68  2.63  2.77 42.73
 1974  2.25  0.64  2.47  4.86 12.18  6.39  2.91  7.86  2.35  1.91  1.67  1.78 47.27
 1975  0.77  1.19  1.46  2.38  2.15  2.92  0.13  4.95  2.66  0.27  3.29  0.34 22.51
 1976  0.34  0.82  1.39  6.63  2.92  4.04  1.98  2.31  0.44  1.91  0.07  0.24 23.09
 1977  0.44  0.45  4.68  1.78  1.61  1.48  2.63 10.97  3.37  4.99  1.30  1.12 34.82
 1978  0.82  0.67  0.93  4.40  3.98  3.39  5.07  3.57  5.23  2.44  4.00  1.98 36.48
 1979  1.72  0.57  3.26  2.94  3.34  2.48  4.85  9.53  0.61  2.83  1.75  0.51 34.39
 1980  0.86  0.98  0.66  1.34  2.17  5.54  2.87  6.35  5.59  1.71  0.65  1.85 30.57
