# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA6305] OSAGE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
                                 # OF PRECIPITATION EVENTS - % IN PARENS
 CL                   MAX   MEAN   0.01-    0.26-    0.51-     1.01-            # OF DAYS
 WK    TIME PERIOD    VAL   RAIN     0.25     0.50     1.00     2.00    >2.01 MISSING TOTAL
  1 3/1-->3/7        2.07   0.29   58(67)    9(10)   17(20)    2( 2)    1( 1)    0       87
  2 3/8-->3/14       1.60   0.27   71(72)    9( 9)   14(14)    5( 5)    0( 0)    0       99
  3 3/15-->3/21      1.12   0.24   71(69)   15(15)   13(13)    4( 4)    0( 0)    0      103
  4 3/22-->3/28      1.80   0.29   57(59)   21(22)   15(16)    3( 3)    0( 0)    0       96
  5 3/29-->4/4       1.40   0.30   60(58)   26(25)   14(14)    3( 3)    0( 0)    0      103
  6 4/5-->4/11       1.32   0.29   72(63)   21(18)   15(13)    6( 5)    0( 0)    0      114
  7 4/12-->4/18      2.16   0.36   64(54)   27(23)   18(15)    9( 8)    1( 1)    0      119
  8 4/19-->4/25      2.31   0.36   67(52)   30(23)   22(17)    9( 7)    1( 1)    0      129
  9 4/26-->5/2       3.05   0.39   70(56)   29(23)   15(12)    9( 7)    3( 2)    0      126
 10 5/3-->5/9        2.05   0.33   78(60)   26(20)   19(15)    7( 5)    1( 1)    0      131
 11 5/10-->5/16      2.51   0.37   77(55)   29(21)   22(16)   10( 7)    1( 1)    0      139
 12 5/17-->5/23      4.05   0.42   66(54)   19(15)   25(20)   12(10)    1( 1)    0      123
 13 5/24-->5/30      2.93   0.41   85(54)   29(18)   29(18)   11( 7)    4( 3)    0      158
 14 5/31-->6/6       2.50   0.32   71(58)   30(24)   15(12)    6( 5)    1( 1)    0      123
 15 6/7-->6/13       3.39   0.41   81(55)   23(16)   26(18)   13( 9)    3( 2)    0      146
 16 6/14-->6/20      4.09   0.44   77(53)   27(19)   24(17)   12( 8)    4( 3)    0      144
 17 6/21-->6/27      3.85   0.57   53(42)   17(13)   32(25)   21(17)    3( 2)    0      126
 18 6/28-->7/4       3.86   0.46   53(47)   29(26)   14(13)   15(13)    1( 1)    0      112
 19 7/5-->7/11       4.28   0.51   56(48)   20(17)   27(23)   10( 9)    4( 3)    0      117
 20 7/12-->7/18      3.60   0.51   53(46)   19(16)   28(24)   13(11)    3( 3)    0      116
 21 7/19-->7/25      5.75   0.58   60(49)   24(20)   16(13)   15(12)    7( 6)    0      122
 22 7/26-->8/1       3.70   0.49   52(51)   20(20)   12(12)   14(14)    3( 3)    0      101
 23 8/2-->8/8        2.60   0.47   66(52)   23(18)   17(13)   16(13)    4( 3)    0      126
 24 8/9-->8/15       6.37   0.38   61(63)   16(16)   13(13)    4( 4)    3( 3)    0       97
 25 8/16-->8/22      3.31   0.52   53(49)   20(18)   16(15)   16(15)    4( 4)    0      109
 26 8/23-->8/29      5.10   0.49   68(55)   20(16)   16(13)   17(14)    3( 2)    0      124
 27 8/30-->9/5       5.74   0.48   56(61)   12(13)   12(13)    9(10)    3( 3)    0       92
 28 9/6-->9/12       2.54   0.45   50(57)   11(13)   13(15)   12(14)    1( 1)    0       87
 29 9/13-->9/19      3.07   0.36   67(58)   28(24)    9( 8)   10( 9)    2( 2)    0      116
 30 9/20-->9/26      5.17   0.44   61(51)   23(19)   27(23)    4( 3)    4( 3)    0      119
 31 9/27-->10/3      2.49   0.44   45(51)   21(24)   13(15)    8( 9)    2( 2)    0       89
 32 10/4-->10/10     2.67   0.36   44(50)   17(19)   24(27)    2( 2)    1( 1)    0       88
 33 10/11-->10/17    2.38   0.39   40(50)   19(24)   13(16)    6( 8)    2( 3)    0       80
 34 10/18-->10/24    1.86   0.34   45(59)   16(21)    7( 9)    8(11)    0( 0)    0       76
 35 10/25-->10/31    1.31   0.28   49(61)   14(18)   15(19)    2( 3)    0( 0)    0       80
 36 11/1-->11/7      2.58   0.32   42(64)   10(15)    9(14)    4( 6)    1( 2)    0       66
 37 11/8-->11/14     2.47   0.26   53(77)    8(12)    4( 6)    3( 4)    1( 1)    0       69
 38 11/15-->11/21    1.38   0.38   36(49)   16(22)   15(21)    6( 8)    0( 0)    0       73
 39 11/22-->11/28    1.40   0.21   58(72)   16(20)    6( 7)    1( 1)    0( 0)    0       81
 40 11/29-->12/5     0.90   0.24   48(66)   11(15)   14(19)    0( 0)    0( 0)    0       73
 41 12/6-->12/12     1.21   0.20   54(76)    9(13)    7(10)    1( 1)    0( 0)    0       71
