# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7147] ROCK-RAPIDS
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7147
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     6     4     0    10        0     0    19    12     0    31
 1952     2    12    15     7     6    42       10    56    59    26    13   164
 1953     2     9    13    11     3    38        7    62    55    49    17   190
 1954     1     6    20     2     1    30        3    26   112     9     2   152
 1955     2     3    21    21     8    55        2     9   132   185    51   379
 1956     3    19     8     8     7    45        6   133    24    40    35   238
 1957     0     4    20     8     0    32        0     7   118    32     0   157
 1958     5     4     5    21     4    39        9    24    13   164    17   227
 1959     2    15    13    17     4    51       11    63    73    76    24   247
 1960     1     1    14    11     7    34        1     1    61    39    31   133
 1961     0     8    11    11     2    32        0    33    33    43     2   111
 1962     3     1     6     9     0    19        4     2    24    33     0    63
 1963     2    14    11     8     4    39        4    66    55    39    17   181
 1964     5     9    19     8     2    43       30    43   117    33     6   229
 1965     2     4    10    11     0    27        4     8    46    47     0   105
 1966     2     7    21    11     0    41        8    31   150    35     0   224
 1967     5     1    13     9     1    29       29     5    67    30     1   132
 1968     1    13     8    13     0    35        1    78    38   103     0   220
 1969     4     2     9    12     0    27       13    10    46    45     0   114
 1970     4    12    18    12     6    52       19    59   116    78    34   306
 1971     0    14     8    13     5    40        0    69    25    65    29   188
 1972     6     6     9    12     4    37       14    24    30    82    11   161
 1973     1    13    13    17     0    44        6    64    64    82     0   216
 1974     0     7    25     2     2    36        0    58   206     5     5   274
 1975     5     4    23    10     2    44       27    17   147    49     7   247
 1976     3    16    26    18     9    72       12    68   203   149    51   483
 1977     4    10    15     5     2    36       10    52   108    14     3   187
 1978     2    12    14    11    10    49        8    56    92    55    56   267
 1979     2    10    19     7     4    42        9    49    88    45     9   200
 1980     8    10    24    12     5    59       28    69   190    67    26   380
 1981     0     7    19     5     7    38        0    41   100    21    21   183
 1982     0     3    18    13     0    34        0    10    96    70     0   176
 1983     1     7    24    29    10    71        5    33   137   236    51   462
 1984     0     6    11    17     4    38        0    12    48   106    22   188
 1985     3     7    18     5     4    37        8    37    74    29    20   168
 1986     0    14    24     7     0    45        0    67   134    26     0   227
 1987     7    15    15     7     1    45       34   104   102    46     2   288
 1988     6    22    20    14     5    67       18   161   119   132    12   442
 1989     2     5    18     6     1    32        9    25   124    22     6   186
 1990     1     9     8    10    11    39        4    58    53    32    46   193
 1991     2     9    10    12     3    36        7    40    64    54     6   171
 1992     2     5     0     2     0     9        9     8     0     6     0    23
 1993     0     5     2     8     1    16        0    10     6    24     1    41
 1994     4     7     4     4     3    22       11    23     7    12     9    62
 1995     0    11    12    16     1    40        0    52    81    77     1   211
 1996     2     9     5     3     1    20       12    41    13     7     1    74
 1997     1     5    13     9     4    32        1    26    77    37     9   150
 1998     5     6     8     8    14    41       16    25    37    16    65   159
 1999     1     7    19     6     5    38        1    34   100    29    11   175
 2000     1     6    14    12     8    41        2    40    48    44    30   164
 2001     3     6    16    10     1    36       19    41    50    62     1   173
 2002     2    17    23     8     9    59       12    75   173    29    37   326
 2003     0     7    10    15     4    36        0    25    49    90    15   179
 2004     2     2     7     4     8    23       10    12    32    12    16    82
 2005     0    11    13     0     0    24        0    48    63     0     0   111
 **************************************************************************************
MEANS   2.2   8.3  14.0  10.0   3.7  38.1      8.2  41.6  78.1  53.6  15.1 196.7
