# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7613] SHENANDOAH-1-NE
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7613
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     1     4    17    14     1    37        4     6    88    75     3   176
 1952     3    24    24     8    14    73       10   189   182    32    42   455
 1953     6    24    23    17    11    81       33   153   188   127    68   569
 1954     1    20    27    18    11    77        1   142   316   103    74   636
 1955     6     8    30    24    12    80       13    28   252   204    92   589
 1956     6    21    24    25    15    91       29   146   182   152    88   597
 1957     0     7    26    18     1    52        0    24   231   134     4   393
 1958     4     9     6    23     7    49        9    43    25   121    23   221
 1959     3    15    19    24     6    67       10    66    72   140    23   311
 1960     1     8    17    18     9    53        1    33   100    89    57   280
 1961     2    10    15    16     8    51        5    47    98    64    28   242
 1962    15    13    20    18     3    69       55    51    92    99    10   307
 1963     5    20    26    18     7    76       22   169   188    97    26   502
 1964     8    12    27    13     6    66       42    53   229   106    37   467
 1965     9    10    18    16     1    54       24    25    83   123     6   261
 1966     8     9    23    10     1    51       49    47   182    35     1   314
 1967     5     1    16    15     2    39       50     1    79    37     3   170
 1968     3    21    22    15     0    61       16   137   115    83     0   351
 1969     6    10    17    14     5    52       12    56    86    40    12   206
 1970     6    10    24    20     9    69       16    46   162    99    50   373
 1971     0    20    10    15    17    62        0   124    36    61    78   299
 1972     1    13    12    15     7    48        1    77    37    83    21   219
 1973     2    14    15    18     2    51        6    73    51    50     3   183
 1974     0     9    29     8     1    47        0    72   270    35     1   378
 1975     6     6    21    25     3    61       23    18    96   152    36   325
 1976     0     9    17    19     6    51        0    44    88    66    14   212
 1977     1    14    25    10     0    50        1    97   177    29     0   304
 1978     3    18    14    16    12    63       13    82    89    96    57   337
 1979     4    12    12    17    10    55       11    61    42   100    26   240
 1980     3    16    26    26    13    84        5   119   313   190    78   705
 1981     0    16    12     9     8    45        0    84    95    47    29   255
 1982     0     4    26     7     4    41        0     8   128    55     8   199
 1983     2    15    28    29    17    91       11    82   266   257   114   730
 1984     0    10    21    24    10    65        0    32   160   197    75   464
 1985     2    12    16     6    11    47        2    61   113    20    56   252
 1986     0    19    25     6     3    53        0    91   130    14     6   241
 1987    10    15    24    10     5    64       32    56   173    75    13   349
 1988    10    21    21    24     6    82       18   174   149   212    23   576
 1989     3     5    16     6     1    31       20    25   101    21     4   171
 1990     0    12    14    10    15    51        0    47    91    67    87   292
 1991     5    17    15    14     9    60       17    74    99    95    42   327
 1992     3     4     5     5     1    18        8    11    20    13     1    53
 1993     1     6     9    14     1    31        2    20    20    68     6   116
 1994     5    11    14    14     5    49       12    47    47    73    18   197
 1995     0    11    23    24     6    64        0    55   180   187    15   437
 1996     3    13    10     5     1    32       14    62    36    14     2   128
 1997     2    10    20    12     5    49        5    37    94    45    19   200
 1998     4     9    14    15    15    57       20    46    72    88    88   314
 1999     0     9    19    11     7    46        0    27   141    40    33   241
 2000     6    10    12    22    11    61       44    52    43   116   104   359
 2001     5    10    21    15     4    55       19    33   107    87    18   264
 2002     1    18    24    19    10    72        4    91   187    85    60   427
 2003     1     8    22    21     7    59        4    17   144   187    17   369
 2004     6     4    10     7     9    36       19    12    37    27    21   116
 2005     3    13    18     0     0    34       10    74   117     0     0   201
 **************************************************************************************
MEANS   3.5  12.2  18.9  15.3   6.7  56.6     13.1  64.5 125.4  89.3  33.1 325.5
