# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA7678] SIGOURNEY
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia7678
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     1    10     9     1    21        0     2    23    34     1    60
 1952     4    21    19     9     4    57       10   102   102    21    15   250
 1953     4    17    19    14     8    62       17   101   134    85    57   394
 1954     0    18    25    12     7    62        0   106   182    38    35   361
 1955     2     3    27    25    11    68        5     9   196   188    66   464
 1956     4    19    17    14     7    61       16   114    99    64    21   314
 1957     0     7    22    11     1    41        0    19   125    60     5   209
 1958     1     4     3    17     1    26        3    14     4    73     2    96
 1959     1     8    15    21     4    49        1    25    48    94    19   187
 1960     0     0    12    14     7    33        0     0    41    50    62   153
 1961     1     8     9    11     4    33        1    38    32    33    13   117
 1962     5     8    10    11     4    38        8    19    26    44    15   112
 1963     3    15    14     9     4    45        8    93    50    38     7   196
 1964     2     6    17    10     4    39        3    32    91    70    17   213
 1965     2     1     7    11     1    22        4     1    49    67     3   124
 1966     4     6    18     7     1    36        7    20   129    21     3   180
 1967     7     1    13     2     0    23       23     3    49     4     0    79
 1968     0    17    15    17     4    53        0    58    56   105    10   229
 1969     2     4    15    14     1    36        4    16    62    45     2   129
 1970     3    10    22    14     6    55        7    39   128    49    18   241
 1971     0    22    12    15    12    61        0   127    30    67    54   278
 1972     6    10    19    14     5    54       13    44    80    94    19   250
 1973     0     9    16    15     1    41        0    30    72    53     4   159
 1974     0     3    25     4     0    32        0    12   172    14     0   198
 1975     6    14    24    16     2    62       19    42   159   123     8   351
 1976     0     6    16    17     7    46        0    18    82    74    17   191
 1977     7    14    27     8     0    56       15    76   229    28     0   348
 1978     3     8    10    12     9    42       13    32    37    43    39   164
 1979     2     6    13    12     4    37        4    15    27    66    10   122
 1980     4     6    22    21     5    58       10    26   153   107    19   315
 1981     0     6    10     6     4    26        0    18    58    15    14   105
 1982     0     1    21     7     2    31        0     1    57    44     3   105
 1983     0    13    26    28     9    76        0    61   226   318    67   672
 1984     1     4    14    18     5    42        1    10    61   102    28   202
 1985     2     6    16     5    10    39        8    28    78    17    50   181
 1986     0     7    17     2     4    30        0    31    78     9     6   124
 1987     7    13    22    13     0    55       10    69   158    73     0   310
 1988     4    22    28    22     6    82       12   179   258   261    19   729
 1989     1     3    14     6     0    24        1     7    82    20     0   110
 1990     0     3    11     8     6    28        0    11    39    41    33   124
 1991     4     9    15    10     3    41       11    47   111    51     9   229
 1992     0     5     3     4     0    12        0     8     7    10     0    25
 1993     0     4     4     8     1    17        0     5    13    17     2    37
 1994     0    10     8     6     3    27        0    27    19    19     6    71
 1995     0     9    13    13     0    35        0    23    63    66     0   152
 1996     2     7     6     7     0    22        6    21    20    19     0    66
 1997     1     3    12     6     2    24        1     5    60    23     6    95
 1998     3     5     9     6     5    28        5    20    34    16    18    93
 1999     0     6    20     6     4    36        0    15   132    18    12   177
 2000     1     4     4     9    11    29        1     9    12    21    53    96
 2001     0     5    14    12     1    32        0    12    69    69     5   155
 2002     1    10    20     8     7    46        1    29    85    33    34   182
 2003     1     2     8    15     3    29        3    10    46   114     5   178
 2004     1     3     3     2     0     9        3     4    12     5     0    24
 2005     0    11    19     0     0    30        0    48   119     0     0   167
 **************************************************************************************
MEANS   1.9   8.1  15.1  11.1   3.8  40.0      4.6  35.1  83.0  58.8  16.6 198.1
