# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA1541] CLARION
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 THESE ARE THE HEAT STRESS VARIABLES FOR STATION #  ia1541
             # OF DAYS MAXT >86              ACCUMULATED (MAXT - 86 )
 YEAR   MAY  JUNE  JULY   AUG  SEPT TOTAL      MAY  JUNE  JULY   AUG  SEPT TOTAL
 1951     0     0     6     2     0     8        0     0    14     6     0    20
 1952     2    15    11     3     9    40        5    67    42     5    22   141
 1953     2    11     6    11     2    32        8    51    23    49    15   146
 1954     0     9    16     1     3    29        0    35    83     4     9   131
 1955     2     2    18    19     7    48        2     9   137   143    37   328
 1956     2    18     6     9     5    40        3    99    19    54    11   186
 1957     0     1    15     6     0    22        0     2    83    16     0   101
 1958     0     4     1    15     0    20        0    14     2    54     0    70
 1959     3    11     6    15     3    38        6    51    21    63     8   149
 1960     0     3    12     6     7    28        0     6    43    26    34   109
 1961     2     8     3     5     4    22        5    35    17    15     7    79
 1962     8     5     6     3     1    23       28    14    14     7     3    66
 1963     1    14     5     4     1    25        3    66    20    13     1   103
 1964     4     9    19     5     2    39       27    43    91    20     4   185
 1965     2     4     9     8     0    23        3    11    37    42     0    93
 1966     2    10    17     7     0    36        7    38    99    20     0   164
 1967     4     1    10     2     0    17       35     3    30     2     0    70
 1968     2    13     5    11     0    31        6    69    13    51     0   139
 1969     3     2     9     7     0    21       14    11    37    17     0    79
 1970     6     9    17     4     5    41       16    42    76    15    20   169
 1971     1    16     4     6     6    33        1    92    15    22    33   163
 1972     6     6     6    11     1    30       19    24    22    60     2   127
 1973     0    11     7     9     0    27        0    36    30    23     0    89
 1974     0     6    21     2     1    30        0    18   133     4     1   156
 1975     5     4    16    12     1    38       19    13    74    45     2   153
 1976     0     7    12    10     3    32        0    18    59    39    10   126
 1977     5     7    16     3     0    31       13    49   123     6     0   191
 1978     2     4     7     6     9    28       12    11    26    19    41   109
 1979     2     7     3     4     3    19        8    19     4    18     7    56
 1980     4     7    19     7     4    41       10    37    78    26    14   165
 1981     0     5     9     1     2    17        0    23    44     2     5    74
 1982     1     2     9     4     0    16        2     5    45    16     0    68
 1983     0     8    18    21     5    52        0    33    77   112    22   244
 1984     0     4     7    13     4    28        0    11    19    61    17   108
 1985     3     6     7     5     6    27        4    37    23    17    19   100
 1986     1     6    11     2     2    22        1    32    44     5     3    85
 1987     7    18    18     5     2    50       24    94    86    33     3   240
 1988     4    17    12    16     3    52       19   118    86   158    11   392
 1989     1     4    10     2     1    18        2    16    64     7     2    91
 1990     1     7     7     4     6    25        1    29    31    14    13    88
 1991     6    10    13     4     0    33       14    66    77     5     0   162
 1992     2     5     1     3     0    11        9    14     1     5     0    29
 1993     0     2     2     2     1     7        0     3     6     7     3    19
 1994     2     7     2     3     3    17        5    27     2     9    10    53
 1995     0     9    10    11     0    30        0    44    60    40     0   144
 1996     2     8     4     1     0    15        7    34    11     2     0    54
 1997     0     6    11     4     3    24        0    18    47    10     3    78
 1998     5     4    10     6     8    33       20    19    25    17    37   118
 1999     0     7    19     4     4    34        0    19   103     9    10   141
 2000     3     2     6     3     9    23        3    13    20     7    43    86
 2001     3     9     8     7     0    27       12    37    19    23     0    91
 2002     1    11    19     3     3    37        5    34    68     4    13   124
 2003     0     3     6    13     2    24        0    11    29    66     8   114
 2004     0     3     4     1     4    12        0    10     8     3     5    26
 2005     0     9    14     0     0    23        0    38    58     0     0    96
 **************************************************************************************
MEANS   2.0   7.2   9.9   6.4   2.6  28.2      6.9  32.1  45.8  27.6   9.2 121.6
