# IEM Climodat http://mesonet.agron.iastate.edu/climodat/
# Report Generated: 30 Aug 2005 
# Climate Record: 01 Jan 1951 -> 01 Aug 2005
# Site Information: [IA5952] NEW-HAMPTON
# Contact Information: Daryl Herzmann akrherz@iastate.edu 515.294.5978
 GROWING DEGREE DAYS FOR 4 BASE TEMPS FOR STATION ID  ia5952 

               MARCH                       APRIL       
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951      4      0      0      0    172     82     67     55
 1952     35     16     13     10    319    206    184    163
 1953    101     39     29     20    156     61     46     36
 1954     54     15     10      7    363    216    187    159
 1955     81     32     24     17    417    256    224    197
 1956     26      5      2      1    242    139    116     95
 1957     71     21     15     10    338    202    178    156
 1958     61     16     10      6    301    169    142    121
 1959     26      5      2      1    290    163    138    116
 1960     17      2      1      0    314    192    171    150
 1961     38     11      7      4    170     74     57     44
 1962     23     10      8      7    239    139    120    105
 1963    121     78     69     60    326    191    163    139
 1964     52     17     13      9    278    163    139    117
 1965      4      0      0      0    204    107     90     74
 1966    153     67     52     38    192     87     68     51
 1967    119     65     54     45    298    163    135    110
 1968    218    130    112     96    356    212    180    152
 1969     32      8      5      3    317    172    143    116
 1970     18      0      0      0    323    201    175    150
 1971     40     17     13     10    351    221    194    167
 1972     50     17     13     10    224    115     94     76
 1973    157     65     51     38    253    138    115     92
 1974     68     27     22     17    359    212    180    151
 1975      7      0      0      0    159     77     62     49
 1976    119     63     54     45    363    215    181    147
 1977    187     90     72     55    496    339    307    276
 1978     88     44     36     28    270    150    123     98
 1979     31      4      3      2    219    110     92     77
 1980     58     14      8      4    331    202    176    154
 1981    173     79     61     49    392    231    199    170
 1982     61     20     14      9    251    146    124    102
 1983     97     44     36     28    205    111     96     84
 1984     32      3      1      0    270    141    113     87
 1985    143     57     41     29    459    301    269    240
 1986    160     91     80     71    403    247    213    181
 1987    144     71     59     49    450    297    267    238
 1988    120     50     36     24    304    179    153    129
 1989    106     58     49     41    298    165    140    116
 1990    170     80     62     48    349    208    181    156
 1991    124     58     48     39    358    208    178    148
 1992    116     39     28     18    240    129    107     86
 1993     18      4      2      1    219    105     85     68
 1994    112     53     44     36    333    212    184    159
 1995    145     66     52     40    219    112     91     70
 1996     74     22     15     11    272    163    140    118
 1997     92     42     33     26    268    158    135    112
 1998    117     68     61     54    342    196    166    141
 1999    128     57     45     36    314    173    143    116
 2000    219    120    101     84    352    223    198    174
 2001     14      0      0      0    419    259    226    197
 2002     59     17     12      8    336    208    182    160
 2003    137     72     60     48    348    224    199    176
 2004    147     67     55     43    391    245    214    185
 2005    114     62     53     45    417    254    220    191
     ****************************  ****************************
 MEAN   88.7   39.6   31.7   25.1  306.3  179.4  154.0  130.9
 STDV   57.0   32.6   27.8   23.5   79.2   60.2   55.7   51.4

               MAY                         JUNE        
     ****************************  *************************** 
 YEAR  40-86  48-86  50-86  52-86   40-86  48-86  50-86  52-86  
     ****************************  *************************** 
 1951    656    439    389    341    693    465    411    361
 1952    538    336    294    255    900    662    603    546
 1953    577    370    330    295    872    634    576    519
 1954    458    291    256    223    890    659    604    549
 1955    666    443    397    355    755    520    467    417
 1956    589    387    344    306    929    695    638    583
 1957    527    324    283    246    796    559    502    446
 1958    626    429    385    342    689    461    411    365
 1959    660    446    398    351    856    617    560    508
 1960    568    359    313    273    732    502    451    404
 1961    503    319    284    250    821    590    538    489
 1962    681    461    409    365    775    541    487    434
 1963    526    344    305    270    868    635    580    528
 1964    647    440    396    354    786    562    509    460
 1965    661    442    395    353    786    546    488    435
 1966    472    303    271    241    823    587    531    476
 1967    475    295    259    225    823    584    527    473
